"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"04.11.2021","131,24","131,16","131,54","131,16","41,57K","0,92%"
"03.11.2021","130,04","129,80","130,40","129,38","35,77K","-0,34%"
"02.11.2021","130,48","128,18","130,76","128,00","77,59K","1,71%"
"01.11.2021","128,28","129,80","129,80","127,86","122,79K","0,19%"
"29.10.2021","128,04","126,02","128,04","125,78","159,57K","-2,18%"
"28.10.2021","130,90","128,78","131,02","128,44","84,27K","1,60%"
"27.10.2021","128,84","129,00","129,26","127,88","66,10K","-0,12%"
"26.10.2021","129,00","128,98","129,90","128,04","73,54K","0,95%"
"25.10.2021","127,78","128,40","128,58","126,96","63,77K","-0,25%"
"22.10.2021","128,10","128,50","128,94","128,00","75,26K","-0,02%"
"21.10.2021","128,12","127,80","128,48","127,46","76,38K","-0,16%"
"20.10.2021","128,32","127,48","128,52","127,46","62,33K","0,53%"
"19.10.2021","127,64","126,00","128,04","125,86","59,44K","1,80%"
"18.10.2021","125,38","124,40","125,42","123,42","63,56K","0,89%"
"15.10.2021","124,28","124,60","124,74","123,80","61,63K","0,73%"
"14.10.2021","123,38","122,40","123,54","121,96","60,76K","2,42%"
"13.10.2021","120,46","121,24","122,24","120,46","83,24K","-2,02%"
"12.10.2021","122,94","122,32","124,26","122,32","59,87K","-1,57%"
"11.10.2021","124,90","122,56","125,00","122,44","48,32K","0,95%"
"08.10.2021","123,72","124,72","124,72","123,46","44,02K","-0,53%"
"07.10.2021","124,38","124,00","124,76","123,64","60,02K","2,66%"
"06.10.2021","121,16","121,00","121,70","119,96","129,25K","-0,39%"
"05.10.2021","121,64","120,38","121,70","119,98","68,40K","1,84%"
"04.10.2021","119,44","122,02","122,40","119,44","107,52K","-1,16%"
"01.10.2021","120,84","121,40","122,54","120,02","78,29K","-1,87%"
"30.09.2021","123,14","124,18","124,44","122,98","59,66K","-0,23%"
"29.09.2021","123,42","123,20","124,24","122,10","60,80K","0,90%"
"28.09.2021","122,32","123,94","123,94","121,90","81,36K","-1,29%"
"27.09.2021","123,92","125,60","125,96","122,96","67,15K","-0,55%"
"24.09.2021","124,60","124,90","124,94","124,16","34,64K","-0,26%"
"23.09.2021","124,92","125,06","125,90","124,18","83,14K","0,94%"
"22.09.2021","123,76","123,00","123,78","122,56","43,64K","0,62%"
"21.09.2021","123,00","123,00","123,76","121,86","80,80K","0,94%"
"20.09.2021","121,86","123,20","123,82","121,56","148,10K","-2,29%"
"17.09.2021","124,72","126,22","126,88","124,72","38,10K","-0,56%"
"16.09.2021","125,42","126,18","126,60","125,30","36,29K","0,74%"
"15.09.2021","124,50","125,98","126,10","123,92","58,09K","-1,84%"
"14.09.2021","126,84","126,94","127,42","126,30","66,98K","-0,19%"
"13.09.2021","127,08","127,70","128,28","126,30","125,44K","-0,77%"
"10.09.2021","128,06","130,94","131,46","126,94","89,27K","-2,26%"
"09.09.2021","131,02","130,60","132,00","130,44","39,16K","0,02%"
"08.09.2021","131,00","132,00","133,00","130,42","68,83K","-0,33%"
"07.09.2021","131,44","130,60","131,80","129,90","64,33K","0,66%"
"06.09.2021","130,58","130,58","130,76","130,08","38,72K","0,62%"
"03.09.2021","129,78","129,70","130,00","128,80","39,83K","-0,12%"
"02.09.2021","129,94","129,30","130,50","128,82","48,86K","-0,46%"
"01.09.2021","130,54","129,58","130,80","128,52","65,21K","1,30%"
"31.08.2021","128,86","129,56","129,92","127,98","62,68K","-0,02%"
"30.08.2021","128,88","126,40","129,00","125,86","64,80K","2,63%"
"27.08.2021","125,58","125,84","126,20","124,80","31,67K","-0,33%"
"26.08.2021","126,00","126,00","126,84","125,60","20,57K","-0,16%"
"25.08.2021","126,20","127,84","128,12","126,10","41,92K","-0,90%"
"24.08.2021","127,34","127,54","128,32","126,92","45,40K","-0,28%"
"23.08.2021","127,70","127,38","127,70","126,00","41,03K","0,81%"
"20.08.2021","126,68","125,48","127,06","124,92","50,12K","0,88%"
"19.08.2021","125,58","124,80","125,58","123,48","103,83K","-0,98%"
"18.08.2021","126,82","128,38","128,64","126,82","61,09K","-1,40%"
"17.08.2021","128,62","128,00","129,20","127,40","60,79K","2,39%"
"16.08.2021","125,62","126,38","127,76","124,38","84,87K","-0,17%"
"13.08.2021","125,84","126,62","127,14","125,84","57,84K","-0,44%"
"12.08.2021","126,40","123,96","126,58","123,80","48,06K","1,75%"
"11.08.2021","124,22","124,14","124,82","123,70","64,75K","-0,06%"
"10.08.2021","124,30","124,36","126,00","124,14","88,53K","-0,03%"
"09.08.2021","124,34","124,08","124,76","123,60","76,65K","0,10%"
"06.08.2021","124,22","124,28","125,06","123,66","59,41K","-0,26%"
