"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"21.04.2023","9,468","9,620","9,628","9,416","688,54K","-1,95%"
"20.04.2023","9,656","9,722","9,726","9,616","511,50K","-0,56%"
"19.04.2023","9,710","9,766","9,774","9,656","484,70K","-0,37%"
"18.04.2023","9,746","9,762","9,810","9,690","447,43K","0,25%"
"17.04.2023","9,722","9,556","9,760","9,500","1,36M","2,75%"
"14.04.2023","9,462","9,502","9,550","9,440","448,78K","-0,21%"
"13.04.2023","9,482","9,302","9,536","9,200","686,18K","2,42%"
"12.04.2023","9,258","9,274","9,370","9,236","490,69K","-0,06%"
"11.04.2023","9,264","9,126","9,284","9,126","758,59K","2,59%"
"06.04.2023","9,030","9,098","9,154","8,966","623,85K","-0,31%"
"05.04.2023","9,058","9,200","9,232","9,024","999,78K","-1,22%"
"04.04.2023","9,170","9,360","9,450","9,170","417,02K","-1,93%"
"03.04.2023","9,350","9,520","9,520","9,320","666,06K","-1,31%"
"31.03.2023","9,474","9,474","9,512","9,390","695,26K","0,72%"
"30.03.2023","9,406","9,330","9,486","9,330","1,80M","1,62%"
"29.03.2023","9,256","9,202","9,286","9,138","653,32K","0,41%"
"28.03.2023","9,218","9,360","9,372","9,102","494,24K","0,39%"
"27.03.2023","9,182","9,250","9,270","9,026","632,86K","0,42%"
"24.03.2023","9,144","9,162","9,176","8,960","709,34K","-0,61%"
"23.03.2023","9,200","9,210","9,288","9,102","474,37K","-0,67%"
"22.03.2023","9,262","9,312","9,312","9,178","484,80K","-0,62%"
"21.03.2023","9,320","9,260","9,446","9,236","813,19K","1,97%"
"20.03.2023","9,140","8,950","9,196","8,774","1,02M","1,76%"
"17.03.2023","8,982","9,092","9,396","8,958","1,28M","-0,58%"
"16.03.2023","9,034","9,116","9,242","8,870","1,35M","0,11%"
"15.03.2023","9,024","9,722","9,750","9,022","1,90M","-6,93%"
"14.03.2023","9,696","9,550","9,752","9,530","1,80M","1,15%"
"13.03.2023","9,586","9,958","9,970","9,506","2,47M","-3,89%"
"10.03.2023","9,974","10,060","10,060","9,906","946,81K","-2,26%"
"09.03.2023","10,205","10,195","10,260","10,150","594,80K","-0,20%"
"08.03.2023","10,225","10,185","10,225","10,110","774,56K","-0,29%"
"07.03.2023","10,255","10,355","10,435","10,255","763,93K","-0,97%"
"06.03.2023","10,355","10,300","10,415","10,190","951,67K","0,00%"
"03.03.2023","10,355","10,285","10,390","10,270","810,39K","1,37%"
"02.03.2023","10,215","10,100","10,255","10,100","864,60K","0,64%"
"01.03.2023","10,150","10,100","10,310","9,900","1,98M","-2,26%"
"28.02.2023","10,385","10,260","10,450","10,215","1,55M","1,07%"
"27.02.2023","10,275","10,170","10,320","10,170","1,19M","1,68%"
"24.02.2023","10,105","10,030","10,150","10,015","1,06M","0,85%"
"23.02.2023","10,020","9,910","10,070","9,838","691,28K","1,60%"
"22.02.2023","9,862","10,005","10,005","9,820","736,59K","-2,60%"
"21.02.2023","10,125","10,090","10,170","10,030","547,75K","0,25%"
"20.02.2023","10,100","10,105","10,270","10,085","1,01M","0,40%"
"17.02.2023","10,060","9,894","10,120","9,842","1,31M","1,35%"
"16.02.2023","9,926","9,900","9,946","9,806","896,51K","0,87%"
"15.02.2023","9,840","9,754","9,856","9,736","840,16K","1,09%"
"14.02.2023","9,734","9,590","9,786","9,530","916,57K","2,01%"
"13.02.2023","9,542","9,554","9,594","9,468","719,16K","0,38%"
"10.02.2023","9,506","9,642","9,642","9,388","2,13M","-2,02%"
"09.02.2023","9,702","9,650","9,738","9,572","3,17M","0,35%"
"08.02.2023","9,668","9,820","9,842","9,668","1,16M","-0,98%"
"07.02.2023","9,764","9,810","9,824","9,694","891,95K","-0,55%"
"06.02.2023","9,818","9,838","9,864","9,724","866,49K","-0,75%"
"03.02.2023","9,892","9,886","9,926","9,800","1,15M","-0,14%"
"02.02.2023","9,906","9,982","10,020","9,824","1,13M","-0,48%"
"01.02.2023","9,954","9,932","9,984","9,864","2,08M","0,30%"
"31.01.2023","9,924","10,045","10,060","9,902","1,66M","-1,50%"
"30.01.2023","10,075","10,160","10,280","10,050","1,96M","-1,32%"
"27.01.2023","10,210","9,990","10,220","9,990","1,89M","2,65%"
"26.01.2023","9,946","9,990","9,990","9,778","882,58K","0,46%"
"25.01.2023","9,900","9,970","10,015","9,854","1,27M","-3,18%"
"24.01.2023","10,225","10,275","10,285","10,080","1,34M","0,00%"
"23.01.2023","10,225","10,240","10,275","10,155","988,50K","0,74%"
"20.01.2023","10,150","10,150","10,220","10,110","1,03M","0,94%"
"19.01.2023","10,055","10,230","10,260","9,980","1,90M","-2,28%"
"18.01.2023","10,290","10,340","10,360","10,150","1,62M","-0,48%"
"17.01.2023","10,340","10,165","10,365","10,165","2,95M","2,07%"
"16.01.2023","10,130","10,150","10,185","10,030","2,11M","0,60%"
"13.01.2023","10,070","9,930","10,120","9,900","1,49M","1,43%"
"12.01.2023","9,928","9,820","9,930","9,770","1,28M","1,45%"
"11.01.2023","9,786","9,800","9,920","9,744","1,11M","0,93%"
"10.01.2023","9,696","9,750","9,758","9,614","1,18M","-1,08%"
"09.01.2023","9,802","9,720","9,854","9,672","1,14M","1,47%"
"06.01.2023","9,660","9,700","9,720","9,502","757,16K","0,52%"
"05.01.2023","9,610","9,640","9,684","9,488","1,08M","-0,33%"
"04.01.2023","9,642","9,646","9,780","9,564","979,83K","0,35%"
"03.01.2023","9,608","9,550","9,660","9,464","2,15M","1,01%"
"02.01.2023","9,512","9,364","9,512","9,364","521,66K","2,92%"
"30.12.2022","9,242","9,308","9,320","9,242","473,47K","-0,86%"
