"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"25.07.2022","128,92","129,02","129,70","128,10","646,57K","-0,32%"
"22.07.2022","129,34","128,14","130,46","127,32","690,02K","0,47%"
"21.07.2022","128,74","128,66","129,40","127,18","627,14K","0,11%"
"20.07.2022","128,60","129,30","129,78","127,72","640,20K","-0,36%"
"19.07.2022","129,06","125,50","129,58","124,88","792,30K","1,62%"
"18.07.2022","127,00","128,02","128,64","126,62","482,31K","-0,02%"
"15.07.2022","127,02","125,04","127,44","124,36","736,80K","2,07%"
"14.07.2022","124,44","125,98","126,10","123,44","805,02K","-1,14%"
"13.07.2022","125,88","127,80","127,80","124,36","752,64K","-1,52%"
"12.07.2022","127,82","127,46","128,28","126,64","725,14K","-0,34%"
"11.07.2022","128,26","126,84","128,28","126,38","491,53K","-0,16%"
"08.07.2022","128,46","127,52","129,16","126,78","635,84K","0,56%"
"07.07.2022","127,74","127,66","128,74","127,08","666,03K","1,01%"
"06.07.2022","126,46","124,18","126,46","123,52","1,20M","3,28%"
"05.07.2022","122,44","128,84","129,58","122,42","1,20M","-4,34%"
"04.07.2022","128,00","128,36","129,90","128,00","704,36K","0,84%"
"01.07.2022","126,94","128,24","129,16","126,60","897,18K","-0,92%"
"30.06.2022","128,12","130,54","131,50","128,06","1,67M","-2,84%"
"29.06.2022","131,86","133,24","134,12","130,98","762,57K","-1,58%"
"28.06.2022","133,98","134,54","135,32","133,90","626,51K","0,18%"
"27.06.2022","133,74","135,82","136,46","133,14","831,00K","-0,86%"
"24.06.2022","134,90","130,80","134,90","130,38","1,02M","3,99%"
"23.06.2022","129,72","128,60","130,32","127,18","832,68K","-0,35%"
"22.06.2022","130,18","130,90","130,90","128,58","761,78K","-0,78%"
"21.06.2022","131,20","130,58","132,26","129,94","954,83K","3,05%"
"20.06.2022","127,32","129,70","131,02","126,90","1,15M","-1,61%"
"17.06.2022","129,40","131,82","132,70","129,40","2,47M","-1,73%"
"16.06.2022","131,68","136,04","136,30","131,58","1,22M","-3,77%"
"15.06.2022","136,84","136,32","138,22","135,02","971,53K","1,38%"
"14.06.2022","134,98","138,76","139,80","134,86","873,27K","-2,39%"
"13.06.2022","138,28","137,80","139,02","137,14","935,10K","-0,60%"
"10.06.2022","139,12","141,50","141,60","138,12","1,04M","-1,95%"
"09.06.2022","141,88","143,90","144,24","141,28","898,91K","-1,61%"
"08.06.2022","144,20","147,52","147,82","143,62","847,97K","-2,01%"
"07.06.2022","147,16","148,42","148,54","146,54","728,32K","-0,74%"
"06.06.2022","148,26","153,22","153,40","147,66","917,10K","0,79%"
"03.06.2022","147,09","149,13","149,13","146,95","482,44K","-0,22%"
"02.06.2022","147,42","145,75","147,62","145,53","528,66K","1,53%"
"01.06.2022","145,20","148,38","148,42","144,95","808,19K","-1,92%"
"31.05.2022","148,04","149,56","150,35","147,45","2,28M","-1,34%"
"30.05.2022","150,05","151,05","151,15","148,24","767,83K","-0,36%"
"27.05.2022","150,60","148,07","150,60","147,60","982,00K","2,20%"
"26.05.2022","147,36","146,58","147,36","145,73","580,46K","0,65%"
"25.05.2022","146,42","147,13","147,58","146,15","580,43K","0,14%"
"24.05.2022","146,22","147,02","147,58","145,64","659,04K","-1,12%"
"23.05.2022","147,87","147,69","147,91","145,96","690,68K","1,59%"
"20.05.2022","145,56","146,56","147,24","145,15","884,29K","0,33%"
"19.05.2022","145,09","145,62","145,84","144,33","811,58K","-1,34%"
"18.05.2022","147,05","148,24","148,36","146,31","651,07K","-0,76%"
"17.05.2022","148,18","146,62","148,18","145,87","632,76K","2,03%"
"16.05.2022","145,24","144,29","145,33","143,89","858,76K","-1,63%"
"13.05.2022","147,64","144,16","147,96","143,55","915,14K","3,03%"
"12.05.2022","143,29","142,49","143,67","141,38","1,26M","-0,47%"
"11.05.2022","143,96","144,33","144,80","141,24","995,35K","0,46%"
"10.05.2022","143,31","143,65","145,24","142,87","802,42K","0,50%"
"09.05.2022","142,60","145,45","145,87","142,60","848,19K","-2,46%"
"06.05.2022","146,20","148,69","148,80","145,02","960,44K","-1,90%"
"05.05.2022","149,04","150,71","151,45","148,40","632,39K","0,24%"
"04.05.2022","148,67","149,00","149,45","147,64","491,94K","-0,23%"
"03.05.2022","149,02","148,18","149,02","147,36","713,64K","0,55%"
"02.05.2022","148,20","149,82","150,11","147,53","636,13K","-1,40%"
"29.04.2022","150,31","149,82","151,02","149,20","853,57K","1,04%"
"28.04.2022","148,76","148,64","149,47","147,02","808,84K","0,83%"
"27.04.2022","147,55","146,38","148,00","144,98","761,26K","0,72%"
"26.04.2022","146,49","146,29","148,67","145,49","933,83K","1,13%"
"25.04.2022","144,85","145,00","146,02","143,24","846,81K","-0,54%"
"22.04.2022","145,64","147,05","147,76","145,47","766,93K","-1,51%"
"21.04.2022","147,87","148,42","149,15","147,44","652,92K","0,54%"
"20.04.2022","147,07","146,69","147,20","145,55","757,34K","0,55%"
"19.04.2022","146,27","147,24","148,27","146,15","730,37K","-1,23%"
"14.04.2022","148,09","147,45","148,76","146,09","833,94K","0,42%"
"13.04.2022","147,47","147,18","148,53","146,91","558,94K","0,07%"
"12.04.2022","147,36","147,82","148,02","145,80","887,75K","-1,16%"
"11.04.2022","149,09","147,27","149,89","147,20","857,08K","1,10%"
"08.04.2022","147,47","147,18","147,67","146,40","538,42K","1,24%"
"07.04.2022","145,67","146,20","148,29","145,51","794,28K","0,05%"
"06.04.2022","145,60","146,82","147,38","144,40","838,48K","-0,98%"
"05.04.2022","147,04","146,75","147,44","144,84","774,39K","0,33%"
"04.04.2022","146,55","145,67","147,24","144,15","600,55K","1,13%"
"01.04.2022","144,91","144,87","145,40","143,84","481,66K","0,30%"
"31.03.2022","144,47","145,20","145,91","143,42","791,19K","-0,30%"
"30.03.2022","144,91","143,65","144,91","143,15","874,37K","0,26%"
"29.03.2022","144,53","145,47","146,65","143,80","1,01M","0,23%"
"28.03.2022","144,20","144,44","145,69","144,20","756,36K","0,52%"
"25.03.2022","143,45","143,96","146,56","143,22","1,06M","0,23%"
"24.03.2022","143,13","140,58","144,38","140,09","1,40M","2,09%"
"23.03.2022","140,20","139,09","140,56","138,56","1,44M","2,31%"
"22.03.2022","137,04","137,27","137,35","134,73","962,29K","-0,34%"
"21.03.2022","137,51","138,20","138,82","137,16","676,99K","-0,84%"
"18.03.2022","138,67","138,82","139,11","136,13","2,15M","0,01%"
"17.03.2022","138,65","137,80","138,65","136,82","1,15M","1,01%"
"16.03.2022","137,27","136,36","138,00","135,38","1,30M","2,00%"
"15.03.2022","134,58","133,71","135,24","132,05","819,49K","0,12%"
"14.03.2022","134,42","132,27","135,00","131,09","976,14K","2,85%"
"11.03.2022","130,69","129,25","135,44","127,35","1,58M","1,27%"
"10.03.2022","129,05","133,38","133,38","128,16","1,70M","-2,75%"
"09.03.2022","132,71","126,69","132,71","126,42","2,24M","6,07%"
"08.03.2022","125,11","126,71","131,40","124,45","2,02M","-2,52%"
"07.03.2022","128,35","127,27","130,38","125,05","1,52M","-1,44%"
"04.03.2022","130,22","133,35","133,78","130,02","1,39M","-2,90%"
"03.03.2022","134,11","134,80","136,44","133,82","779,59K","-0,87%"
"02.03.2022","135,29","134,15","136,13","131,91","1,32M","0,58%"
"01.03.2022","134,51","134,40","136,62","132,84","1,47M","-0,50%"
"28.02.2022","135,18","132,78","135,42","131,35","1,65M","0,47%"
"25.02.2022","134,55","131,95","135,07","130,96","1,34M","2,37%"
"24.02.2022","131,44","130,45","133,75","130,11","1,80M","-2,48%"
"23.02.2022","134,78","133,93","137,16","133,44","1,16M","1,22%"
"22.02.2022","133,16","130,45","134,24","130,11","1,07M","-0,14%"
"21.02.2022","133,35","138,05","138,35","132,44","898,60K","-2,69%"
"18.02.2022","137,04","136,51","137,09","135,18","1,11M","0,28%"
"17.02.2022","136,65","135,76","137,56","135,36","1,08M","1,29%"
"16.02.2022","134,91","135,33","136,58","134,05","1,11M","2,68%"
"15.02.2022","131,38","129,09","131,42","128,55","839,24K","1,69%"
"14.02.2022","129,20","129,18","129,20","126,29","1,32M","-1,09%"
"11.02.2022","130,62","133,49","133,67","129,78","1,20M","-2,92%"
"10.02.2022","134,55","132,87","135,56","132,69","1,11M","1,47%"
"09.02.2022","132,60","133,09","134,53","132,24","1,02M","0,03%"
"08.02.2022","132,56","133,51","134,73","131,84","886,97K","-0,46%"
"07.02.2022","133,18","134,31","134,55","131,85","684,73K","-0,52%"
"04.02.2022","133,87","137,24","137,42","132,93","1,23M","-2,48%"
"03.02.2022","137,27","140,29","140,31","137,16","776,17K","-1,96%"
"02.02.2022","140,02","139,55","140,29","138,89","657,70K","1,29%"
"01.02.2022","138,24","138,29","139,65","138,02","721,40K","0,45%"
"31.01.2022","137,62","138,69","139,00","136,27","988,22K","0,12%"
"28.01.2022","137,45","138,38","138,82","136,05","1,01M","-1,51%"
"27.01.2022","139,56","138,09","140,69","137,73","815,67K","0,75%"
"26.01.2022","138,53","138,69","140,36","138,24","738,66K","0,18%"
"25.01.2022","138,27","138,93","139,02","137,22","858,37K","0,92%"
"24.01.2022","137,02","140,62","142,07","136,91","1,17M","-2,89%"
"21.01.2022","141,09","141,24","142,45","139,64","1,01M","-1,49%"
"20.01.2022","143,22","141,27","143,55","140,45","686,93K","1,12%"
"19.01.2022","141,64","139,24","142,36","138,73","744,93K","1,45%"
"18.01.2022","139,62","141,11","141,18","139,62","977,72K","-1,11%"
"17.01.2022","141,18","140,98","141,84","140,25","529,24K","0,36%"
"14.01.2022","140,67","142,09","142,09","139,62","789,14K","-1,18%"
"13.01.2022","142,35","143,84","144,55","142,35","715,43K","-1,02%"
"12.01.2022","143,82","143,53","144,16","142,56","684,60K","0,93%"
"11.01.2022","142,49","142,73","144,22","142,20","739,73K","0,42%"
"10.01.2022","141,89","143,02","144,16","141,62","642,67K","-0,23%"
"07.01.2022","142,22","142,02","143,47","141,38","765,06K","-0,36%"
"06.01.2022","142,73","144,00","145,09","142,69","860,62K","-1,90%"
"05.01.2022","145,49","142,95","145,49","142,95","885,14K","1,63%"
"04.01.2022","143,16","141,20","143,27","140,35","822,82K","1,93%"
"03.01.2022","140,45","140,18","142,11","139,76","527,45K","0,77%"
"31.12.2021","139,38","138,95","139,49","138,78","193,36K","-0,23%"
"30.12.2021","139,71","139,11","140,00","138,82","496,73K","0,62%"
"29.12.2021","138,85","139,62","139,69","138,42","344,92K","-0,48%"
"28.12.2021","139,53","138,51","139,73","138,00","307,64K","0,71%"
"27.12.2021","138,55","136,84","139,02","136,78","335,52K","1,28%"
"24.12.2021","136,80","137,75","137,78","136,80","85,13K","-0,67%"
"23.12.2021","137,73","137,16","137,95","136,15","480,84K","0,77%"
"22.12.2021","136,67","136,47","136,67","134,56","697,61K","0,33%"
"21.12.2021","136,22","137,95","138,00","135,85","602,58K","0,12%"
"20.12.2021","136,05","136,45","136,95","135,20","793,23K","-2,05%"
