"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"20.04.2023","60,99","61,29","61,48","60,91","1,72M","-0,49%"
"19.04.2023","61,29","61,40","61,57","60,88","1,14M","-0,18%"
"18.04.2023","61,40","61,74","61,91","61,08","1,43M","-0,20%"
"17.04.2023","61,52","61,40","61,79","61,00","1,32M","0,26%"
"14.04.2023","61,36","61,03","61,55","60,96","1,61M","0,51%"
"13.04.2023","61,05","60,14","61,18","59,94","2,16M","1,60%"
"12.04.2023","60,09","60,22","60,22","59,35","2,00M","-0,38%"
"11.04.2023","60,32","60,74","61,14","60,01","1,50M","-0,40%"
"06.04.2023","60,56","59,85","60,75","59,53","1,63M","1,75%"
"05.04.2023","59,52","58,68","59,71","58,60","1,76M","1,19%"
"04.04.2023","58,82","59,44","59,55","58,82","1,40M","-0,44%"
"03.04.2023","59,08","58,75","59,39","58,63","1,21M","0,61%"
"31.03.2023","58,72","58,12","59,00","58,00","2,44M","1,63%"
"30.03.2023","57,78","57,33","58,10","57,27","1,50M","0,89%"
"29.03.2023","57,27","56,90","57,59","56,90","1,87M","0,70%"
"28.03.2023","56,87","56,30","57,26","56,30","1,75M","1,55%"
"27.03.2023","56,00","56,10","56,27","55,70","1,58M","0,81%"
"24.03.2023","55,55","55,90","55,90","54,80","2,40M","-0,70%"
"23.03.2023","55,94","56,44","56,55","55,77","1,59M","-1,22%"
"22.03.2023","56,63","57,38","57,53","56,63","1,91M","-0,96%"
"21.03.2023","57,18","56,36","57,39","56,36","2,01M","2,05%"
"20.03.2023","56,03","55,80","56,53","54,89","2,30M","0,39%"
"17.03.2023","55,81","56,11","56,94","55,53","6,77M","0,07%"
"16.03.2023","55,77","56,55","56,80","55,18","2,80M","0,04%"
"15.03.2023","55,75","57,26","57,64","55,73","2,98M","-2,57%"
"14.03.2023","57,22","56,36","57,73","55,98","1,69M","2,07%"
"13.03.2023","56,06","57,61","57,63","56,06","3,24M","-2,84%"
"10.03.2023","57,70","57,44","57,89","56,83","2,23M","-0,55%"
"09.03.2023","58,02","58,26","58,44","58,02","1,49M","-0,77%"
"08.03.2023","58,47","57,31","58,77","57,27","2,96M","2,13%"
"07.03.2023","57,25","57,48","58,06","57,17","2,10M","-0,66%"
"06.03.2023","57,63","57,61","57,82","57,30","1,46M","0,05%"
"03.03.2023","57,60","56,91","57,70","56,86","1,78M","1,37%"
"02.03.2023","56,82","56,00","56,90","55,67","2,53M","0,85%"
"01.03.2023","56,34","56,22","56,71","55,80","2,98M","0,09%"
"28.02.2023","56,29","57,04","57,49","55,40","8,45M","-3,91%"
"27.02.2023","58,58","59,10","59,54","58,58","2,17M","-0,07%"
"24.02.2023","58,62","60,01","60,27","58,62","5,31M","-2,15%"
"23.02.2023","59,91","59,04","60,29","58,86","1,87M","1,44%"
"22.02.2023","59,06","58,77","59,06","58,54","1,49M","-0,32%"
"21.02.2023","59,25","59,00","59,67","58,77","1,66M","0,53%"
"20.02.2023","58,94","59,44","59,57","58,68","986,75K","-0,30%"
"17.02.2023","59,12","59,07","59,52","58,73","1,91M","-0,56%"
"16.02.2023","59,45","60,05","60,25","58,91","2,31M","-1,15%"
"15.02.2023","60,14","60,37","60,89","59,29","2,52M","-0,53%"
"14.02.2023","60,46","59,82","60,91","59,80","2,44M","1,53%"
"13.02.2023","59,55","58,70","59,59","58,56","1,80M","1,28%"
"10.02.2023","58,80","60,20","61,02","58,65","3,39M","-2,70%"
"09.02.2023","60,43","64,06","65,66","60,25","7,46M","-3,30%"
"08.02.2023","62,49","59,47","62,89","58,43","5,78M","6,01%"
"07.02.2023","58,95","58,39","59,04","58,08","2,63M","1,31%"
"06.02.2023","58,19","56,50","59,02","56,11","3,45M","2,66%"
"03.02.2023","56,68","56,74","56,96","56,41","1,97M","-0,21%"
"02.02.2023","56,80","56,65","57,05","56,09","2,31M","0,53%"
"01.02.2023","56,50","57,05","57,10","56,26","2,26M","-0,88%"
"31.01.2023","57,00","56,85","57,00","56,03","2,17M","0,18%"
"30.01.2023","56,90","56,28","57,25","56,28","2,00M","1,10%"
"27.01.2023","56,28","56,18","56,62","56,01","1,89M","0,43%"
"26.01.2023","56,04","55,90","56,26","55,67","1,77M","1,01%"
"25.01.2023","55,48","55,47","55,69","55,10","1,63M","-0,07%"
"24.01.2023","55,52","56,00","56,02","55,21","1,70M","-0,79%"
"23.01.2023","55,96","56,64","56,68","55,63","1,67M","-0,76%"
"20.01.2023","56,39","56,09","56,48","55,83","2,17M","1,20%"
"19.01.2023","55,72","56,00","56,79","55,44","2,59M","-1,00%"
"18.01.2023","56,28","57,03","57,13","56,07","2,44M","-1,28%"
"17.01.2023","57,01","57,42","57,69","56,78","2,37M","-0,75%"
"16.01.2023","57,44","57,80","57,87","57,13","1,48M","0,05%"
"13.01.2023","57,41","56,54","57,80","56,41","3,88M","1,83%"
"12.01.2023","56,38","56,23","56,84","55,84","3,39M","0,84%"
"11.01.2023","55,91","55,10","56,28","54,70","5,44M","3,61%"
"10.01.2023","53,96","51,51","54,45","51,39","5,04M","4,05%"
"09.01.2023","51,86","50,79","53,32","50,59","4,95M","2,59%"
"06.01.2023","50,55","49,49","50,57","49,38","2,11M","1,58%"
"05.01.2023","49,76","49,45","50,38","49,33","2,33M","0,48%"
"04.01.2023","49,53","49,38","49,76","49,08","3,05M","0,61%"
"03.01.2023","49,22","48,77","49,81","48,73","2,24M","-0,55%"
"02.01.2023","49,49","48,58","49,51","48,47","1,40M","2,42%"
"30.12.2022","48,33","49,13","49,28","48,33","1,09M","-1,85%"
"29.12.2022","49,24","48,69","49,24","48,55","1,30M","1,17%"
"28.12.2022","48,67","48,63","48,98","48,31","1,33M","0,37%"
"27.12.2022","48,49","48,90","48,97","48,31","1,30M","-0,28%"
"23.12.2022","48,62","48,47","48,81","48,35","1,47M","0,14%"
"22.12.2022","48,55","49,10","49,36","48,37","1,99M","-0,94%"
"21.12.2022","49,01","49,33","49,63","48,75","2,42M","-0,73%"
"20.12.2022","49,37","48,76","49,49","48,54","2,75M","1,16%"
"19.12.2022","48,81","48,64","49,09","48,63","2,31M","0,50%"
"16.12.2022","48,56","50,31","50,38","48,44","9,21M","-3,80%"
"15.12.2022","50,48","51,92","52,27","50,48","3,41M","-3,02%"
"14.12.2022","52,05","52,29","52,38","51,43","3,14M","-0,76%"
"13.12.2022","52,45","52,39","53,20","52,21","2,34M","0,25%"
"12.12.2022","52,32","52,52","53,01","52,32","1,87M","-1,06%"
