"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"03.11.2021","0,0158","0,0157","0,0160","0,0156","30,11M","1,28%"
"02.11.2021","0,0156","0,0158","0,0159","0,0155","17,16M","-0,64%"
"01.11.2021","0,0157","0,0159","0,0162","0,0155","43,53M","-0,63%"
"29.10.2021","0,0158","0,0158","0,0160","0,0153","76,49M","0,00%"
"28.10.2021","0,0158","0,0154","0,0158","0,0151","45,05M","3,27%"
"27.10.2021","0,0153","0,0151","0,0155","0,0150","34,52M","1,32%"
"26.10.2021","0,0151","0,0151","0,0152","0,0150","21,28M","0,67%"
"25.10.2021","0,0150","0,0152","0,0152","0,0148","26,01M","0,00%"
"22.10.2021","0,0150","0,0157","0,0157","0,0150","41,99M","-2,60%"
"21.10.2021","0,0154","0,0154","0,0157","0,0151","67,37M","0,65%"
"20.10.2021","0,0153","0,0160","0,0160","0,0149","119,79M","-2,55%"
"19.10.2021","0,0157","0,0163","0,0164","0,0157","68,74M","-2,48%"
"18.10.2021","0,0161","0,0164","0,0165","0,0160","25,17M","-1,23%"
"15.10.2021","0,0163","0,0163","0,0165","0,0158","33,58M","0,62%"
"14.10.2021","0,0162","0,0162","0,0162","0,0158","26,69M","0,62%"
"13.10.2021","0,0161","0,0159","0,0165","0,0157","53,80M","1,26%"
"12.10.2021","0,0159","0,0157","0,0159","0,0152","33,68M","1,27%"
"11.10.2021","0,0157","0,0161","0,0165","0,0157","43,09M","-2,48%"
"08.10.2021","0,0161","0,0170","0,0174","0,0160","146,41M","-3,59%"
"07.10.2021","0,0167","0,0159","0,0170","0,0156","145,00M","7,74%"
"06.10.2021","0,0155","0,0151","0,0164","0,0149","142,49M","4,03%"
"05.10.2021","0,0149","0,0153","0,0154","0,0147","65,15M","-2,61%"
"04.10.2021","0,0153","0,0154","0,0155","0,0150","40,04M","2,00%"
"01.10.2021","0,0150","0,0145","0,0152","0,0142","56,30M","2,04%"
"30.09.2021","0,0147","0,0151","0,0153","0,0145","66,55M","-1,34%"
"29.09.2021","0,0149","0,0153","0,0156","0,0147","100,60M","-1,32%"
"28.09.2021","0,0151","0,0164","0,0168","0,0151","200,62M","-6,79%"
"27.09.2021","0,0162","0,0144","0,0166","0,0144","231,09M","13,29%"
"24.09.2021","0,0143","0,0142","0,0149","0,0139","123,75M","-1,38%"
"23.09.2021","0,0145","0,0141","0,0154","0,0138","193,66M","3,57%"
"22.09.2021","0,0140","0,0158","0,0161","0,0138","411,36M","-11,39%"
"21.09.2021","0,0158","0,0163","0,0169","0,0158","88,40M","-2,47%"
"20.09.2021","0,0162","0,0174","0,0174","0,0160","158,35M","-6,36%"
"17.09.2021","0,0173","0,0179","0,0180","0,0171","86,59M","-2,81%"
"16.09.2021","0,0178","0,0192","0,0194","0,0174","157,63M","-6,81%"
"15.09.2021","0,0191","0,0200","0,0200","0,0191","106,96M","-3,54%"
"14.09.2021","0,0198","0,0195","0,0200","0,0194","60,01M","3,12%"
"13.09.2021","0,0192","0,0191","0,0195","0,0190","27,07M","0,52%"
"10.09.2021","0,0191","0,0200","0,0200","0,0188","82,74M","-4,02%"
"09.09.2021","0,0199","0,0200","0,0201","0,0199","27,95M","0,00%"
"08.09.2021","0,0199","0,0200","0,0201","0,0199","21,94M","0,00%"
"07.09.2021","0,0199","0,0201","0,0202","0,0199","48,33M","-0,50%"
"06.09.2021","0,0200","0,0201","0,0202","0,0200","36,45M","-0,50%"
"03.09.2021","0,0201","0,0204","0,0206","0,0200","72,39M","-0,50%"
"02.09.2021","0,0202","0,0203","0,0203","0,0202","30,17M","0,50%"
"01.09.2021","0,0201","0,0203","0,0203","0,0201","15,38M","-0,50%"
"31.08.2021","0,0202","0,0202","0,0208","0,0202","67,78M","0,50%"
"30.08.2021","0,0201","0,0201","0,0202","0,0200","14,66M","0,00%"
"27.08.2021","0,0201","0,0202","0,0202","0,0200","16,20M","-0,50%"
"26.08.2021","0,0202","0,0202","0,0205","0,0200","68,53M","1,00%"
"25.08.2021","0,0200","0,0201","0,0202","0,0199","22,34M","1,01%"
"24.08.2021","0,0198","0,0203","0,0203","0,0197","109,95M","-1,98%"
"23.08.2021","0,0202","0,0203","0,0206","0,0202","69,14M","0,00%"
"20.08.2021","0,0202","0,0204","0,0207","0,0202","71,95M","0,00%"
"19.08.2021","0,0202","0,0201","0,0207","0,0201","74,41M","0,50%"
"18.08.2021","0,0201","0,0211","0,0212","0,0201","198,73M","-4,29%"
"17.08.2021","0,0210","0,0212","0,0216","0,0208","127,67M","0,00%"
"16.08.2021","0,0210","0,0210","0,0215","0,0208","82,22M","0,00%"
"13.08.2021","0,0210","0,0209","0,0219","0,0208","402,07M","-5,41%"
"12.08.2021","0,0222","0,0229","0,0229","0,0222","54,95M","-3,06%"
"11.08.2021","0,0229","0,0233","0,0234","0,0218","96,15M","-1,72%"
"10.08.2021","0,0233","0,0242","0,0242","0,0223","58,50M","-3,32%"
"09.08.2021","0,0241","0,0246","0,0246","0,0232","34,51M","-0,41%"
"06.08.2021","0,0242","0,0250","0,0252","0,0237","56,91M","-3,59%"
"05.08.2021","0,0251","0,0259","0,0274","0,0244","85,84M","1,62%"
"04.08.2021","0,0247","0,0239","0,0254","0,0239","25,98M","2,07%"
"03.08.2021","0,0242","0,0264","0,0265","0,0241","48,22M","-6,92%"
"02.08.2021","0,0260","0,0254","0,0279","0,0250","28,56M","1,96%"
"30.07.2021","0,0255","0,0294","0,0295","0,0255","60,54M","-12,37%"
"29.07.2021","0,0291","0,0302","0,0310","0,0289","52,95M","-1,69%"
"28.07.2021","0,0296","0,0290","0,0300","0,0261","58,01M","2,42%"
"27.07.2021","0,0289","0,0294","0,0310","0,0274","110,79M","-0,69%"
"26.07.2021","0,0291","0,0240","0,0299","0,0235","162,69M","23,31%"
"23.07.2021","0,0236","0,0230","0,0248","0,0229","62,84M","3,06%"
"22.07.2021","0,0229","0,0240","0,0243","0,0229","40,61M","-4,18%"
"21.07.2021","0,0239","0,0243","0,0249","0,0233","51,02M","-2,85%"
"20.07.2021","0,0246","0,0237","0,0247","0,0231","53,11M","4,24%"
"19.07.2021","0,0236","0,0259","0,0260","0,0236","32,92M","-6,72%"
"16.07.2021","0,0253","0,0255","0,0265","0,0250","18,44M","-1,56%"
"15.07.2021","0,0257","0,0263","0,0267","0,0252","30,30M","-1,91%"
"14.07.2021","0,0262","0,0280","0,0308","0,0250","109,54M","-5,07%"
"13.07.2021","0,0276","0,0328","0,0340","0,0275","149,60M","16,26%"
"12.07.2021","0,0237","0,0263","0,0263","0,0232","93,14M","-11,02%"
"09.07.2021","0,0267","0,0271","0,0283","0,0263","78,10M","-3,12%"
"08.07.2021","0,0275","0,0292","0,0292","0,0271","21,51M","-3,49%"
"07.07.2021","0,0285","0,0302","0,0302","0,0281","16,74M","-3,07%"
"06.07.2021","0,0294","0,0306","0,0307","0,0290","39,82M","-4,12%"
"05.07.2021","0,0307","0,0312","0,0313","0,0303","2,88M","0,59%"
"02.07.2021","0,0305","0,0301","0,0309","0,0301","5,34M","1,20%"
"01.07.2021","0,0302","0,0312","0,0312","0,0299","6,82M","-1,77%"
"30.06.2021","0,0307","0,0316","0,0317","0,0303","6,94M","-2,44%"
"29.06.2021","0,0315","0,0317","0,0317","0,0307","4,72M","-0,57%"
"28.06.2021","0,0317","0,0321","0,0321","0,0312","5,55M","0,00%"
"25.06.2021","0,0317","0,0313","0,0326","0,0313","7,92M","0,86%"
"24.06.2021","0,0314","0,0324","0,0324","0,0312","1,94M","0,00%"
"23.06.2021","0,0314","0,0320","0,0326","0,0312","7,29M","-2,25%"
"22.06.2021","0,0321","0,0328","0,0328","0,0317","17,42M","0,00%"
"21.06.2021","0,0321","0,0317","0,0329","0,0312","13,20M","2,75%"
"18.06.2021","0,0312","0,0319","0,0330","0,0312","20,44M","-1,29%"
"17.06.2021","0,0317","0,0331","0,0334","0,0317","6,63M","-4,11%"
"16.06.2021","0,0330","0,0344","0,0344","0,0328","8,57M","-2,02%"
"15.06.2021","0,0337","0,0345","0,0347","0,0332","4,50M","-1,97%"
"14.06.2021","0,0344","0,0348","0,0348","0,0344","3,14M","0,00%"
"11.06.2021","0,0344","0,0344","0,0349","0,0344","2,26M","-1,17%"
"10.06.2021","0,0348","0,0347","0,0351","0,0343","4,97M","0,39%"
"09.06.2021","0,0347","0,0348","0,0353","0,0345","5,01M","0,00%"
"08.06.2021","0,0347","0,0351","0,0351","0,0340","16,03M","1,32%"
"07.06.2021","0,0342","0,0353","0,0358","0,0341","12,31M","-3,07%"
"04.06.2021","0,0353","0,0354","0,0358","0,0353","20,32M","-0,26%"
"03.06.2021","0,0354","0,0359","0,0366","0,0354","26,91M","-2,37%"
"02.06.2021","0,0363","0,0355","0,0363","0,0353","126,53M","2,82%"
"01.06.2021","0,0353","0,0354","0,0356","0,0352","3,58M","-0,64%"
"31.05.2021","0,0355","0,0359","0,0359","0,0353","2,78M","-0,63%"
"28.05.2021","0,0357","0,0362","0,0363","0,0353","7,07M","0,00%"
"27.05.2021","0,0357","0,0366","0,0366","0,0355","6,82M","-0,63%"
"26.05.2021","0,0359","0,0370","0,0370","0,0358","6,02M","0,00%"
