"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"25.07.2022","4,610","4,625","4,660","4,480","156,91K","2,10%"
"22.07.2022","4,515","4,645","4,650","4,495","100,19K","0,11%"
"21.07.2022","4,510","4,760","4,760","4,480","119,03K","-3,32%"
"20.07.2022","4,665","4,720","4,720","4,450","158,68K","-0,11%"
"19.07.2022","4,670","4,495","4,680","4,380","132,21K","2,75%"
"18.07.2022","4,545","4,450","4,595","4,445","95,94K","2,13%"
"15.07.2022","4,450","4,450","4,510","4,310","214,87K","-0,67%"
"14.07.2022","4,480","4,550","4,645","4,440","110,70K","-2,82%"
"13.07.2022","4,610","4,750","4,750","4,515","114,16K","-1,71%"
"12.07.2022","4,690","4,710","4,760","4,520","135,11K","-1,47%"
"11.07.2022","4,760","5,000","5,000","4,720","84,18K","-4,32%"
"08.07.2022","4,975","5,060","5,070","4,845","123,87K","0,51%"
"07.07.2022","4,950","4,710","4,970","4,710","157,09K","3,34%"
"06.07.2022","4,790","4,890","4,925","4,750","60,73K","-0,52%"
"05.07.2022","4,815","5,270","5,270","4,705","131,92K","-4,08%"
"04.07.2022","5,020","5,150","5,180","4,985","64,75K","-2,52%"
"01.07.2022","5,150","5,210","5,260","5,070","136,19K","-0,58%"
"30.06.2022","5,180","5,230","5,240","5,000","157,12K","-3,18%"
"29.06.2022","5,350","5,500","5,680","5,190","234,74K","-5,81%"
"28.06.2022","5,680","5,660","5,770","5,630","69,22K","0,35%"
"27.06.2022","5,660","5,910","5,910","5,610","67,92K","-2,41%"
"24.06.2022","5,800","5,690","5,840","5,510","159,02K","-0,17%"
"23.06.2022","5,810","6,030","6,090","5,800","192,73K","-3,49%"
"22.06.2022","6,020","6,420","6,420","6,020","136,39K","-5,49%"
"21.06.2022","6,370","6,500","6,530","6,290","79,56K","0,16%"
"20.06.2022","6,360","6,090","6,430","6,040","81,05K","3,92%"
"17.06.2022","6,120","6,100","6,230","5,940","236,20K","0,16%"
"16.06.2022","6,110","6,560","6,560","6,110","126,33K","-5,71%"
"15.06.2022","6,480","6,330","6,520","6,290","142,44K","2,53%"
"14.06.2022","6,320","6,580","6,690","6,280","123,76K","-4,96%"
"13.06.2022","6,650","6,820","6,820","6,540","153,61K","-3,34%"
"10.06.2022","6,880","6,890","7,000","6,790","86,85K","-2,82%"
"09.06.2022","7,080","6,930","7,150","6,860","71,25K","0,14%"
"08.06.2022","7,070","7,140","7,150","6,900","40,50K","0,28%"
"07.06.2022","7,050","7,000","7,110","6,900","297,61K","0,14%"
"06.06.2022","7,040","7,000","7,040","6,790","50,12K","2,18%"
"03.06.2022","6,890","7,070","7,070","6,810","40,00K","-0,72%"
"02.06.2022","6,940","6,690","6,940","6,670","57,09K","2,36%"
"01.06.2022","6,780","7,100","7,140","6,700","93,89K","-3,69%"
"31.05.2022","7,040","7,250","7,370","7,020","249,52K","-3,69%"
"30.05.2022","7,310","6,960","7,440","6,940","206,53K","7,50%"
"27.05.2022","6,800","6,960","6,960","6,640","214,75K","-1,16%"
"26.05.2022","6,880","6,230","7,060","6,210","407,63K","13,53%"
"25.05.2022","6,060","6,110","6,150","6,000","356,01K","-1,46%"
"24.05.2022","6,150","6,210","6,280","6,090","81,51K","-2,38%"
"23.05.2022","6,300","6,310","6,400","6,200","74,29K","-0,16%"
"20.05.2022","6,310","6,250","6,310","6,120","149,64K","4,82%"
"19.05.2022","6,020","6,060","6,070","5,940","178,55K","-1,63%"
