"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"20.04.2023","20,010","19,930","20,100","19,920","955,70K","0,18%"
"19.04.2023","19,975","19,780","20,060","19,725","1,00M","1,32%"
"18.04.2023","19,715","19,825","19,845","19,600","1,49M","-0,43%"
"17.04.2023","19,800","19,780","20,020","19,750","1,08M","0,25%"
"14.04.2023","19,750","20,350","20,360","19,670","2,02M","-2,57%"
"13.04.2023","20,270","20,470","20,470","20,110","1,85M","-0,78%"
"12.04.2023","20,430","20,250","20,470","20,250","913,38K","0,74%"
"11.04.2023","20,280","20,360","20,480","20,170","1,27M","-0,34%"
"06.04.2023","20,350","20,170","20,490","20,120","1,29M","1,14%"
"05.04.2023","20,120","19,980","20,170","19,980","1,44M","0,83%"
"04.04.2023","19,955","19,820","20,030","19,820","832,68K","0,55%"
"03.04.2023","19,845","20,000","20,050","19,590","977,84K","-0,78%"
"31.03.2023","20,000","19,705","20,040","19,650","2,53M","1,34%"
"30.03.2023","19,735","19,600","19,850","19,585","1,09M","0,95%"
"29.03.2023","19,550","19,480","19,580","19,395","747,56K","0,41%"
"28.03.2023","19,470","19,450","19,555","19,340","1,14M","0,28%"
"27.03.2023","19,415","19,190","19,480","19,075","943,79K","1,97%"
"24.03.2023","19,040","19,310","19,310","18,935","1,37M","-1,78%"
"23.03.2023","19,385","19,350","19,440","19,155","923,86K","0,49%"
"22.03.2023","19,290","19,150","19,310","19,065","1,09M","0,73%"
"21.03.2023","19,150","18,950","19,155","18,905","1,25M","1,14%"
"20.03.2023","18,935","18,440","18,935","18,400","1,55M","2,21%"
"17.03.2023","18,525","18,845","18,985","18,290","20,07M","-1,44%"
"16.03.2023","18,795","18,625","18,905","18,555","1,78M","1,65%"
"15.03.2023","18,490","19,050","19,095","18,465","2,30M","-2,09%"
"14.03.2023","18,885","18,665","19,095","18,665","1,75M","1,50%"
"13.03.2023","18,605","18,855","18,905","18,375","1,70M","-1,61%"
"10.03.2023","18,910","18,930","19,050","18,840","1,17M","-0,34%"
"09.03.2023","18,975","19,135","19,285","18,890","1,51M","-0,65%"
"08.03.2023","19,100","18,930","19,300","18,520","4,52M","4,49%"
"07.03.2023","18,280","18,270","18,470","18,265","1,06M","0,08%"
"06.03.2023","18,265","18,370","18,435","18,160","764,42K","-0,16%"
"03.03.2023","18,295","18,315","18,390","18,220","954,66K","0,38%"
"02.03.2023","18,225","18,115","18,260","18,030","924,61K","0,39%"
"01.03.2023","18,155","18,585","18,595","18,130","1,29M","-2,23%"
"28.02.2023","18,570","18,675","18,755","18,450","1,36M","-0,83%"
"27.02.2023","18,725","18,750","18,780","18,635","863,19K","0,62%"
"24.02.2023","18,610","18,890","18,950","18,440","1,30M","0,40%"
"23.02.2023","18,535","18,625","18,665","18,455","967,18K","-0,72%"
"22.02.2023","18,670","18,805","18,805","18,445","837,65K","-0,85%"
"21.02.2023","18,830","18,355","19,020","18,240","1,06M","-0,26%"
"20.02.2023","18,880","19,100","19,325","18,845","1,13M","-0,87%"
"17.02.2023","19,045","18,700","19,085","18,625","1,47M","1,76%"
"16.02.2023","18,715","18,850","18,900","18,545","858,84K","-0,29%"
"15.02.2023","18,770","18,650","18,815","18,600","1,16M","1,49%"
"14.02.2023","18,495","18,295","18,520","18,220","1,34M","1,20%"
"13.02.2023","18,275","18,155","18,275","18,090","681,43K","0,86%"
"10.02.2023","18,120","18,100","18,240","18,005","533,06K","-0,08%"
"09.02.2023","18,135","18,215","18,305","18,135","548,17K","-0,36%"
"08.02.2023","18,200","18,195","18,300","18,130","916,61K","0,17%"
"07.02.2023","18,170","18,280","18,325","18,095","597,94K","-0,36%"
"06.02.2023","18,235","18,195","18,265","18,100","462,65K","-0,16%"
"03.02.2023","18,265","18,300","18,345","18,140","811,28K","-0,44%"
"02.02.2023","18,345","18,250","18,375","18,095","1,05M","0,80%"
"01.02.2023","18,200","18,275","18,325","18,115","699,85K","-0,38%"
"31.01.2023","18,270","18,295","18,365","18,180","900,43K","-0,44%"
"30.01.2023","18,350","18,295","18,420","18,235","692,29K","0,33%"
"27.01.2023","18,290","18,280","18,340","18,165","562,11K","0,30%"
"26.01.2023","18,235","18,400","18,400","18,105","1,02M","-0,60%"
"25.01.2023","18,345","18,440","18,470","18,230","703,06K","-0,24%"
"24.01.2023","18,390","18,295","18,420","18,240","609,28K","0,08%"
"23.01.2023","18,375","18,385","18,450","18,230","866,36K","0,19%"
"20.01.2023","18,340","18,350","18,510","18,260","1,03M","0,19%"
"19.01.2023","18,305","18,460","18,550","18,125","1,04M","-1,13%"
"18.01.2023","18,515","18,745","18,745","18,480","1,18M","-1,33%"
"17.01.2023","18,765","18,675","18,795","18,510","861,01K","0,05%"
"16.01.2023","18,755","18,645","18,775","18,530","519,35K","0,94%"
"13.01.2023","18,580","18,700","18,760","18,555","899,75K","-0,80%"
"12.01.2023","18,730","18,750","18,945","18,530","1,18M","0,21%"
"11.01.2023","18,690","18,750","18,970","18,690","1,29M","-0,11%"
"10.01.2023","18,710","18,420","18,845","18,355","1,80M","1,24%"
"09.01.2023","18,480","18,360","18,540","18,185","1,74M","-1,73%"
"06.01.2023","18,805","18,515","18,810","18,400","821,40K","1,79%"
"05.01.2023","18,475","18,590","18,750","18,400","1,64M","-1,12%"
"04.01.2023","18,685","18,100","18,750","18,100","2,09M","3,78%"
"03.01.2023","18,005","17,900","18,195","17,770","1,19M","0,47%"
"02.01.2023","17,920","17,750","17,980","17,645","528,06K","1,62%"
"30.12.2022","17,635","17,855","17,870","17,630","1,85M","-1,37%"
"29.12.2022","17,880","17,580","17,930","17,525","890,10K","1,48%"
"28.12.2022","17,620","17,660","17,795","17,615","708,45K","-0,23%"
"27.12.2022","17,660","17,760","17,875","17,615","662,28K","-0,23%"
"23.12.2022","17,700","17,800","17,815","17,580","551,30K","-0,59%"
"22.12.2022","17,805","17,760","17,885","17,740","650,53K","0,45%"
"21.12.2022","17,725","17,640","17,770","17,535","702,37K","1,03%"
"20.12.2022","17,545","17,450","17,625","17,275","704,94K","0,29%"
"19.12.2022","17,495","17,495","17,675","17,425","780,89K","0,00%"
"16.12.2022","17,495","17,575","17,725","17,355","2,47M","-0,71%"
"15.12.2022","17,620","17,950","18,065","17,620","924,19K","-2,33%"
"14.12.2022","18,040","17,805","18,040","17,780","1,05M","1,32%"
"13.12.2022","17,805","17,695","18,045","17,485","1,19M","0,68%"
"12.12.2022","17,685","17,760","17,820","17,630","1,04M","-0,84%"
"09.12.2022","17,835","17,720","17,835","17,630","872,79K","0,73%"
"08.12.2022","17,705","17,900","17,945","17,575","1,19M","-1,14%"
"07.12.2022","17,910","17,955","18,095","17,885","1,03M","-0,22%"
"06.12.2022","17,950","17,955","18,130","17,845","740,19K","-0,11%"
"05.12.2022","17,970","17,925","18,050","17,805","917,65K","0,25%"
"02.12.2022","17,925","17,925","18,060","17,850","878,82K","-0,19%"
"01.12.2022","17,960","17,850","18,140","17,750","1,45M","1,47%"
"30.11.2022","17,700","17,475","17,700","17,470","2,28M","0,88%"
"29.11.2022","17,545","17,720","17,790","17,445","1,41M","-0,99%"
"28.11.2022","17,720","17,930","18,035","17,665","1,51M","-1,17%"
"25.11.2022","17,930","18,260","18,300","17,855","1,96M","-1,51%"
"24.11.2022","18,205","18,140","18,320","17,985","1,70M","0,36%"
"23.11.2022","18,140","18,600","18,600","17,750","4,73M","-5,10%"
"22.11.2022","19,115","18,835","19,190","18,770","1,56M","1,81%"
"21.11.2022","18,775","18,555","18,805","18,550","918,83K","0,62%"
"18.11.2022","18,660","18,400","18,660","18,355","1,82M","2,67%"
"17.11.2022","18,175","18,500","18,580","18,035","1,30M","-1,81%"
"16.11.2022","18,510","18,280","18,550","18,215","1,13M","1,04%"
"15.11.2022","18,320","17,990","18,320","17,950","1,77M","2,23%"
"14.11.2022","17,920","17,925","18,140","17,770","1,30M","1,16%"
"11.11.2022","17,715","18,050","18,050","17,485","1,41M","-1,56%"
"10.11.2022","17,995","17,760","18,050","17,585","1,54M","1,55%"
"09.11.2022","17,720","17,390","17,840","17,260","1,57M","1,96%"
"08.11.2022","17,380","16,600","17,460","16,445","2,23M","4,70%"
"07.11.2022","16,600","16,705","16,915","16,550","1,20M","-0,33%"
"04.11.2022","16,655","16,690","16,850","16,100","1,26M","0,27%"
"03.11.2022","16,610","16,730","16,740","16,515","958,91K","-1,60%"
"02.11.2022","16,880","16,900","16,925","16,680","1,02M","0,09%"
"01.11.2022","16,865","16,960","17,125","16,770","821,96K","-0,12%"
"31.10.2022","16,885","16,680","16,885","16,615","1,62M","1,08%"
"28.10.2022","16,705","16,360","16,830","16,350","1,30M","1,37%"
"27.10.2022","16,480","15,830","16,590","15,660","1,62M","4,14%"
"26.10.2022","15,825","15,595","15,825","15,470","835,35K","1,67%"
"25.10.2022","15,565","15,350","15,570","15,235","630,98K","1,63%"
"24.10.2022","15,315","14,970","15,400","14,970","987,59K","2,92%"
"21.10.2022","14,880","15,020","15,060","14,785","801,36K","-1,39%"
"20.10.2022","15,090","15,025","15,170","14,935","944,09K","0,30%"
"19.10.2022","15,045","15,225","15,230","14,920","913,43K","-1,12%"
"18.10.2022","15,215","15,110","15,360","15,085","1,23M","0,73%"
"17.10.2022","15,105","14,860","15,150","14,675","1,95M","1,92%"
"14.10.2022","14,820","14,540","14,930","14,435","1,66M","3,85%"
"13.10.2022","14,270","14,280","14,505","14,070","1,43M","-0,73%"
"12.10.2022","14,375","14,710","14,860","14,370","1,78M","-2,31%"
"11.10.2022","14,715","15,090","15,165","14,640","1,50M","-2,90%"
"10.10.2022","15,155","15,270","15,280","15,090","816,55K","-0,75%"
"07.10.2022","15,270","15,360","15,600","15,270","997,04K","-1,04%"
"06.10.2022","15,430","15,780","15,860","15,360","768,08K","-1,94%"
"05.10.2022","15,735","16,010","16,035","15,665","699,32K","-2,21%"
"04.10.2022","16,090","16,100","16,180","15,940","1,21M","0,59%"
"03.10.2022","15,995","15,385","16,040","15,320","872,07K","3,73%"
"30.09.2022","15,420","15,705","15,735","15,370","1,23M","-1,78%"
"29.09.2022","15,700","16,185","16,205","15,700","1,94M","-3,80%"
"28.09.2022","16,320","16,200","16,510","16,030","1,26M","-0,09%"
"27.09.2022","16,335","16,715","16,815","16,320","1,12M","-2,16%"
"26.09.2022","16,695","16,860","17,035","16,570","886,58K","-1,50%"
"23.09.2022","16,950","17,375","17,425","16,820","1,36M","-2,42%"
"22.09.2022","17,370","17,415","17,550","17,315","814,18K","-1,03%"
"21.09.2022","17,550","17,250","17,650","17,080","1,30M","1,45%"
"20.09.2022","17,300","17,760","17,990","17,280","1,09M","-1,14%"
"19.09.2022","17,500","17,500","17,665","17,305","439,37K","-0,74%"
"16.09.2022","17,630","17,310","17,760","17,295","1,94M","0,63%"
"15.09.2022","17,520","17,150","17,780","16,905","1,79M","2,01%"
"14.09.2022","17,175","17,500","17,515","17,175","1,00M","-2,05%"
"13.09.2022","17,535","17,800","18,000","17,525","1,23M","-1,13%"
"12.09.2022","17,735","17,500","17,770","17,385","733,77K","1,49%"
"09.09.2022","17,475","17,470","17,650","17,375","1,17M","-0,60%"
"08.09.2022","17,580","17,595","17,670","17,405","650,23K","0,17%"
"07.09.2022","17,550","16,980","17,770","16,980","1,50M","3,11%"
"06.09.2022","17,020","17,270","17,330","16,980","582,54K","-1,13%"
"05.09.2022","17,215","17,160","17,215","16,985","658,78K","-0,17%"
"02.09.2022","17,245","17,125","17,295","16,905","733,09K","1,14%"
"01.09.2022","17,050","17,110","17,200","16,955","1,15M","-0,29%"
"31.08.2022","17,100","17,480","17,565","17,030","2,08M","-2,29%"
"30.08.2022","17,500","17,750","17,880","17,500","952,28K","-1,49%"
"29.08.2022","17,765","17,730","17,830","17,530","584,84K","-0,56%"
"26.08.2022","17,865","18,150","18,200","17,805","668,73K","-1,35%"
"25.08.2022","18,110","18,115","18,260","18,030","271,92K","0,08%"
"24.08.2022","18,095","17,990","18,170","17,950","575,51K","0,47%"
"23.08.2022","18,010","18,135","18,255","17,970","948,81K","-1,42%"
"22.08.2022","18,270","18,110","18,270","17,950","722,38K","0,61%"
"19.08.2022","18,160","18,125","18,210","18,005","735,95K","-0,22%"
"18.08.2022","18,200","18,250","18,315","18,075","588,87K","-0,36%"
"17.08.2022","18,265","18,450","18,450","18,200","572,74K","-0,95%"
"16.08.2022","18,440","18,180","18,450","18,180","626,83K","1,60%"
"15.08.2022","18,150","18,095","18,180","18,005","396,43K","0,61%"
"12.08.2022","18,040","18,020","18,210","18,005","595,94K","-0,17%"
"11.08.2022","18,070","18,125","18,175","17,990","595,67K","-0,11%"
"10.08.2022","18,090","18,245","18,295","18,060","504,03K","-0,80%"
"09.08.2022","18,235","18,080","18,240","17,945","796,32K","0,83%"
"08.08.2022","18,085","17,895","18,110","17,835","683,76K","1,69%"
"05.08.2022","17,785","17,770","17,890","17,670","590,83K","-0,39%"
"04.08.2022","17,855","17,720","17,915","17,655","1,06M","0,88%"
"03.08.2022","17,700","17,785","17,895","17,665","1,02M","-0,84%"
"02.08.2022","17,850","17,900","17,965","17,765","865,59K","-0,56%"
"01.08.2022","17,950","17,880","18,205","17,880","892,65K","0,22%"
"29.07.2022","17,910","17,900","18,085","17,775","2,28M","0,84%"
"28.07.2022","17,760","17,855","17,980","17,130","2,22M","-1,14%"
"27.07.2022","17,965","18,080","18,260","17,630","652,12K","0,11%"
"26.07.2022","17,945","17,715","17,975","17,675","696,60K","1,36%"
"25.07.2022","17,705","17,670","17,805","17,585","794,54K","-0,37%"
"22.07.2022","17,770","17,500","17,795","17,500","453,99K","1,46%"
"21.07.2022","17,515","17,505","17,695","17,470","1,31M","-0,34%"
"20.07.2022","17,575","17,885","17,970","17,575","903,03K","-1,71%"
"19.07.2022","17,880","17,655","18,000","17,635","675,15K","0,42%"
"18.07.2022","17,805","17,780","17,980","17,660","780,47K","0,51%"
"15.07.2022","17,715","17,635","17,835","17,565","683,31K","0,68%"
"14.07.2022","17,595","17,880","17,885","17,460","1,22M","-1,90%"
"13.07.2022","17,935","18,000","18,120","17,845","962,22K","-1,08%"
"12.07.2022","18,130","18,245","18,435","18,005","1,11M","-0,63%"
"11.07.2022","18,245","18,010","18,255","17,965","2,14M","0,94%"
"08.07.2022","18,075","18,195","18,205","17,985","1,35M","-0,66%"
"07.07.2022","18,195","18,250","18,360","18,095","1,20M","0,03%"
"06.07.2022","18,190","18,365","18,365","18,045","1,47M","-0,22%"
"05.07.2022","18,230","18,490","18,560","18,205","682,27K","-1,22%"
"04.07.2022","18,455","18,600","18,740","18,455","1,94M","-0,51%"
"01.07.2022","18,550","17,985","18,585","17,905","984,97K","3,06%"
"30.06.2022","18,000","18,180","18,250","17,765","1,99M","-1,96%"
"29.06.2022","18,360","18,500","18,630","18,150","1,48M","-5,58%"
"28.06.2022","19,445","18,720","19,445","18,720","1,60M","3,24%"
"27.06.2022","18,835","19,000","19,175","18,580","1,59M","-0,58%"
"24.06.2022","18,945","18,690","19,045","18,670","1,41M","2,35%"
"23.06.2022","18,510","18,290","18,685","18,095","1,81M","0,90%"
"22.06.2022","18,345","18,940","18,940","18,115","1,92M","-2,24%"
"21.06.2022","18,765","19,375","19,430","18,540","1,79M","-2,90%"
"20.06.2022","19,325","19,250","19,390","19,050","4,09M","1,26%"
"17.06.2022","19,085","19,385","19,400","19,080","1,93M","-1,55%"
"16.06.2022","19,385","19,525","19,650","19,240","1,40M","-0,49%"
"15.06.2022","19,480","19,355","19,745","19,265","1,40M","2,07%"
"14.06.2022","19,085","19,810","19,925","19,085","1,70M","-3,64%"
"13.06.2022","19,805","19,700","19,910","19,650","1,27M","-0,48%"
"10.06.2022","19,900","20,570","20,570","19,645","2,87M","-4,14%"
"09.06.2022","20,760","20,560","20,830","20,450","1,31M","0,63%"
