"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"20.04.2023","18,285","18,165","18,295","18,095","762,59K","0,49%"
"19.04.2023","18,195","18,000","18,195","17,940","677,36K","1,45%"
"18.04.2023","17,935","18,015","18,055","17,815","495,14K","-0,33%"
"17.04.2023","17,995","17,975","18,060","17,880","1,27M","0,17%"
"14.04.2023","17,965","18,335","18,370","17,940","751,15K","-1,72%"
"13.04.2023","18,280","18,355","18,400","18,180","1,42M","-0,49%"
"12.04.2023","18,370","18,255","18,490","18,230","784,71K","0,80%"
"11.04.2023","18,225","18,270","18,340","18,105","871,11K","-0,14%"
"06.04.2023","18,250","18,140","18,325","18,035","632,45K","0,77%"
"05.04.2023","18,110","17,800","18,140","17,795","963,47K","1,46%"
"04.04.2023","17,850","17,735","17,855","17,700","968,00K","0,65%"
"03.04.2023","17,735","17,745","17,860","17,570","599,80K","0,20%"
"31.03.2023","17,700","17,500","17,775","17,470","970,17K","1,11%"
"30.03.2023","17,505","17,500","17,590","17,430","1,03M","0,14%"
"29.03.2023","17,480","17,395","17,520","17,270","676,39K","0,84%"
"28.03.2023","17,335","17,330","17,380","17,200","586,17K","0,46%"
"27.03.2023","17,255","17,270","17,325","17,200","726,56K","0,67%"
"24.03.2023","17,140","17,285","17,285","17,060","616,37K","-1,04%"
"23.03.2023","17,320","17,180","17,345","17,165","477,79K","0,84%"
"22.03.2023","17,175","17,270","17,295","17,125","593,70K","-0,67%"
"21.03.2023","17,290","17,365","17,480","17,275","720,17K","-0,72%"
"20.03.2023","17,415","17,070","17,595","17,070","884,34K","1,99%"
"17.03.2023","17,075","17,340","17,565","17,020","2,41M","-1,10%"
"16.03.2023","17,265","17,105","17,330","16,975","945,20K","1,62%"
"15.03.2023","16,990","17,275","17,315","16,860","1,14M","-1,54%"
"14.03.2023","17,255","17,300","17,510","17,255","1,05M","-0,06%"
"13.03.2023","17,265","16,970","17,410","16,710","1,57M","1,62%"
"10.03.2023","16,990","17,030","17,230","16,960","922,70K","-0,70%"
"09.03.2023","17,110","16,965","17,135","16,875","806,45K","0,88%"
"08.03.2023","16,960","16,785","16,960","16,670","708,27K","0,80%"
"07.03.2023","16,825","16,800","17,025","16,775","771,69K","0,30%"
"06.03.2023","16,775","16,705","16,870","16,640","597,45K","0,48%"
"03.03.2023","16,695","16,800","16,835","16,580","898,97K","0,15%"
"02.03.2023","16,670","16,570","16,855","16,545","1,58M","0,57%"
"01.03.2023","16,575","16,900","16,900","16,440","1,36M","-2,27%"
"28.02.2023","16,960","17,185","17,185","16,855","2,41M","-1,57%"
"27.02.2023","17,230","17,000","17,230","16,960","1,30M","1,59%"
"24.02.2023","16,960","16,915","17,000","16,845","831,90K","0,41%"
"23.02.2023","16,890","16,795","16,990","16,785","966,46K","0,87%"
"22.02.2023","16,745","16,935","17,045","16,725","1,21M","-1,41%"
