"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"20.04.2023","3,095","3,125","3,125","3,090","","-0,64%"
"19.04.2023","3,115","3,110","3,125","3,085","","0,32%"
"18.04.2023","3,105","3,130","3,130","3,080","","-0,80%"
"17.04.2023","3,130","3,145","3,155","3,120","","-0,32%"
"14.04.2023","3,140","3,170","3,170","3,130","","-0,48%"
"13.04.2023","3,155","3,120","3,160","3,100","","1,45%"
"12.04.2023","3,110","3,150","3,160","3,095","","-3,57%"
"11.04.2023","3,225","3,210","3,260","3,200","","0,16%"
"06.04.2023","3,220","3,215","3,240","3,210","","0,31%"
"05.04.2023","3,210","3,220","3,220","3,190","","0,31%"
"04.04.2023","3,200","3,185","3,230","3,175","","1,11%"
"03.04.2023","3,165","3,155","3,190","3,150","","0,48%"
"31.03.2023","3,150","3,190","3,190","3,150","","-1,25%"
"30.03.2023","3,190","3,155","3,210","3,155","","1,92%"
"29.03.2023","3,130","3,155","3,155","3,120","","0,00%"
"28.03.2023","3,130","3,180","3,190","3,130","","-0,95%"
"27.03.2023","3,160","3,180","3,200","3,160","","0,00%"
"24.03.2023","3,160","3,170","3,185","3,160","","-1,10%"
"23.03.2023","3,195","3,170","3,220","3,140","","1,27%"
"22.03.2023","3,155","3,215","3,215","3,150","","-0,79%"
"21.03.2023","3,180","3,215","3,215","3,170","","0,47%"
"20.03.2023","3,165","3,185","3,190","3,120","","0,00%"
"17.03.2023","3,165","3,245","3,245","3,155","","-1,25%"
"16.03.2023","3,205","3,250","3,250","3,180","","-0,16%"
"15.03.2023","3,210","3,250","3,280","3,170","","-0,31%"
"14.03.2023","3,220","3,215","3,250","3,215","","-0,31%"
"13.03.2023","3,230","3,260","3,295","3,215","","-0,77%"
"10.03.2023","3,255","3,240","3,270","3,210","","0,31%"
"09.03.2023","3,245","3,240","3,260","3,220","","-0,15%"
"08.03.2023","3,250","3,255","3,265","3,230","","-0,31%"
"07.03.2023","3,260","3,275","3,310","3,260","","-0,76%"
"06.03.2023","3,285","3,335","3,345","3,285","","-1,50%"
"03.03.2023","3,335","3,375","3,375","3,320","","-0,89%"
"02.03.2023","3,365","3,390","3,400","3,340","","-1,03%"
"01.03.2023","3,400","3,470","3,470","3,390","","-1,45%"
"28.02.2023","3,450","3,595","3,595","3,440","","-3,63%"
"27.02.2023","3,580","3,585","3,620","3,570","","-0,28%"
"24.02.2023","3,590","3,670","3,670","3,570","","-1,78%"
"23.02.2023","3,655","3,700","3,700","3,640","","-0,68%"
"22.02.2023","3,680","3,680","3,685","3,605","","0,14%"
"21.02.2023","3,675","3,630","3,680","3,625","","1,52%"
"20.02.2023","3,620","3,590","3,635","3,575","","0,98%"
"17.02.2023","3,585","3,565","3,595","3,525","","0,56%"
"16.02.2023","3,565","3,580","3,590","3,555","","-0,28%"
"15.02.2023","3,575","3,580","3,590","3,540","","0,00%"
"14.02.2023","3,575","3,550","3,590","3,515","","1,27%"
"13.02.2023","3,530","3,550","3,595","3,515","","-0,84%"
"10.02.2023","3,560","3,650","3,650","3,530","","-2,20%"
"09.02.2023","3,640","3,585","3,670","3,575","","2,25%"
"08.02.2023","3,560","3,490","3,585","3,490","","2,30%"
"07.02.2023","3,480","3,495","3,495","3,460","","-0,29%"
"06.02.2023","3,490","3,465","3,495","3,430","","1,31%"
"03.02.2023","3,445","3,440","3,455","3,430","","0,29%"
"02.02.2023","3,435","3,485","3,490","3,435","","-0,72%"
"01.02.2023","3,460","3,460","3,495","3,445","","0,58%"
"31.01.2023","3,440","3,410","3,455","3,410","","0,44%"
"30.01.2023","3,425","3,485","3,485","3,400","","0,29%"
"27.01.2023","3,415","3,425","3,435","3,415","","-0,58%"
"26.01.2023","3,435","3,450","3,460","3,425","","0,44%"
"25.01.2023","3,420","3,480","3,480","3,410","","-1,58%"
"24.01.2023","3,475","3,485","3,485","3,450","","0,58%"
"23.01.2023","3,455","3,480","3,495","3,455","","-0,72%"
"20.01.2023","3,480","3,480","3,495","3,470","","-0,14%"
"19.01.2023","3,485","3,500","3,515","3,465","","-0,71%"
"18.01.2023","3,510","3,530","3,565","3,510","","-0,57%"
"17.01.2023","3,530","3,510","3,550","3,510","","0,28%"
"16.01.2023","3,520","3,530","3,555","3,500","","-0,42%"
"13.01.2023","3,535","3,500","3,570","3,470","","2,02%"
"12.01.2023","3,465","3,470","3,515","3,455","","0,43%"
"11.01.2023","3,450","3,485","3,495","3,450","","-0,43%"
"10.01.2023","3,465","3,490","3,525","3,465","","-1,14%"
"09.01.2023","3,505","3,495","3,560","3,495","","-0,14%"
"06.01.2023","3,510","3,530","3,530","3,485","","0,43%"
"05.01.2023","3,495","3,540","3,540","3,490","","-1,96%"
"04.01.2023","3,565","3,570","3,610","3,550","","0,00%"
"03.01.2023","3,565","3,570","3,595","3,550","","-0,14%"
"02.01.2023","3,570","3,550","3,570","3,530","","1,71%"
"30.12.2022","3,510","3,550","3,590","3,510","","-1,82%"
"29.12.2022","3,575","3,520","3,575","3,515","","1,13%"
"28.12.2022","3,535","3,550","3,550","3,510","","0,28%"
"27.12.2022","3,525","3,510","3,550","3,500","","0,43%"
"23.12.2022","3,510","3,550","3,565","3,510","","-0,99%"
"22.12.2022","3,545","3,480","3,550","3,480","","1,29%"
"21.12.2022","3,500","3,485","3,515","3,460","","0,43%"
"20.12.2022","3,485","3,480","3,495","3,450","","0,00%"
"19.12.2022","3,485","3,500","3,505","3,470","","-0,43%"
"16.12.2022","3,500","3,510","3,525","3,460","","-1,27%"
"15.12.2022","3,545","3,525","3,555","3,480","","0,28%"
"14.12.2022","3,535","3,525","3,540","3,515","","-0,28%"
"13.12.2022","3,545","3,510","3,585","3,500","","1,14%"
"12.12.2022","3,505","3,570","3,575","3,505","","-2,09%"
"09.12.2022","3,580","3,600","3,615","3,565","","-0,14%"
"08.12.2022","3,585","3,650","3,650","3,585","","-1,10%"
"07.12.2022","3,625","3,660","3,660","3,620","","-0,14%"
"06.12.2022","3,630","3,635","3,665","3,615","202,52K","-0,95%"
"05.12.2022","3,665","3,695","3,700","3,640","224,68K","-0,81%"
"02.12.2022","3,695","3,670","3,700","3,650","224,56K","0,54%"
"01.12.2022","3,675","3,690","3,715","3,650","222,74K","-0,27%"
"30.11.2022","3,685","3,705","3,705","3,640","374,62K","-0,27%"
"29.11.2022","3,695","3,675","3,720","3,675","254,61K","0,27%"
"28.11.2022","3,685","3,665","3,705","3,645","225,37K","0,27%"
"25.11.2022","3,675","3,625","3,680","3,625","324,04K","0,96%"
"24.11.2022","3,640","3,665","3,665","3,625","149,34K","0,00%"
"23.11.2022","3,640","3,660","3,660","3,595","283,02K","-0,14%"
"22.11.2022","3,645","3,595","3,650","3,590","283,22K","1,39%"
"21.11.2022","3,595","3,535","3,595","3,535","236,94K","1,70%"
"18.11.2022","3,535","3,495","3,540","3,480","254,22K","1,43%"
"17.11.2022","3,485","3,550","3,550","3,480","482,06K","-0,99%"
"16.11.2022","3,520","3,600","3,600","3,520","251,21K","-1,68%"
"15.11.2022","3,580","3,565","3,600","3,560","252,54K","0,42%"
"14.11.2022","3,565","3,555","3,595","3,540","361,52K","0,71%"
"11.11.2022","3,540","3,600","3,600","3,540","410,83K","-1,67%"
"10.11.2022","3,600","3,580","3,600","3,575","230,20K","0,00%"
"09.11.2022","3,600","3,595","3,605","3,565","274,94K","0,14%"
