"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"25.07.2022","39,03","39,18","39,41","38,56","22,63M","-0,43%"
"22.07.2022","39,20","40,37","40,51","38,94","41,35M","-3,47%"
"21.07.2022","40,61","40,51","40,65","39,82","29,66M","0,12%"
"20.07.2022","40,56","40,21","40,67","39,56","36,39M","0,85%"
"19.07.2022","40,22","39,32","40,73","39,24","53,10M","3,90%"
"18.07.2022","38,71","39,10","39,34","38,53","30,81M","0,23%"
"15.07.2022","38,62","38,27","38,67","37,73","32,89M","2,41%"
"14.07.2022","37,71","36,99","38,15","36,29","36,69M","1,34%"
"13.07.2022","37,21","36,68","37,43","36,62","27,06M","0,00%"
"12.07.2022","37,21","37,65","37,70","36,99","30,55M","0,03%"
"11.07.2022","37,20","37,66","37,67","37,03","25,95M","-2,08%"
"08.07.2022","37,99","37,66","38,14","37,39","22,44M","-0,39%"
"07.07.2022","38,14","37,89","38,33","37,73","33,11M","3,11%"
"06.07.2022","36,99","36,82","37,42","36,46","26,14M","0,82%"
"05.07.2022","36,69","35,93","36,74","35,54","33,11M","0,96%"
"01.07.2022","36,34","37,09","37,20","35,88","40,60M","-2,86%"
"30.06.2022","37,41","37,21","38,00","36,72","35,01M","0,32%"
"29.06.2022","37,29","37,54","37,60","37,02","25,31M","-1,30%"
"28.06.2022","37,78","38,58","39,02","37,74","37,39M","-2,20%"
"27.06.2022","38,63","38,87","39,06","38,47","29,59M","0,05%"
"24.06.2022","38,61","37,85","38,64","37,74","36,26M","3,21%"
"23.06.2022","37,41","37,61","37,62","36,91","30,11M","0,08%"
"22.06.2022","37,38","37,33","37,77","37,22","32,55M","-0,93%"
"21.06.2022","37,73","37,36","38,03","37,33","33,86M","2,06%"
"17.06.2022","36,97","37,48","38,12","36,60","71,39M","-0,99%"
"16.06.2022","37,34","37,69","37,79","36,93","45,58M","-3,39%"
"15.06.2022","38,65","38,56","39,17","37,92","37,43M","1,90%"
"14.06.2022","37,93","38,01","38,20","37,54","31,28M","0,42%"
"13.06.2022","37,77","38,55","38,81","37,67","50,20M","-3,60%"
"10.06.2022","39,18","39,85","40,08","39,18","42,89M","-2,07%"
"09.06.2022","40,01","41,01","41,35","40,01","38,80M","-2,96%"
"08.06.2022","41,23","42,25","42,26","41,03","59,51M","-5,28%"
"07.06.2022","43,53","43,06","43,59","42,66","25,04M","0,44%"
"06.06.2022","43,34","43,81","44,04","43,08","25,44M","-0,12%"
"03.06.2022","43,39","44,10","44,25","43,34","33,17M","-3,23%"
"02.06.2022","44,84","44,19","44,88","43,94","31,56M","1,65%"
"01.06.2022","44,11","44,77","44,93","43,53","29,64M","-0,70%"
"31.05.2022","44,42","44,25","44,75","43,65","40,90M","-0,29%"
"27.05.2022","44,55","43,59","44,55","43,55","30,55M","2,46%"
"26.05.2022","43,48","42,17","43,68","42,08","28,72M","3,03%"
"25.05.2022","42,20","41,44","42,51","41,39","25,44M","1,27%"
"24.05.2022","41,67","41,70","41,89","41,10","29,72M","-0,79%"
"23.05.2022","42,00","41,69","42,25","41,33","27,03M","0,84%"
"20.05.2022","41,65","42,24","42,29","40,31","44,80M","-0,86%"
"19.05.2022","42,01","42,32","42,70","41,72","29,18M","-0,80%"
"18.05.2022","42,35","43,98","43,98","42,22","35,05M","-4,62%"
"17.05.2022","44,40","43,82","44,42","43,65","28,53M","3,06%"
"16.05.2022","43,08","43,42","43,61","42,78","24,64M","-1,19%"
"13.05.2022","43,60","43,42","43,84","42,97","32,01M","1,77%"
"12.05.2022","42,84","42,73","42,90","42,01","42,07M","0,02%"
"11.05.2022","42,83","44,02","44,29","42,78","40,26M","-2,68%"
"10.05.2022","44,01","44,35","44,74","43,50","42,67M","2,18%"
"09.05.2022","43,07","43,81","44,20","42,87","44,93M","-2,78%"
"06.05.2022","44,30","44,49","45,15","43,84","40,92M","-0,67%"
"05.05.2022","44,60","45,60","45,91","44,13","53,00M","-4,17%"
"04.05.2022","46,54","45,06","46,64","44,41","44,46M","3,28%"
"03.05.2022","45,06","44,67","45,49","44,23","39,82M","0,22%"
"02.05.2022","44,96","43,72","44,99","43,51","45,32M","3,14%"
"29.04.2022","43,59","44,99","45,36","43,50","70,77M","-6,94%"
"28.04.2022","46,84","45,78","47,27","45,54","38,22M","3,58%"
"27.04.2022","45,22","45,43","46,06","45,02","27,96M","-0,66%"
"26.04.2022","45,52","46,69","46,84","45,51","35,16M","-3,27%"
"25.04.2022","47,06","46,38","47,13","46,19","35,71M","1,12%"
"22.04.2022","46,54","47,45","47,65","46,50","28,15M","-2,02%"
"21.04.2022","47,50","48,62","48,90","47,40","27,27M","-1,27%"
