"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"20.04.2023","31,280","31,340","31,400","30,830","8,82M","-0,70%"
"19.04.2023","31,500","31,500","31,540","31,330","25,51M","0,16%"
"18.04.2023","31,450","31,560","31,590","31,270","6,86M","-0,06%"
"17.04.2023","31,470","31,170","31,550","31,050","3,54M","1,22%"
"14.04.2023","31,090","31,000","31,160","30,850","2,12M","0,39%"
"13.04.2023","30,970","30,490","30,990","30,490","4,90M","1,84%"
"12.04.2023","30,410","30,410","30,610","30,300","2,02M","-0,26%"
"11.04.2023","30,490","30,670","30,770","30,340","2,94M","0,13%"
"06.04.2023","30,450","30,750","30,880","30,400","2,36M","-1,04%"
"05.04.2023","30,770","30,610","30,970","30,600","2,49M","0,65%"
"04.04.2023","30,570","30,590","30,800","30,490","2,20M","0,59%"
"03.04.2023","30,390","30,750","31,090","30,250","3,08M","-1,65%"
"31.03.2023","30,900","30,500","30,930","30,480","3,18M","1,85%"
"30.03.2023","30,340","30,000","30,440","29,900","2,96M","1,98%"
"29.03.2023","29,750","29,550","29,750","29,080","1,97M","1,19%"
"28.03.2023","29,400","29,800","30,060","29,240","3,46M","-0,98%"
"27.03.2023","29,690","29,480","29,700","29,410","2,60M","1,82%"
"24.03.2023","29,160","29,500","29,580","28,960","3,42M","-1,69%"
"23.03.2023","29,660","29,300","29,720","29,190","1,90M","1,33%"
"22.03.2023","29,270","29,240","29,420","29,110","1,98M","0,52%"
"21.03.2023","29,120","28,700","29,380","28,570","2,64M","2,14%"
"20.03.2023","28,510","28,540","28,770","28,000","3,08M","-0,42%"
