"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"20.04.2023","163,58","162,41","163,81","161,03","9,48M","0,65%"
"19.04.2023","162,53","161,99","162,68","161,17","6,74M","0,94%"
"18.04.2023","161,01","164,25","164,69","159,65","14,52M","-2,81%"
"17.04.2023","165,67","165,74","166,24","164,94","8,04M","-0,10%"
"14.04.2023","165,84","165,97","166,12","164,06","7,22M","-0,16%"
"13.04.2023","166,11","164,18","166,33","163,80","5,63M","1,34%"
"12.04.2023","163,92","163,94","164,84","163,10","5,76M","-0,21%"
"11.04.2023","164,27","164,42","165,28","164,04","5,90M","-0,03%"
"10.04.2023","164,32","164,63","164,84","163,64","5,33M","-0,50%"
"06.04.2023","165,15","165,99","167,23","164,80","9,62M","-0,28%"
"05.04.2023","165,61","164,37","165,66","162,76","16,66M","4,49%"
"04.04.2023","158,49","156,97","158,97","156,59","7,74M","1,05%"
"03.04.2023","156,85","154,95","157,01","153,94","6,82M","1,19%"
"31.03.2023","155,00","153,79","155,19","153,24","9,42M","1,02%"
"30.03.2023","153,43","153,58","153,80","152,81","4,54M","0,08%"
"29.03.2023","153,31","152,24","153,38","152,07","6,01M","0,98%"
"28.03.2023","151,82","152,39","153,45","151,73","6,11M","-0,97%"
"27.03.2023","153,30","154,20","154,54","153,11","6,18M","0,43%"
"24.03.2023","152,65","151,48","152,76","150,83","5,70M","1,01%"
"23.03.2023","151,13","151,18","151,69","150,11","9,04M","0,05%"
"22.03.2023","151,05","153,85","154,06","151,03","7,92M","-1,85%"
"21.03.2023","153,89","154,00","154,13","152,17","8,35M","0,00%"
"20.03.2023","153,89","152,47","154,07","152,38","7,12M","0,99%"
"17.03.2023","152,38","154,48","154,95","152,30","20,54M","-1,07%"
"16.03.2023","154,03","153,45","154,37","152,60","7,54M","-0,21%"
"15.03.2023","154,35","152,84","154,89","152,53","7,50M","0,28%"
"14.03.2023","153,92","153,28","154,03","151,90","8,30M","0,56%"
"13.03.2023","153,06","152,09","155,91","151,57","10,80M","0,96%"
"10.03.2023","151,61","151,86","153,49","151,10","8,50M","0,24%"
"09.03.2023","151,24","153,46","153,60","150,71","7,43M","-1,12%"
"08.03.2023","152,96","153,98","154,20","152,48","6,23M","-0,73%"
"07.03.2023","154,09","156,09","156,25","153,35","7,46M","-0,94%"
"06.03.2023","155,56","154,66","155,73","154,57","8,15M","1,00%"
"03.03.2023","154,02","153,37","154,12","152,84","5,73M","1,03%"
