"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"25.07.2022","20,04","19,80","20,18","19,76","392,07K","1,21%"
"22.07.2022","19,80","19,50","19,98","19,47","311,70K","1,54%"
"21.07.2022","19,50","19,05","19,59","18,89","419,05K","3,17%"
"20.07.2022","18,90","19,05","19,14","18,86","248,46K","-0,32%"
"19.07.2022","18,96","18,64","19,04","18,55","355,66K","2,21%"
"18.07.2022","18,55","18,76","18,76","18,53","235,14K","0,11%"
"15.07.2022","18,53","18,55","18,72","18,40","394,61K","0,27%"
"14.07.2022","18,48","18,38","18,55","18,32","236,05K","-0,11%"
"13.07.2022","18,50","18,50","18,60","18,38","437,04K","-0,27%"
"12.07.2022","18,55","18,77","18,82","18,51","228,59K","-0,96%"
"11.07.2022","18,73","18,70","18,81","18,63","176,56K","-0,27%"
"08.07.2022","18,78","18,74","18,78","18,55","187,58K","0,43%"
"07.07.2022","18,70","18,47","18,88","18,47","208,07K","1,25%"
"06.07.2022","18,47","18,44","18,62","18,42","236,06K","-0,22%"
"05.07.2022","18,51","18,54","18,70","18,45","207,53K","-0,70%"
"04.07.2022","18,64","18,52","18,70","18,46","133,87K","0,38%"
"01.07.2022","18,57","18,61","18,68","18,36","220,54K","-0,48%"
"30.06.2022","18,66","18,57","18,68","18,37","290,07K","0,27%"
"29.06.2022","18,61","18,72","18,75","18,50","164,27K","-0,69%"
"28.06.2022","18,74","18,50","18,83","18,50","212,82K","1,08%"
"27.06.2022","18,54","18,18","18,55","18,18","183,12K","1,53%"
"24.06.2022","18,26","18,12","18,29","17,98","186,40K","1,73%"
"23.06.2022","17,95","18,22","18,22","17,95","429,40K","-1,48%"
"22.06.2022","18,22","18,02","18,34","17,86","231,96K","1,17%"
"21.06.2022","18,01","18,23","18,57","17,97","616,30K","-0,44%"
"20.06.2022","18,09","18,00","18,20","17,85","259,89K","0,67%"
"17.06.2022","17,97","17,60","18,14","17,60","378,72K","1,70%"
"16.06.2022","17,67","18,10","18,10","17,56","189,09K","-1,83%"
"15.06.2022","18,00","17,92","18,19","17,84","161,80K","1,41%"
"14.06.2022","17,75","17,68","17,84","17,51","235,76K","0,68%"
"13.06.2022","17,63","17,55","17,72","17,50","144,92K","-0,79%"
"10.06.2022","17,77","18,22","18,22","17,57","309,42K","-1,28%"
"09.06.2022","18,00","18,31","18,34","17,91","328,40K","-1,64%"
"08.06.2022","18,30","18,46","18,53","18,28","212,49K","-0,97%"
"07.06.2022","18,48","18,30","18,50","18,29","167,05K","1,04%"
"06.06.2022","18,29","18,41","18,42","18,24","154,91K","-0,33%"
"03.06.2022","18,35","18,20","18,35","18,17","148,74K","1,16%"
