"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"25.07.2022","1,536","1,540","1,556","1,536","-","0,00%"
"22.07.2022","1,536","1,554","1,554","1,533","4,78M","-0,84%"
"21.07.2022","1,549","1,569","1,573","1,545","4,64M","-1,27%"
"20.07.2022","1,569","1,595","1,600","1,560","2,93M","-1,57%"
"19.07.2022","1,594","1,558","1,598","1,545","3,99M","2,31%"
"18.07.2022","1,558","1,606","1,612","1,555","4,39M","-2,20%"
"15.07.2022","1,593","1,590","1,602","1,574","3,31M","0,44%"
"14.07.2022","1,586","1,580","1,601","1,580","7,85M","-0,56%"
"13.07.2022","1,595","1,578","1,602","1,563","3,87M","-0,44%"
"12.07.2022","1,602","1,610","1,614","1,528","7,04M","-0,74%"
"11.07.2022","1,614","1,651","1,651","1,613","2,97M","-2,36%"
"08.07.2022","1,653","1,650","1,653","1,624","2,88M","0,12%"
"07.07.2022","1,651","1,631","1,656","1,628","3,88M","2,04%"
"06.07.2022","1,618","1,621","1,641","1,609","4,66M","0,00%"
"05.07.2022","1,618","1,699","1,704","1,618","4,89M","-4,09%"
"04.07.2022","1,687","1,713","1,713","1,687","2,09M","-0,65%"
"01.07.2022","1,698","1,672","1,714","1,672","5,91M","0,95%"
"30.06.2022","1,682","1,672","1,690","1,654","3,22M","0,06%"
"29.06.2022","1,681","1,686","1,692","1,665","2,01M","-0,18%"
"28.06.2022","1,684","1,671","1,690","1,669","5,72M","1,45%"
"27.06.2022","1,660","1,675","1,679","1,644","2,53M","-0,24%"
"24.06.2022","1,664","1,656","1,667","1,636","2,69M","0,91%"
"23.06.2022","1,649","1,690","1,690","1,649","6,55M","-2,25%"
"22.06.2022","1,687","1,680","1,699","1,667","2,50M","-0,12%"
"21.06.2022","1,689","1,701","1,723","1,689","7,33M","-0,76%"
"20.06.2022","1,702","1,701","1,703","1,685","2,14M","1,01%"
"17.06.2022","1,685","1,692","1,702","1,668","3,76M","-0,24%"
"16.06.2022","1,689","1,716","1,716","1,681","3,04M","-1,63%"
"15.06.2022","1,717","1,691","1,732","1,689","3,79M","2,88%"
"14.06.2022","1,669","1,670","1,674","1,647","3,84M","0,91%"
"13.06.2022","1,654","1,680","1,681","1,647","5,35M","-1,55%"
"10.06.2022","1,680","1,720","1,721","1,680","6,32M","-2,44%"
"09.06.2022","1,722","1,748","1,748","1,719","5,33M","-1,09%"
"08.06.2022","1,741","1,765","1,765","1,738","2,08M","-0,85%"
"07.06.2022","1,756","1,758","1,772","1,746","4,29M","0,23%"
"06.06.2022","1,752","1,750","1,763","1,746","2,70M","0,52%"
"03.06.2022","1,743","1,739","1,750","1,736","2,01M","0,69%"
"02.06.2022","1,731","1,729","1,743","1,726","1,54M","0,17%"
"01.06.2022","1,728","1,730","1,752","1,727","2,44M","0,00%"
"31.05.2022","1,728","1,752","1,757","1,728","23,13M","-1,43%"
"30.05.2022","1,753","1,783","1,785","1,751","2,63M","-1,24%"
"27.05.2022","1,775","1,772","1,783","1,757","6,85M","-3,69%"
"26.05.2022","1,843","1,820","1,843","1,807","8,50M","1,77%"
"25.05.2022","1,811","1,800","1,818","1,791","6,63M","0,95%"
"24.05.2022","1,794","1,791","1,809","1,785","4,18M","-0,11%"
"23.05.2022","1,796","1,804","1,804","1,783","3,95M","1,30%"
"20.05.2022","1,773","1,797","1,809","1,773","4,65M","-0,11%"
"19.05.2022","1,775","1,760","1,786","1,748","4,38M","0,62%"
"18.05.2022","1,764","1,778","1,788","1,764","4,85M","-0,40%"
"17.05.2022","1,771","1,750","1,771","1,746","14,00M","2,13%"
"16.05.2022","1,734","1,733","1,746","1,720","3,28M","0,58%"
"13.05.2022","1,724","1,730","1,738","1,716","4,61M","-0,12%"
"12.05.2022","1,726","1,737","1,743","1,715","4,88M","-1,15%"
"11.05.2022","1,746","1,725","1,748","1,713","2,75M","1,39%"
"10.05.2022","1,722","1,722","1,740","1,711","3,37M","0,94%"
"09.05.2022","1,706","1,710","1,734","1,704","3,89M","-0,06%"
"06.05.2022","1,707","1,712","1,728","1,692","5,07M","-0,29%"
"05.05.2022","1,712","1,748","1,748","1,712","6,07M","-0,70%"
