"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"20.04.2023","104,73","105,57","105,59","104,11","3,69M","-1,27%"
"19.04.2023","106,08","105,70","106,34","105,46","1,89M","-0,18%"
"18.04.2023","106,27","107,23","107,30","105,87","1,91M","-0,48%"
"17.04.2023","106,78","106,16","107,10","105,94","2,43M","0,95%"
"14.04.2023","105,77","106,00","107,12","105,01","2,79M","-0,36%"
"13.04.2023","106,15","104,84","106,44","104,09","3,22M","1,71%"
"12.04.2023","104,37","105,00","105,15","103,69","2,72M","-0,18%"
"11.04.2023","104,56","103,63","104,78","103,31","2,94M","1,75%"
"10.04.2023","102,76","101,60","103,13","101,05","2,87M","1,18%"
"06.04.2023","101,56","102,35","102,79","101,52","2,42M","-0,71%"
"05.04.2023","102,29","102,36","102,77","101,68","2,65M","0,04%"
"04.04.2023","102,25","104,90","104,90","102,07","3,45M","-2,22%"
"03.04.2023","104,57","105,15","105,84","104,18","3,91M","-0,51%"
"31.03.2023","105,11","103,50","105,19","103,01","3,60M","2,27%"
"30.03.2023","102,78","103,75","103,92","102,53","2,35M","-0,40%"
"29.03.2023","103,19","102,81","103,24","101,90","3,22M","1,43%"
"28.03.2023","101,74","101,59","102,82","101,31","2,46M","0,25%"
"27.03.2023","101,49","102,22","102,28","100,60","2,80M","0,35%"
"24.03.2023","101,14","100,37","101,34","100,16","3,55M","0,14%"
"23.03.2023","101,00","101,66","102,93","100,76","3,17M","-0,53%"
"22.03.2023","101,54","104,32","104,55","101,50","2,76M","-2,64%"
"21.03.2023","104,29","105,24","105,48","103,37","2,62M","-0,02%"
"20.03.2023","104,31","103,41","104,45","103,22","2,71M","1,25%"
"17.03.2023","103,02","104,35","104,46","101,97","11,39M","-1,14%"
"16.03.2023","104,21","101,78","104,43","101,48","3,64M","1,39%"
"15.03.2023","102,78","101,32","102,82","100,27","4,76M","0,00%"
"14.03.2023","102,78","104,59","105,17","101,37","4,77M","-0,70%"
"13.03.2023","103,50","103,67","104,68","102,73","4,21M","-0,54%"
"10.03.2023","104,06","105,54","107,00","103,74","3,69M","-1,38%"
"09.03.2023","105,52","107,66","108,56","105,42","3,45M","-1,53%"
"08.03.2023","107,16","107,44","107,77","106,18","3,43M","0,07%"
"07.03.2023","107,09","110,00","110,01","107,04","3,37M","-2,58%"
"06.03.2023","109,93","111,40","111,62","109,68","2,82M","-1,20%"
"03.03.2023","111,26","110,78","111,99","109,61","3,04M","1,24%"
"02.03.2023","109,90","109,75","110,24","107,71","7,59M","-0,28%"
"01.03.2023","110,21","111,04","112,33","109,74","4,91M","2,29%"
"28.02.2023","107,74","108,12","108,92","107,25","3,38M","-0,49%"
"27.02.2023","108,27","108,86","110,69","108,19","3,56M","0,44%"
"24.02.2023","107,80","108,11","108,54","106,76","2,86M","-1,02%"
"23.02.2023","108,91","109,70","110,29","108,01","2,94M","-0,03%"
"22.02.2023","108,94","109,53","110,38","108,51","2,66M","-0,28%"
