"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"25.07.2022","28,760","27,660","28,760","27,660","-","1,91%"
"22.07.2022","28,220","27,600","28,230","27,600","214,11K","2,10%"
"21.07.2022","27,640","27,510","27,930","27,450","198,32K","-1,53%"
"20.07.2022","28,070","28,720","28,720","27,970","283,47K","-2,02%"
"19.07.2022","28,650","28,350","28,810","28,350","262,17K","0,84%"
"18.07.2022","28,410","27,970","28,570","27,970","232,34K","0,64%"
"15.07.2022","28,230","27,670","28,420","27,650","317,55K","1,58%"
"14.07.2022","27,790","28,090","28,320","27,350","589,88K","-1,56%"
"13.07.2022","28,230","28,090","28,400","27,920","183,03K","0,39%"
"12.07.2022","28,120","28,290","28,790","27,750","253,86K","-0,74%"
"11.07.2022","28,330","27,820","28,380","27,820","147,48K","1,00%"
"08.07.2022","28,050","28,030","28,580","27,860","182,95K","0,50%"
"07.07.2022","27,910","27,720","28,170","27,600","261,42K","1,34%"
"06.07.2022","27,540","27,560","27,840","27,210","293,04K","1,62%"
"05.07.2022","27,100","27,950","27,950","27,100","434,37K","-2,83%"
"04.07.2022","27,890","27,770","28,370","27,770","204,72K","0,36%"
"01.07.2022","27,790","27,210","27,970","27,210","211,49K","1,16%"
"30.06.2022","27,470","27,250","28,180","27,220","329,96K","-0,51%"
"29.06.2022","27,610","27,860","28,070","27,230","243,14K","-1,25%"
"28.06.2022","27,960","27,250","27,970","27,230","406,12K","3,02%"
"27.06.2022","27,140","26,820","27,160","26,770","242,18K","1,08%"
"24.06.2022","26,850","26,850","27,190","26,630","330,45K","1,09%"
"23.06.2022","26,560","26,330","26,780","26,020","257,11K","0,57%"
"22.06.2022","26,410","26,530","26,770","26,060","319,00K","-1,27%"
"21.06.2022","26,750","27,570","27,610","26,700","288,25K","-3,08%"
"20.06.2022","27,600","27,180","27,630","26,810","332,90K","1,81%"
"17.06.2022","27,110","28,300","28,350","27,110","1,71M","-4,24%"
"16.06.2022","28,310","27,830","28,490","27,630","608,38K","1,69%"
"15.06.2022","27,840","27,310","28,210","27,140","581,17K","2,84%"
"14.06.2022","27,070","27,560","28,160","27,050","464,79K","-1,53%"
"13.06.2022","27,490","26,610","27,670","26,610","385,88K","1,85%"
"10.06.2022","26,990","27,640","27,820","26,670","491,41K","-4,05%"
"09.06.2022","28,130","28,050","28,310","27,860","254,57K","-0,07%"
"08.06.2022","28,150","28,770","28,860","27,970","224,87K","-2,16%"
"07.06.2022","28,770","28,290","28,770","28,090","767,12K","1,52%"
"06.06.2022","28,340","28,510","28,630","28,130","167,55K","0,78%"
"03.06.2022","28,120","27,940","28,200","27,800","128,79K","1,08%"
"02.06.2022","27,820","27,880","27,970","27,560","418,01K","-0,47%"
"01.06.2022","27,950","28,120","28,460","27,590","350,77K","-0,68%"
"31.05.2022","28,140","28,120","28,570","27,860","4,63M","-0,92%"
"30.05.2022","28,400","28,380","28,610","27,980","222,85K","0,07%"
