"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"20.04.2023","61,93","61,44","61,98","61,30","2,98M","0,47%"
"19.04.2023","61,64","60,67","61,65","60,63","2,27M","0,87%"
"18.04.2023","61,11","61,41","61,75","60,87","2,19M","-0,73%"
"17.04.2023","61,56","61,02","61,57","60,78","2,96M","1,30%"
"14.04.2023","60,77","61,67","61,89","60,49","3,73M","-1,24%"
"13.04.2023","61,53","61,76","61,76","60,97","4,93M","-0,63%"
"12.04.2023","61,92","62,99","63,22","61,87","4,68M","-0,29%"
"11.04.2023","62,10","62,50","62,50","61,71","7,39M","-0,88%"
"10.04.2023","62,65","62,25","62,66","61,71","3,07M","0,13%"
"06.04.2023","62,57","62,97","62,98","62,10","3,18M","-0,22%"
"05.04.2023","62,71","62,96","63,10","62,47","3,83M","-0,21%"
"04.04.2023","62,84","62,83","62,99","62,38","2,78M","-0,05%"
"03.04.2023","62,87","62,95","63,40","62,39","4,22M","-0,71%"
"31.03.2023","63,32","62,52","63,36","62,47","4,14M","1,13%"
"30.03.2023","62,61","62,42","62,86","62,35","2,68M","0,92%"
"29.03.2023","62,04","61,61","62,13","61,55","3,02M","1,60%"
"28.03.2023","61,06","60,36","61,07","60,25","2,41M","0,58%"
"27.03.2023","60,71","61,38","61,47","60,62","3,77M","-0,54%"
"24.03.2023","61,04","59,16","61,09","59,07","3,68M","2,99%"
"23.03.2023","59,27","59,90","60,39","59,09","3,55M","-0,22%"
"22.03.2023","59,40","61,00","61,31","59,36","4,09M","-3,05%"
"21.03.2023","61,27","62,28","62,41","61,01","4,39M","-1,13%"
"20.03.2023","61,97","61,66","62,29","61,40","3,91M","0,96%"
"17.03.2023","61,38","62,39","62,39","61,35","7,07M","-1,68%"
"16.03.2023","62,43","62,64","62,90","61,74","4,57M","-1,00%"
"15.03.2023","63,06","62,84","63,75","62,11","5,50M","-0,25%"
"14.03.2023","63,22","63,39","64,03","62,74","5,06M","0,68%"
"13.03.2023","62,79","61,38","63,67","61,35","6,42M","2,30%"
"10.03.2023","61,38","63,43","63,49","61,22","5,73M","-3,25%"
"09.03.2023","63,44","64,54","64,70","63,40","3,39M","-1,70%"
"08.03.2023","64,54","63,82","64,59","63,76","2,81M","1,00%"
"07.03.2023","63,90","64,41","64,51","63,66","3,55M","-0,62%"
"06.03.2023","64,30","64,74","64,89","64,21","3,48M","-0,29%"
"03.03.2023","64,49","64,39","64,78","64,15","3,57M","0,62%"
"02.03.2023","64,09","63,38","64,25","63,16","3,23M","0,90%"
"01.03.2023","63,52","63,84","63,84","62,77","3,56M","-0,67%"
"28.02.2023","63,95","64,49","64,80","63,91","5,97M","-1,25%"
"27.02.2023","64,76","65,65","65,73","64,46","3,98M","-0,34%"
"24.02.2023","64,98","65,72","65,85","64,66","3,22M","-1,66%"
"23.02.2023","66,08","66,05","66,52","65,68","3,56M","0,85%"
"22.02.2023","65,52","65,83","67,05","65,42","3,47M","0,46%"
"21.02.2023","65,22","65,75","66,05","65,00","2,60M","-1,36%"
"17.02.2023","66,12","66,30","66,40","65,64","2,89M","-0,29%"
"16.02.2023","66,31","65,83","66,64","65,52","2,45M","-0,14%"
"15.02.2023","66,40","65,72","66,44","65,52","2,42M","1,05%"
"14.02.2023","65,71","67,03","67,13","65,68","3,16M","-2,14%"
"13.02.2023","67,15","67,00","67,35","66,97","2,21M","0,45%"
"10.02.2023","66,85","66,08","67,00","66,03","2,12M","0,94%"
"09.02.2023","66,23","67,43","67,74","66,18","2,39M","-1,47%"
"08.02.2023","67,22","67,26","67,70","66,93","2,52M","-0,22%"
"07.02.2023","67,37","67,29","67,89","66,81","3,60M","-0,53%"
"06.02.2023","67,73","67,00","67,81","66,72","2,49M","0,21%"
"03.02.2023","67,59","67,33","67,64","66,38","3,64M","-0,40%"
"02.02.2023","67,86","68,21","68,85","67,50","3,23M","-0,06%"
"01.02.2023","67,90","67,62","68,13","66,77","3,30M","0,10%"
"31.01.2023","67,83","67,53","68,14","67,10","4,99M","0,09%"
"30.01.2023","67,77","68,07","68,45","67,71","2,65M","-0,78%"
"27.01.2023","68,30","67,85","68,68","67,84","3,98M","0,49%"
"26.01.2023","67,97","67,68","68,00","67,13","2,29M","0,98%"
"25.01.2023","67,31","67,34","67,34","66,70","4,14M","0,31%"
"24.01.2023","67,10","66,87","67,45","66,60","1,90M","0,25%"
"23.01.2023","66,93","66,39","67,30","66,12","2,68M","0,83%"
"20.01.2023","66,38","65,44","66,44","64,84","3,04M","1,64%"
"19.01.2023","65,31","65,86","66,57","65,28","2,71M","-1,11%"
"18.01.2023","66,04","66,99","67,10","65,71","2,50M","-1,27%"
"17.01.2023","66,89","66,25","67,25","66,23","3,19M","1,06%"
"13.01.2023","66,19","66,16","66,54","65,81","2,15M","-0,54%"
"12.01.2023","66,55","66,12","66,83","65,57","3,52M","0,83%"
"11.01.2023","66,00","64,66","66,07","64,10","5,02M","2,90%"
"10.01.2023","64,14","64,37","64,51","63,81","3,12M","-0,87%"
"09.01.2023","64,70","64,02","64,86","63,68","3,88M","0,97%"
"06.01.2023","64,08","63,75","64,45","63,68","4,26M","1,09%"
"05.01.2023","63,39","64,26","64,28","63,12","3,78M","-1,89%"
"04.01.2023","64,61","64,00","65,22","63,85","3,89M","1,27%"
"03.01.2023","63,80","63,86","64,03","62,85","4,48M","0,58%"
"30.12.2022","63,43","63,61","63,78","62,74","2,37M","-0,94%"
"29.12.2022","64,03","63,50","64,20","63,43","2,46M","1,27%"
"28.12.2022","63,23","64,03","64,45","63,15","2,89M","-1,37%"
"27.12.2022","64,11","64,41","64,42","63,63","3,82M","-0,47%"
"23.12.2022","64,41","63,32","64,41","63,24","1,85M","1,51%"
"22.12.2022","63,45","63,96","64,20","62,52","3,20M","-1,23%"
"21.12.2022","64,24","63,98","64,80","63,93","3,82M","1,79%"
"20.12.2022","63,11","63,31","63,61","62,59","4,31M","-0,68%"
"19.12.2022","63,54","63,48","64,09","63,00","3,59M","0,09%"
"16.12.2022","63,48","63,76","64,13","62,39","10,96M","-1,79%"
"15.12.2022","64,64","64,24","65,02","64,07","4,53M","-0,03%"
"14.12.2022","64,66","65,06","65,64","64,40","4,72M","-0,46%"
"13.12.2022","64,96","66,00","66,44","64,40","4,21M","0,45%"
"12.12.2022","64,67","64,56","64,91","64,10","4,90M","0,34%"
"09.12.2022","64,45","64,13","64,90","64,00","4,42M","0,61%"
"08.12.2022","64,06","63,60","64,42","63,59","3,86M","0,77%"
"07.12.2022","63,57","62,71","63,82","62,71","5,02M","1,37%"
"06.12.2022","62,71","62,35","62,94","62,27","5,55M","0,76%"
"05.12.2022","62,24","62,31","62,90","61,75","5,07M","-1,05%"
"02.12.2022","62,90","62,33","63,23","62,13","3,36M","0,14%"
"01.12.2022","62,81","63,41","63,92","62,58","3,90M","-0,41%"
"30.11.2022","63,07","61,51","63,16","61,10","6,93M","1,24%"
"29.11.2022","62,30","61,91","62,55","61,44","5,29M","0,91%"
"28.11.2022","61,74","64,56","64,68","61,52","7,73M","-4,80%"
"25.11.2022","64,85","64,81","64,96","64,53","1,69M","0,51%"
"23.11.2022","64,52","65,13","65,39","64,19","3,28M","-1,19%"
"22.11.2022","65,30","65,37","65,68","65,09","3,13M","0,00%"
"21.11.2022","65,30","64,65","65,37","64,61","2,83M","0,93%"
"18.11.2022","64,70","65,00","65,20","64,31","2,99M","0,45%"
"17.11.2022","64,41","63,22","64,43","63,13","3,09M","0,89%"
"16.11.2022","63,84","64,54","64,72","63,69","3,57M","-1,39%"
"15.11.2022","64,74","64,90","65,39","63,96","4,41M","1,03%"
"14.11.2022","64,08","64,82","65,22","64,06","3,99M","-1,39%"
"11.11.2022","64,98","65,60","65,82","64,66","3,56M","-0,60%"
"10.11.2022","65,37","64,75","65,88","64,12","4,62M","3,35%"
"09.11.2022","63,25","63,28","64,28","63,10","2,96M","-0,14%"
"08.11.2022","63,34","63,18","63,92","62,85","3,00M","0,33%"
"07.11.2022","63,13","63,12","63,31","62,59","3,11M","0,19%"
"04.11.2022","63,01","61,91","63,46","61,70","3,71M","2,24%"
"03.11.2022","61,63","60,38","61,99","59,94","2,83M","0,92%"
"02.11.2022","61,07","61,79","62,46","60,61","3,99M","-1,83%"
"01.11.2022","62,21","62,50","62,94","62,01","3,59M","-0,10%"
"31.10.2022","62,27","61,54","62,46","61,51","6,62M","-0,06%"
"28.10.2022","62,31","60,99","62,41","60,91","2,98M","1,91%"
"27.10.2022","61,14","61,00","61,74","60,89","3,29M","0,89%"
"26.10.2022","60,60","60,49","60,95","60,21","3,81M","0,18%"
"25.10.2022","60,49","59,08","60,55","59,00","6,58M","2,51%"
"24.10.2022","59,01","58,28","59,13","58,16","4,18M","2,39%"
"21.10.2022","57,63","57,45","57,78","56,68","3,78M","0,28%"
"20.10.2022","57,47","57,91","58,33","57,45","3,19M","-0,62%"
"19.10.2022","57,83","58,13","58,74","57,41","3,66M","-1,36%"
"18.10.2022","58,63","58,30","58,91","58,02","4,07M","1,98%"
"17.10.2022","57,49","56,37","57,71","56,14","5,01M","3,51%"
"14.10.2022","55,54","58,25","58,43","55,50","4,16M","-3,49%"
"13.10.2022","57,55","56,52","57,78","55,87","4,44M","0,03%"
"12.10.2022","57,53","57,87","58,15","57,52","2,93M","-0,91%"
"11.10.2022","58,06","57,40","58,34","57,10","3,62M","1,24%"
"10.10.2022","57,35","58,31","58,82","57,32","3,14M","-1,17%"
"07.10.2022","58,03","58,24","58,68","57,68","3,29M","-0,84%"
"06.10.2022","58,52","59,56","59,89","58,22","3,83M","-1,68%"
"05.10.2022","59,52","59,62","59,84","58,41","3,36M","-1,24%"
"04.10.2022","60,27","59,80","61,08","59,53","3,84M","1,77%"
"03.10.2022","59,22","58,85","59,62","57,71","4,28M","1,75%"
"30.09.2022","58,20","58,51","58,56","57,68","5,62M","0,43%"
"29.09.2022","57,95","59,86","59,92","57,61","4,84M","-4,01%"
"28.09.2022","60,37","59,95","60,67","59,11","8,46M","1,48%"
"27.09.2022","59,49","61,14","61,44","59,42","4,03M","-2,32%"
"26.09.2022","60,90","61,50","61,70","60,35","5,02M","-1,47%"
"23.09.2022","61,81","61,99","62,41","61,03","4,56M","-1,10%"
"22.09.2022","62,50","62,50","62,86","62,12","4,30M","-0,06%"
"21.09.2022","62,54","63,30","63,84","62,52","4,72M","-0,87%"
"20.09.2022","63,09","63,45","63,51","62,60","4,38M","-1,38%"
"19.09.2022","63,97","63,93","64,12","63,34","4,44M","-0,53%"
"16.09.2022","64,31","63,34","64,51","63,11","12,58M","1,39%"
"15.09.2022","63,43","65,57","65,94","63,38","7,53M","-3,03%"
"14.09.2022","65,41","66,00","66,25","65,01","4,99M","-0,76%"
"13.09.2022","65,91","66,61","66,97","65,76","4,20M","-2,50%"
"12.09.2022","67,60","67,24","67,83","66,90","3,79M","1,21%"
"09.09.2022","66,79","66,45","66,99","66,01","4,14M","0,65%"
"08.09.2022","66,36","67,70","68,16","66,18","8,17M","-2,80%"
"07.09.2022","68,27","67,69","68,46","67,58","2,66M","0,77%"
"06.09.2022","67,75","68,00","68,45","67,36","3,83M","0,09%"
"02.09.2022","67,69","68,75","68,90","67,56","2,56M","-1,11%"
"01.09.2022","68,45","67,97","68,49","67,53","3,48M","0,25%"
"31.08.2022","68,28","69,00","69,32","68,06","5,06M","-1,00%"
"30.08.2022","68,97","70,05","70,34","68,82","3,92M","-1,46%"
"29.08.2022","69,99","69,60","70,69","69,50","3,71M","0,11%"
"26.08.2022","69,91","71,01","71,18","69,89","3,31M","-1,56%"
"25.08.2022","71,02","70,92","71,13","70,53","2,57M","0,54%"
"24.08.2022","70,64","70,61","70,97","70,54","3,05M","0,04%"
"23.08.2022","70,61","71,70","71,79","70,12","4,44M","-1,64%"
"22.08.2022","71,79","72,50","72,71","71,72","3,95M","-1,54%"
"19.08.2022","72,91","72,87","73,25","72,63","4,18M","-0,11%"
"18.08.2022","72,99","73,68","73,83","72,74","2,81M","-0,80%"
"17.08.2022","73,58","73,44","73,95","73,04","3,28M","-0,16%"
"16.08.2022","73,70","74,34","74,82","73,50","4,73M","-1,40%"
"15.08.2022","74,75","74,60","75,11","74,38","3,07M","0,11%"
"12.08.2022","74,67","74,27","74,77","73,97","3,28M","1,10%"
"11.08.2022","73,86","74,16","74,56","73,62","2,89M","-0,36%"
"10.08.2022","74,13","74,25","74,35","73,43","3,21M","0,79%"
"09.08.2022","73,55","73,46","73,70","73,30","2,58M","0,40%"
"08.08.2022","73,26","73,00","73,83","72,93","2,03M","0,69%"
"05.08.2022","72,76","72,10","72,79","71,56","2,51M","0,40%"
"04.08.2022","72,47","73,05","73,17","72,03","3,07M","0,65%"
"03.08.2022","72,00","73,00","73,52","71,95","3,72M","-1,10%"
"02.08.2022","72,80","73,60","74,06","72,77","2,68M","-1,18%"
"01.08.2022","73,67","73,62","74,16","73,40","2,61M","-0,43%"
"29.07.2022","73,99","73,10","74,18","73,04","4,41M","0,61%"
"28.07.2022","73,54","72,23","73,61","72,04","2,73M","2,32%"
"27.07.2022","71,87","72,00","72,52","71,21","2,53M","-0,77%"
"26.07.2022","72,43","71,62","72,61","71,62","2,35M","1,15%"
"25.07.2022","71,61","71,50","71,89","71,26","2,05M","0,36%"
"22.07.2022","71,35","71,00","71,46","70,69","2,22M","1,09%"
"21.07.2022","70,58","70,00","70,60","69,75","1,84M","0,47%"
"20.07.2022","70,25","69,94","70,54","69,39","1,86M","0,24%"
"19.07.2022","70,08","69,93","70,13","69,29","2,53M","0,88%"
"18.07.2022","69,47","70,50","70,64","69,17","2,84M","-1,19%"
"15.07.2022","70,31","69,36","70,42","68,84","3,80M","2,72%"
"14.07.2022","68,45","67,03","68,66","66,86","3,97M","0,59%"
"13.07.2022","68,05","68,63","69,24","68,03","3,34M","-1,89%"
"12.07.2022","69,36","69,09","69,89","68,79","2,59M","-0,29%"
"11.07.2022","69,56","68,92","69,58","68,63","2,83M","0,84%"
"08.07.2022","68,98","68,80","69,30","68,52","2,89M","0,28%"
"07.07.2022","68,79","69,62","69,69","68,65","3,87M","-1,02%"
"06.07.2022","69,50","69,50","69,98","69,03","3,03M","0,30%"
"05.07.2022","69,29","69,61","69,86","68,08","2,98M","-1,23%"
"01.07.2022","70,15","68,18","70,21","68,14","2,95M","2,77%"
"30.06.2022","68,26","68,61","68,97","67,96","3,75M","-1,59%"
"29.06.2022","69,36","68,98","69,47","68,88","3,08M","0,33%"
"28.06.2022","69,13","69,90","70,68","69,03","2,86M","-0,45%"
"27.06.2022","69,44","69,06","69,67","68,56","3,79M","0,36%"
"24.06.2022","69,19","68,06","69,38","67,91","5,93M","1,76%"
"23.06.2022","67,99","67,05","68,05","66,90","4,06M","2,41%"
"22.06.2022","66,39","64,76","67,07","64,76","3,43M","1,41%"
"21.06.2022","65,47","65,01","66,24","65,01","3,59M","0,92%"
"17.06.2022","64,87","64,21","65,69","64,21","15,38M","1,00%"
