"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"04.11.2021","0,3514","0,3420","0,3628","0,3420","2,55M","3,96%"
"03.11.2021","0,3380","0,3350","0,3388","0,3334","768,64K","1,20%"
"02.11.2021","0,3340","0,3316","0,3374","0,3316","301,40K","-1,01%"
"01.11.2021","0,3374","0,3320","0,3374","0,3310","1,03M","1,02%"
"29.10.2021","0,3340","0,3390","0,3390","0,3320","662,85K","0,42%"
"28.10.2021","0,3326","0,3332","0,3390","0,3320","404,76K","-1,54%"
"27.10.2021","0,3378","0,3434","0,3434","0,3356","323,36K","-1,23%"
"26.10.2021","0,3420","0,3342","0,3426","0,3316","564,79K","3,01%"
"25.10.2021","0,3320","0,3332","0,3360","0,3310","279,74K","-0,78%"
"22.10.2021","0,3346","0,3352","0,3390","0,3332","301,74K","-1,01%"
"21.10.2021","0,3380","0,3360","0,3400","0,3340","447,33K","-0,41%"
"20.10.2021","0,3394","0,3398","0,3398","0,3360","227,35K","0,18%"
"19.10.2021","0,3388","0,3434","0,3436","0,3376","403,94K","-0,65%"
"18.10.2021","0,3410","0,3448","0,3448","0,3400","121,46K","0,24%"
"15.10.2021","0,3402","0,3530","0,3538","0,3402","684,44K","-2,52%"
"14.10.2021","0,3490","0,3410","0,3494","0,3400","720,09K","2,35%"
"13.10.2021","0,3410","0,3424","0,3460","0,3400","195,82K","0,29%"
"12.10.2021","0,3400","0,3352","0,3442","0,3334","409,90K","0,65%"
"11.10.2021","0,3378","0,3418","0,3418","0,3378","257,55K","-0,65%"
"08.10.2021","0,3400","0,3388","0,3430","0,3360","469,92K","1,49%"
"07.10.2021","0,3350","0,3370","0,3380","0,3320","259,44K","-0,30%"
"06.10.2021","0,3360","0,3350","0,3378","0,3320","265,98K","1,08%"
"05.10.2021","0,3324","0,3396","0,3396","0,3324","306,31K","-0,78%"
"04.10.2021","0,3350","0,3438","0,3438","0,3320","341,78K","0,54%"
"01.10.2021","0,3332","0,3370","0,3400","0,3320","386,55K","-1,13%"
"30.09.2021","0,3370","0,3350","0,3414","0,3350","307,77K","-0,71%"
"29.09.2021","0,3394","0,3340","0,3430","0,3332","506,83K","0,41%"
"28.09.2021","0,3380","0,3348","0,3392","0,3332","496,12K","0,30%"
"27.09.2021","0,3370","0,3482","0,3482","0,3318","1,06M","-1,46%"
"24.09.2021","0,3420","0,3478","0,3478","0,3396","370,67K","-0,58%"
"23.09.2021","0,3440","0,3422","0,3452","0,3400","424,54K","0,88%"
"22.09.2021","0,3410","0,3350","0,3424","0,3300","474,92K","1,73%"
"21.09.2021","0,3352","0,3400","0,3448","0,3352","475,08K","-1,35%"
"20.09.2021","0,3398","0,3466","0,3494","0,3312","1,24M","-4,50%"
"17.09.2021","0,3558","0,3474","0,3568","0,3440","366,44K","0,45%"
"16.09.2021","0,3542","0,3588","0,3598","0,3464","230,01K","-1,28%"
"15.09.2021","0,3588","0,3614","0,3620","0,3516","573,31K","-0,33%"
"14.09.2021","0,3600","0,3500","0,3610","0,3420","516,41K","2,86%"
"13.09.2021","0,3500","0,3528","0,3528","0,3456","98,61K","0,00%"
"10.09.2021","0,3500","0,3540","0,3540","0,3454","266,48K","-1,13%"
"09.09.2021","0,3540","0,3490","0,3570","0,3404","338,42K","1,72%"
"08.09.2021","0,3480","0,3474","0,3488","0,3414","177,19K","0,17%"
"07.09.2021","0,3474","0,3480","0,3500","0,3414","516,78K","0,70%"
"06.09.2021","0,3450","0,3566","0,3566","0,3444","335,32K","-1,71%"
"03.09.2021","0,3510","0,3570","0,3600","0,3470","605,84K","-1,68%"
"02.09.2021","0,3570","0,3640","0,3640","0,3550","1,00M","-0,89%"
"01.09.2021","0,3602","0,3632","0,3684","0,3554","508,77K","-1,80%"
"31.08.2021","0,3668","0,3720","0,3720","0,3650","307,77K","-0,97%"
"30.08.2021","0,3704","0,3766","0,3766","0,3674","228,43K","-0,27%"
"27.08.2021","0,3714","0,3744","0,3744","0,3654","294,58K","0,05%"
"26.08.2021","0,3712","0,3770","0,3780","0,3700","553,77K","-1,17%"
"25.08.2021","0,3756","0,3770","0,3778","0,3610","1,25M","0,43%"
"24.08.2021","0,3740","0,3648","0,3748","0,3644","1,20M","3,83%"
"23.08.2021","0,3602","0,3496","0,3638","0,3496","573,05K","1,46%"
