"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"21.04.2023","10,400","10,450","10,450","10,400","1,17K","-0,48%"
"20.04.2023","10,450","10,450","10,950","10,400","2,98K","0,48%"
"19.04.2023","10,400","10,500","10,700","10,400","4,46K","-1,89%"
"18.04.2023","10,600","10,550","10,700","10,400","5,78K","0,00%"
"17.04.2023","10,600","10,800","10,800","10,500","1,98K","0,47%"
"14.04.2023","10,550","10,550","10,800","10,550","0,94K","-0,94%"
"13.04.2023","10,650","10,450","10,800","10,400","4,90K","-2,29%"
"12.04.2023","10,900","10,650","10,950","10,650","1,18K","2,83%"
"11.04.2023","10,600","10,850","10,850","10,500","1,81K","-2,30%"
"06.04.2023","10,850","10,700","10,850","10,700","0,82K","1,40%"
"05.04.2023","10,700","10,700","10,800","10,500","1,57K","0,00%"
"04.04.2023","10,700","10,900","10,900","10,600","0,61K","-1,83%"
"03.04.2023","10,900","10,650","10,900","10,550","1,85K","0,93%"
"31.03.2023","10,800","10,700","10,800","10,700","1,19K","0,93%"
"30.03.2023","10,700","10,900","10,900","10,700","1,61K","0,94%"
"29.03.2023","10,600","10,600","10,700","10,500","4,38K","-0,93%"
"28.03.2023","10,700","10,800","10,900","10,550","3,85K","0,00%"
"27.03.2023","10,700","10,800","10,800","10,800","0,37K","0,00%"
"24.03.2023","10,700","10,700","10,800","10,650","2,50K","0,00%"
"23.03.2023","10,700","10,700","10,700","10,600","1,42K","0,94%"
"22.03.2023","10,600","10,600","10,600","10,600","0,10K","0,00%"
"21.03.2023","10,600","10,600","10,700","10,400","0,84K","0,00%"
"20.03.2023","10,600","10,600","10,600","10,400","0,80K","0,95%"
"17.03.2023","10,500","10,600","10,600","10,500","0,87K","-0,94%"
"16.03.2023","10,600","10,700","10,700","10,600","0,05K","0,00%"
"15.03.2023","10,600","10,700","10,700","10,600","1,47K","-0,93%"
"14.03.2023","10,700","10,700","10,850","10,600","2,11K","-0,93%"
"13.03.2023","10,800","10,800","10,850","10,500","1,65K","0,93%"
"10.03.2023","10,700","10,850","10,850","10,750","0,33K","0,00%"
