"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"25.07.2022","81,67","81,00","82,27","79,07","8,50M","0,76%"
"22.07.2022","81,05","82,62","84,48","80,36","12,38M","-2,05%"
"21.07.2022","82,75","79,79","84,13","79,72","17,90M","3,13%"
"20.07.2022","80,24","76,88","80,31","76,85","13,93M","3,22%"
"19.07.2022","77,74","75,46","77,90","74,32","11,53M","4,87%"
"18.07.2022","74,13","75,12","76,56","73,61","14,05M","0,30%"
"15.07.2022","73,91","70,48","73,99","70,34","14,16M","6,27%"
"14.07.2022","69,55","70,52","70,85","68,71","9,82M","-2,54%"
"13.07.2022","71,36","69,22","72,07","68,51","12,04M","-0,10%"
"12.07.2022","71,43","70,46","72,51","70,46","12,29M","1,36%"
"11.07.2022","70,47","72,66","73,28","70,07","10,88M","-4,03%"
"08.07.2022","73,43","73,18","74,76","71,84","11,73M","-2,15%"
"07.07.2022","75,04","73,18","75,15","72,77","10,70M","2,46%"
"06.07.2022","73,24","74,83","75,40","72,63","9,41M","-1,56%"
"05.07.2022","74,40","70,18","74,49","68,76","12,81M","4,20%"
"01.07.2022","71,40","69,84","71,70","69,66","9,73M","2,23%"
"30.06.2022","69,84","70,82","70,89","67,58","13,81M","-2,28%"
"29.06.2022","71,47","71,21","72,15","69,77","11,25M","-0,49%"
"28.06.2022","71,82","75,68","76,92","71,61","15,01M","-5,43%"
"27.06.2022","75,94","77,99","78,45","75,32","11,66M","-2,24%"
"24.06.2022","77,68","74,78","78,65","74,42","29,84M","5,24%"
"23.06.2022","73,81","73,27","74,00","71,56","16,85M","1,15%"
"22.06.2022","72,97","71,87","74,57","71,38","13,57M","0,83%"
"21.06.2022","72,37","74,51","75,00","72,28","14,86M","-0,73%"
"17.06.2022","72,90","71,33","73,66","70,47","17,23M","2,34%"
"16.06.2022","71,23","73,33","74,07","70,71","14,40M","-6,07%"
"15.06.2022","75,83","73,47","77,10","72,39","16,77M","4,65%"
