"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"20.04.2023","16,485","16,450","16,535","16,370","559,03K","0,33%"
"19.04.2023","16,430","16,220","16,450","16,200","771,70K","1,29%"
"18.04.2023","16,220","16,275","16,360","16,060","1,03M","-0,40%"
"17.04.2023","16,285","16,200","16,325","16,180","1,02M","0,52%"
"14.04.2023","16,200","16,625","16,640","16,190","1,04M","-2,20%"
"13.04.2023","16,565","16,610","16,655","16,415","1,34M","-0,45%"
"12.04.2023","16,640","16,485","16,750","16,485","708,00K","0,91%"
"11.04.2023","16,490","16,715","16,770","16,330","1,02M","-1,38%"
"06.04.2023","16,720","16,595","16,780","16,495","763,80K","1,24%"
"05.04.2023","16,515","16,270","16,590","16,250","1,83M","1,47%"
"04.04.2023","16,275","16,225","16,310","16,115","690,65K","0,28%"
"03.04.2023","16,230","16,200","16,305","16,050","1,21M","0,19%"
"31.03.2023","16,200","16,080","16,275","16,030","1,36M","0,93%"
"30.03.2023","16,050","15,950","16,085","15,950","764,27K","0,72%"
"29.03.2023","15,935","15,770","15,935","15,640","943,74K","1,56%"
"28.03.2023","15,690","15,805","15,855","15,625","1,09M","-0,66%"
"27.03.2023","15,795","15,775","15,865","15,690","768,13K","0,70%"
"24.03.2023","15,685","15,840","15,840","15,590","1,29M","-1,13%"
"23.03.2023","15,865","15,920","15,945","15,800","921,30K","0,13%"
"22.03.2023","15,845","15,760","15,905","15,665","935,92K","0,25%"
"21.03.2023","15,805","15,760","15,860","15,750","814,06K","0,09%"
"20.03.2023","15,790","15,420","15,975","15,420","1,09M","2,37%"
"17.03.2023","15,425","15,665","15,795","15,370","3,46M","-1,15%"
"16.03.2023","15,605","15,475","15,685","15,375","1,37M","1,20%"
"15.03.2023","15,420","15,800","15,800","15,405","2,00M","-2,06%"
"14.03.2023","15,745","15,655","15,930","15,615","1,57M","0,10%"
"13.03.2023","15,730","15,600","15,890","15,335","3,34M","0,80%"
"10.03.2023","15,605","15,695","15,860","15,565","1,01M","-0,67%"
"09.03.2023","15,710","15,715","15,805","15,645","686,16K","-0,29%"
"08.03.2023","15,755","15,595","15,780","15,485","1,04M","0,64%"
"07.03.2023","15,655","15,580","15,835","15,565","1,09M","0,48%"
"06.03.2023","15,580","15,680","15,680","15,455","1,11M","-0,19%"
"03.03.2023","15,610","15,620","15,780","15,580","1,06M","0,71%"
"02.03.2023","15,500","15,410","15,680","15,380","1,31M","0,58%"
"01.03.2023","15,410","15,725","15,735","15,380","1,55M","-1,91%"
"28.02.2023","15,710","16,105","16,320","15,545","2,97M","-3,02%"
"27.02.2023","16,200","16,175","16,285","16,160","881,38K","0,50%"
"24.02.2023","16,120","16,165","16,235","16,080","824,13K","0,03%"
"23.02.2023","16,115","16,130","16,170","16,090","736,10K","-0,28%"
"22.02.2023","16,160","16,275","16,285","16,005","847,09K","-0,68%"
"21.02.2023","16,270","16,145","16,385","16,135","722,12K","0,68%"
"20.02.2023","16,160","16,330","16,360","16,140","504,18K","-0,95%"
"17.02.2023","16,315","16,135","16,360","16,110","665,52K","0,90%"
"16.02.2023","16,170","16,290","16,355","16,110","1,04M","-0,43%"
"15.02.2023","16,240","16,275","16,405","16,235","590,66K","0,22%"
"14.02.2023","16,205","16,200","16,345","16,200","833,26K","0,22%"
"13.02.2023","16,170","16,185","16,255","16,135","592,31K","0,31%"
"10.02.2023","16,120","16,170","16,205","16,025","682,67K","-0,49%"
"09.02.2023","16,200","16,265","16,350","16,170","435,01K","-0,15%"
"08.02.2023","16,225","16,310","16,395","16,190","792,60K","-0,52%"
"07.02.2023","16,310","16,240","16,365","16,170","779,23K","0,93%"
"06.02.2023","16,160","16,210","16,325","16,110","1,36M","-0,65%"
"03.02.2023","16,265","16,460","16,525","16,245","778,91K","-1,48%"
"02.02.2023","16,510","16,290","16,595","16,165","1,40M","1,35%"
"01.02.2023","16,290","16,225","16,310","16,155","756,83K","0,31%"
"31.01.2023","16,240","16,190","16,275","16,100","951,06K","0,12%"
"30.01.2023","16,220","16,240","16,345","16,210","838,86K","-0,25%"
"27.01.2023","16,260","16,465","16,485","16,245","897,43K","-1,19%"
"26.01.2023","16,455","16,640","16,660","16,430","770,57K","-0,96%"
"25.01.2023","16,615","16,620","16,635","16,470","546,36K","0,42%"
"24.01.2023","16,545","16,615","16,650","16,520","579,05K","-0,30%"
"23.01.2023","16,595","16,560","16,595","16,440","972,55K","0,48%"
"20.01.2023","16,515","16,635","16,740","16,490","874,99K","-0,54%"
"19.01.2023","16,605","16,515","16,615","16,385","1,03M","0,24%"
"18.01.2023","16,565","16,565","16,650","16,415","1,15M","0,39%"
"17.01.2023","16,500","16,600","16,700","16,500","5,94M","-0,72%"
"16.01.2023","16,620","16,545","16,670","16,480","457,03K","0,51%"
"13.01.2023","16,535","16,475","16,570","16,460","702,88K","0,06%"
"12.01.2023","16,525","16,470","16,585","16,330","992,83K","0,43%"
"11.01.2023","16,455","16,410","16,605","16,395","772,90K","0,24%"
"10.01.2023","16,415","16,410","16,525","16,365","1,13M","0,06%"
