"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"25.07.2022","60,050","59,200","60,650","58,500","-","0,50%"
"22.07.2022","59,750","59,600","60,400","58,250","72,84K","1,96%"
"21.07.2022","58,600","57,100","59,050","57,100","62,97K","0,43%"
"20.07.2022","58,350","59,100","59,500","57,900","83,69K","0,52%"
"19.07.2022","58,050","59,200","59,400","56,800","336,75K","-1,86%"
"18.07.2022","59,150","59,600","60,100","58,700","63,78K","0,25%"
"15.07.2022","59,000","57,700","59,000","56,500","99,07K","3,15%"
"14.07.2022","57,200","58,800","59,750","56,800","143,11K","-4,35%"
"13.07.2022","59,800","61,000","61,350","58,150","96,78K","-1,48%"
"12.07.2022","60,700","60,500","60,950","59,750","61,43K","-0,57%"
"11.07.2022","61,050","58,000","61,450","57,050","54,19K","0,25%"
"08.07.2022","60,900","60,300","61,200","59,700","55,33K","1,00%"
"07.07.2022","60,300","59,950","60,750","58,850","108,67K","2,29%"
"06.07.2022","58,950","58,200","59,250","57,400","72,92K","3,88%"
"05.07.2022","56,750","57,800","59,000","56,050","81,06K","-3,81%"
"04.07.2022","59,000","58,800","59,250","57,300","79,35K","2,34%"
"01.07.2022","57,650","58,350","58,350","56,550","84,02K","-1,28%"
"30.06.2022","58,400","58,000","59,700","57,600","89,42K","-1,77%"
"29.06.2022","59,450","59,350","59,750","58,400","86,99K","-0,25%"
"28.06.2022","59,600","60,900","61,100","58,500","76,14K","-2,30%"
"27.06.2022","61,000","59,500","61,300","59,450","249,64K","2,52%"
"24.06.2022","59,500","59,500","60,050","58,500","82,25K","1,10%"
"23.06.2022","58,850","59,650","59,850","57,400","76,12K","-1,09%"
"22.06.2022","59,500","57,400","59,650","56,250","184,08K","4,39%"
"21.06.2022","57,000","56,800","57,850","56,400","643,45K","-0,09%"
"20.06.2022","57,050","58,000","58,000","56,350","47,92K","0,97%"
"17.06.2022","56,500","54,200","56,850","54,200","231,25K","3,29%"
"16.06.2022","54,700","55,600","55,650","54,250","56,28K","-1,97%"
"15.06.2022","55,800","55,900","56,100","54,350","86,45K","2,57%"
"14.06.2022","54,400","55,000","56,200","53,700","130,50K","-1,54%"
"13.06.2022","55,250","56,500","57,050","54,550","214,86K","-2,90%"
"10.06.2022","56,900","59,000","59,000","56,500","109,96K","-4,05%"
"09.06.2022","59,300","61,350","61,500","59,100","97,53K","-3,34%"
"08.06.2022","61,350","61,200","61,350","60,100","57,73K","0,99%"
"07.06.2022","60,750","60,000","60,900","59,800","86,29K","0,25%"
"06.06.2022","60,600","62,300","62,300","60,550","68,39K","-1,54%"
"03.06.2022","61,550","61,150","62,700","61,050","68,22K","0,24%"
"02.06.2022","61,400","61,200","62,450","61,150","55,07K","0,00%"
"01.06.2022","61,400","62,050","62,650","61,100","60,50K","-1,60%"
"31.05.2022","62,400","61,700","62,850","61,400","86,19K","0,56%"
"30.05.2022","62,050","62,000","63,900","61,450","64,22K","1,31%"
"27.05.2022","61,250","60,500","61,400","60,150","76,56K","2,08%"
"26.05.2022","60,000","59,900","60,100","59,150","62,49K","1,27%"
"25.05.2022","59,250","58,750","59,800","58,200","76,01K","0,34%"
"24.05.2022","59,050","60,200","60,200","59,000","76,90K","-1,91%"
"23.05.2022","60,200","60,350","60,500","59,550","110,37K","0,50%"
"20.05.2022","59,900","58,400","60,600","58,150","131,91K","4,08%"
"19.05.2022","57,550","57,400","57,850","56,350","160,78K","0,44%"
"18.05.2022","57,300","60,100","60,900","57,200","128,66K","-5,21%"
"17.05.2022","60,450","60,200","61,600","59,750","76,02K","0,33%"
"16.05.2022","60,250","59,400","60,250","59,100","83,61K","1,35%"
"13.05.2022","59,450","58,200","59,600","57,900","153,93K","3,39%"
"12.05.2022","57,500","60,400","60,400","56,050","195,54K","-6,43%"
"11.05.2022","61,450","60,900","62,300","60,350","122,54K","1,82%"
"10.05.2022","60,350","59,200","60,700","59,200","128,33K","1,68%"
"09.05.2022","59,350","62,000","62,850","58,850","114,11K","-5,42%"
"06.05.2022","62,750","64,350","64,350","62,200","97,61K","-1,18%"
"05.05.2022","63,500","62,700","65,250","62,700","198,34K","1,44%"
"04.05.2022","62,600","63,200","63,850","62,300","74,70K","-1,03%"
"03.05.2022","63,250","63,200","63,350","62,250","72,11K","1,93%"
"02.05.2022","62,050","64,600","64,700","61,850","94,09K","-4,83%"
"29.04.2022","65,200","64,900","65,800","64,700","107,74K","0,77%"
"28.04.2022","64,700","62,100","64,950","62,100","132,66K","3,69%"
"27.04.2022","62,400","61,200","62,650","60,950","179,33K","0,40%"
"26.04.2022","62,150","61,900","62,600","61,550","110,72K","0,49%"
"25.04.2022","61,850","62,000","62,150","61,000","100,18K","-1,04%"
"22.04.2022","62,500","64,500","64,800","62,350","115,70K","-3,85%"
"21.04.2022","65,000","63,500","65,200","63,500","743,54K","1,64%"
"20.04.2022","63,950","64,250","64,850","63,350","167,29K","-0,78%"
"19.04.2022","64,450","66,100","66,500","64,300","417,80K","-3,23%"
"14.04.2022","66,600","67,300","67,400","66,050","81,72K","0,38%"
"13.04.2022","66,350","65,550","67,250","65,450","120,24K","0,23%"
"12.04.2022","66,200","68,150","68,950","65,950","560,07K","-3,00%"
"11.04.2022","68,250","69,000","70,350","67,300","838,23K","-2,36%"
"08.04.2022","69,900","70,000","70,500","68,850","201,71K","0,65%"
"07.04.2022","69,450","69,900","70,800","68,750","105,64K","0,00%"
"06.04.2022","69,450","69,500","69,900","67,950","126,70K","-0,07%"
"05.04.2022","69,500","68,200","69,500","67,400","118,91K","2,51%"
"04.04.2022","67,800","66,000","68,200","66,000","88,61K","2,96%"
"01.04.2022","65,850","67,400","67,500","65,100","61,59K","-2,01%"
"31.03.2022","67,200","67,300","68,400","67,200","97,94K","-0,88%"
"30.03.2022","67,800","67,400","68,300","67,100","49,00K","0,44%"
"29.03.2022","67,500","68,100","69,300","66,700","91,86K","-0,88%"
"28.03.2022","68,100","68,100","69,300","68,100","60,79K","-0,29%"
"25.03.2022","68,300","69,500","69,900","67,900","95,54K","-1,16%"
"24.03.2022","69,100","69,900","69,900","68,900","148,75K","-1,14%"
"23.03.2022","69,900","69,600","70,100","69,300","93,45K","0,87%"
"22.03.2022","69,300","68,600","69,700","68,400","88,60K","1,17%"
"21.03.2022","68,500","69,000","69,100","67,700","101,39K","-0,29%"
"18.03.2022","68,700","67,800","69,400","67,700","159,94K","1,63%"
"17.03.2022","67,600","67,200","67,700","66,800","515,36K","1,20%"
"16.03.2022","66,800","66,300","67,300","65,700","437,18K","2,77%"
"15.03.2022","65,000","68,100","68,200","64,700","3,27M","-8,71%"
"14.03.2022","71,200","70,000","71,600","68,900","107,36K","3,04%"
"11.03.2022","69,100","70,000","70,300","68,700","150,65K","0,29%"
"10.03.2022","68,900","69,100","70,200","68,700","149,63K","-0,86%"
"09.03.2022","69,500","66,100","69,700","65,800","160,94K","5,30%"
"08.03.2022","66,000","64,500","67,800","64,500","267,59K","0,61%"
"07.03.2022","65,600","65,000","67,100","64,200","162,86K","-1,06%"
"04.03.2022","66,300","68,800","69,500","65,900","123,23K","-3,91%"
"03.03.2022","69,000","72,600","73,000","69,000","105,73K","-4,56%"
"02.03.2022","72,300","70,100","72,800","70,000","179,06K","2,12%"
"01.03.2022","70,800","73,200","73,200","70,800","104,48K","-2,07%"
"28.02.2022","72,300","70,800","72,700","70,800","120,17K","0,70%"
"25.02.2022","71,800","71,500","72,600","70,500","174,10K","0,70%"
"24.02.2022","71,300","69,000","72,700","69,000","323,43K","-1,52%"
"23.02.2022","72,400","70,400","74,900","69,200","220,12K","3,43%"
"22.02.2022","70,000","68,500","70,100","67,900","77,75K","0,14%"
"21.02.2022","69,900","68,500","70,300","68,300","89,21K","2,34%"
"18.02.2022","68,300","70,000","70,300","68,300","122,07K","-2,29%"
