"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"20.04.2023","10,200","10,100","10,100","10,100","3,35K","0,00%"
"19.04.2023","10,200","10,100","10,100","10,100","0,17K","0,00%"
"18.04.2023","10,200","10,100","10,100","10,100","0,33K","0,00%"
"17.04.2023","10,200","10,100","10,200","10,100","2,45K","0,00%"
"14.04.2023","10,200","10,500","10,500","10,100","0,60K","0,00%"
"13.04.2023","10,200","10,400","10,400","10,200","2,01K","-2,86%"
"12.04.2023","10,500","10,600","10,600","10,200","0,22K","0,00%"
"11.04.2023","10,500","10,200","10,500","10,200","0,23K","0,00%"
"06.04.2023","10,500","10,500","10,500","10,500","","0,00%"
"05.04.2023","10,500","10,500","10,500","10,100","0,16K","0,00%"
"04.04.2023","10,500","10,400","10,500","10,400","6,48K","1,94%"
"03.04.2023","10,300","10,300","10,400","10,300","0,51K","-0,48%"
"31.03.2023","10,350","10,200","10,400","10,200","0,96K","1,47%"
"30.03.2023","10,200","10,300","10,300","10,100","0,64K","0,49%"
"29.03.2023","10,150","10,200","10,200","10,050","51,16K","-2,40%"
"28.03.2023","10,400","10,300","10,400","10,000","5,88K","0,97%"
"27.03.2023","10,300","10,250","10,350","10,250","0,70K","0,98%"
"24.03.2023","10,200","10,300","10,300","10,000","1,91K","-0,97%"
"23.03.2023","10,300","10,400","10,400","10,200","0,75K","-1,44%"
"22.03.2023","10,450","10,350","10,350","10,350","0,01K","0,00%"
"21.03.2023","10,450","10,550","10,550","10,350","0,06K","0,00%"
"20.03.2023","10,450","10,500","10,500","10,500","0,40K","0,00%"
"17.03.2023","10,450","10,400","10,450","10,400","0,94K","0,48%"
"16.03.2023","10,400","10,350","10,400","10,350","0,61K","0,48%"
"15.03.2023","10,350","10,400","10,400","10,300","2,48K","-0,48%"
"14.03.2023","10,400","10,400","10,400","10,400","0,58K","0,00%"
"13.03.2023","10,400","10,300","10,500","10,300","0,18K","0,00%"
"10.03.2023","10,400","10,350","10,400","10,350","1,05K","0,00%"
"09.03.2023","10,400","10,400","10,400","10,350","2,02K","0,48%"
"08.03.2023","10,350","10,250","10,350","10,250","1,72K","-0,48%"
"07.03.2023","10,400","10,350","10,400","10,200","5,41K","0,97%"
"06.03.2023","10,300","10,500","10,500","10,200","3,88K","-1,90%"
"03.03.2023","10,500","10,450","10,500","10,400","1,84K","0,96%"
"02.03.2023","10,400","10,300","10,600","10,300","6,06K","-0,48%"
"01.03.2023","10,450","10,200","10,500","10,200","3,02K","0,48%"
"28.02.2023","10,400","10,200","10,400","10,150","0,65K","-0,48%"
"27.02.2023","10,450","10,200","10,250","10,150","0,21K","0,00%"
"24.02.2023","10,450","10,450","10,450","10,200","0,23K","0,00%"
"23.02.2023","10,450","10,450","10,450","10,350","0,57K","0,97%"
"22.02.2023","10,350","10,250","10,450","10,150","78,39K","-1,43%"
"21.02.2023","10,500","10,300","10,500","10,300","2,04K","0,48%"
"20.02.2023","10,450","10,300","10,450","10,300","0,46K","0,00%"
"17.02.2023","10,450","10,400","10,450","10,400","1,22K","1,46%"
"16.02.2023","10,300","10,350","10,350","10,300","2,02K","0,00%"
"15.02.2023","10,300","10,250","10,350","10,200","3,47K","0,49%"
"14.02.2023","10,250","10,400","10,400","10,200","0,12K","0,00%"
"13.02.2023","10,250","10,400","10,400","10,150","0,53K","0,99%"
"10.02.2023","10,150","10,300","10,400","10,150","1,38K","-1,46%"
"09.02.2023","10,300","10,150","10,450","10,150","1,77K","0,49%"
"08.02.2023","10,250","10,450","10,450","10,200","0,56K","-1,91%"
"07.02.2023","10,450","10,450","10,450","10,200","0,12K","0,00%"
"06.02.2023","10,450","10,400","10,450","10,150","2,64K","0,48%"
"03.02.2023","10,400","10,400","10,400","10,400","1,02K","0,00%"
"02.02.2023","10,400","10,400","10,400","10,150","0,03K","0,00%"
"01.02.2023","10,400","10,450","10,450","10,200","0,85K","0,00%"
"31.01.2023","10,400","10,350","10,450","10,350","0,48K","0,00%"
"30.01.2023","10,400","10,450","10,450","10,200","0,74K","2,46%"
"27.01.2023","10,150","10,400","10,500","10,050","3,08K","-2,40%"
"26.01.2023","10,400","10,550","10,550","10,250","0,31K","0,00%"
"25.01.2023","10,400","10,250","10,550","10,100","0,85K","-1,42%"
"24.01.2023","10,550","10,300","10,550","10,000","2,98K","5,50%"
"23.01.2023","10,000","9,940","10,300","9,940","1,58K","-0,99%"
"20.01.2023","10,100","9,900","10,150","9,900","2,96K","1,20%"
"19.01.2023","9,980","9,740","9,980","9,700","1,52K","0,81%"
"18.01.2023","9,900","9,800","9,920","9,740","3,31K","0,00%"
"17.01.2023","9,900","9,880","9,900","9,740","3,25K","0,00%"
"16.01.2023","9,900","9,800","9,900","9,800","1,21K","0,81%"
"13.01.2023","9,820","9,760","9,820","9,760","0,32K","0,00%"
"12.01.2023","9,820","9,740","9,800","9,740","0,32K","0,00%"
"11.01.2023","9,820","9,760","9,760","9,700","0,25K","0,00%"
"10.01.2023","9,820","9,800","9,800","9,740","0,08K","0,00%"
"09.01.2023","9,820","9,900","9,900","9,820","2,36K","-0,41%"
"06.01.2023","9,860","9,860","9,860","9,860","0,21K","0,00%"
"05.01.2023","9,860","9,920","9,920","9,860","2,00K","0,00%"
"04.01.2023","9,860","9,740","9,860","9,740","0,60K","0,61%"
"03.01.2023","9,800","9,700","9,880","9,700","0,45K","0,00%"
"02.01.2023","9,800","10,000","10,000","9,800","0,27K","0,00%"
