"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"20.04.2023","3,5815","3,6690","3,7055","3,5655","66,62M","-1,54%"
"19.04.2023","3,6375","3,6035","3,6410","3,5810","166,35M","1,04%"
"18.04.2023","3,6000","3,5790","3,6460","3,5700","224,23M","1,71%"
"17.04.2023","3,5395","3,6320","3,6330","3,5310","44,55M","-1,97%"
"14.04.2023","3,6105","3,4915","3,6105","3,4745","40,04M","3,76%"
"13.04.2023","3,4795","3,4795","3,4995","3,4385","21,32M","-0,09%"
"12.04.2023","3,4825","3,4500","3,5105","3,4270","33,66M","1,71%"
"11.04.2023","3,4240","3,5450","3,5600","3,4200","56,67M","-2,84%"
"06.04.2023","3,5240","3,4500","3,5240","3,4300","29,05M","3,10%"
"05.04.2023","3,4180","3,4520","3,4700","3,3825","28,14M","-0,81%"
"04.04.2023","3,4460","3,4385","3,4940","3,4385","36,38M","0,23%"
"03.04.2023","3,4380","3,4360","3,4900","3,4250","25,74M","0,35%"
"31.03.2023","3,4260","3,4580","3,4790","3,4210","49,98M","-0,75%"
"30.03.2023","3,4520","3,4100","3,4860","3,3900","49,44M","2,10%"
"29.03.2023","3,3810","3,3590","3,3945","3,3380","38,51M","1,73%"
"28.03.2023","3,3235","3,3355","3,3640","3,3005","47,10M","1,02%"
"27.03.2023","3,2900","3,2930","3,3410","3,2515","75,14M","2,17%"
"24.03.2023","3,2200","3,3000","3,3125","3,1205","91,83M","-3,00%"
"23.03.2023","3,3195","3,3460","3,3900","3,3100","39,06M","-1,89%"
"22.03.2023","3,3835","3,3955","3,5035","3,3760","91,68M","0,22%"
"21.03.2023","3,3760","3,3120","3,4085","3,2975","67,98M","4,67%"
"20.03.2023","3,2255","3,1025","3,2620","2,9420","118,63M","2,77%"
"17.03.2023","3,1385","3,3165","3,3855","3,1045","178,48M","-4,65%"
"16.03.2023","3,2915","3,3180","3,3745","3,1970","117,30M","2,60%"
"15.03.2023","3,2080","3,4665","3,4665","3,1520","115,25M","-6,89%"
"14.03.2023","3,4455","3,3260","3,4770","3,2925","80,63M","3,02%"
"13.03.2023","3,3445","3,5910","3,6010","3,2845","118,85M","-7,35%"
"10.03.2023","3,6100","3,6000","3,6500","3,5080","93,42M","-4,21%"
"09.03.2023","3,7685","3,8055","3,8180","3,7685","29,44M","-1,32%"
"08.03.2023","3,8190","3,7395","3,8545","3,7100","49,75M","1,42%"
"07.03.2023","3,7655","3,8465","3,8725","3,7655","72,29M","-2,40%"
"06.03.2023","3,8580","3,8155","3,8600","3,7955","35,51M","1,61%"
"03.03.2023","3,7970","3,6950","3,8020","3,6855","42,55M","3,08%"
"02.03.2023","3,6835","3,6700","3,6930","3,6150","41,32M","-0,18%"
"01.03.2023","3,6900","3,7345","3,7625","3,6815","42,07M","-0,87%"
"28.02.2023","3,7225","3,5500","3,7485","3,5360","82,76M","4,79%"
"27.02.2023","3,5525","3,5080","3,5800","3,5015","37,75M","2,08%"
"24.02.2023","3,4800","3,5230","3,5680","3,4800","57,46M","-1,14%"
"23.02.2023","3,5200","3,4825","3,5320","3,4720","39,90M","1,53%"
"22.02.2023","3,4670","3,4900","3,5090","3,4450","29,82M","-1,59%"
"21.02.2023","3,5230","3,5050","3,5450","3,4460","38,53M","0,36%"
"20.02.2023","3,5105","3,5330","3,5480","3,5020","14,59M","-0,38%"
"17.02.2023","3,5240","3,5215","3,5620","3,5020","61,55M","-0,84%"
