"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"03.11.2021","19,630","21,140","21,720","19,460","3,62M","-11,78%"
"02.11.2021","22,250","23,120","23,120","22,180","922,94K","-3,22%"
"01.11.2021","22,990","23,520","23,660","22,990","927,36K","-1,88%"
"29.10.2021","23,430","23,590","23,850","22,930","1,20M","-0,51%"
"28.10.2021","23,550","22,110","23,730","22,070","1,80M","6,18%"
"27.10.2021","22,180","22,270","22,400","21,940","571,57K","-0,54%"
"26.10.2021","22,300","21,800","22,540","21,760","722,38K","2,72%"
"25.10.2021","21,710","21,990","22,100","21,300","617,17K","-0,96%"
"22.10.2021","21,920","22,180","22,490","21,920","652,42K","-0,72%"
"21.10.2021","22,080","21,680","22,150","21,510","984,20K","1,61%"
"20.10.2021","21,730","20,590","22,100","20,470","1,68M","5,54%"
"19.10.2021","20,590","20,200","20,870","20,170","1,63M","2,80%"
"18.10.2021","20,030","20,760","20,790","19,965","1,19M","-3,75%"
"15.10.2021","20,810","20,620","20,980","20,500","2,64M","0,82%"
"14.10.2021","20,640","21,050","21,260","20,640","1,17M","-1,95%"
"13.10.2021","21,050","20,460","21,290","20,280","2,24M","2,93%"
"12.10.2021","20,450","19,515","20,720","19,400","1,80M","3,26%"
"11.10.2021","19,805","19,375","19,980","19,250","1,17M","0,51%"
"08.10.2021","19,705","20,300","20,300","19,570","1,67M","-2,93%"
"07.10.2021","20,300","20,340","20,650","19,995","1,24M","0,84%"
"06.10.2021","20,130","20,500","20,510","19,555","1,61M","-2,57%"
"05.10.2021","20,660","20,490","20,790","20,210","1,21M","0,98%"
"04.10.2021","20,460","21,010","21,380","19,940","1,83M","-2,62%"
"01.10.2021","21,010","21,500","22,020","20,670","1,57M","-4,59%"
"30.09.2021","22,020","22,640","22,690","21,830","1,09M","-1,26%"
"29.09.2021","22,300","22,260","22,570","22,150","894,20K","0,68%"
"28.09.2021","22,150","22,500","22,580","22,010","1,25M","-3,40%"
"27.09.2021","22,930","23,110","23,330","22,890","941,42K","0,48%"
"24.09.2021","22,820","23,080","23,390","22,690","600,91K","-0,70%"
"23.09.2021","22,980","22,830","23,450","22,770","970,98K","2,04%"
"22.09.2021","22,520","22,570","22,700","22,260","605,33K","0,81%"
"21.09.2021","22,340","22,360","22,650","22,020","645,08K","0,40%"
"20.09.2021","22,250","21,830","22,420","21,290","2,20M","0,59%"
"17.09.2021","22,120","22,730","23,120","22,080","1,61M","-1,60%"
"16.09.2021","22,480","22,430","22,900","22,170","1,11M","0,13%"
"15.09.2021","22,450","23,230","23,550","22,420","1,24M","-3,85%"
"14.09.2021","23,350","23,220","23,680","22,970","1,10M","0,56%"
"13.09.2021","23,220","22,730","23,270","22,490","1,76M","1,98%"
"10.09.2021","22,770","23,290","23,330","22,340","1,25M","-1,77%"
