"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"20.04.2023","112,14","111,70","112,52","111,35","966,03K","-0,56%"
"19.04.2023","112,77","113,00","113,58","112,34","1,33M","-0,57%"
"18.04.2023","113,42","114,14","114,14","111,92","1,14M","-0,33%"
"17.04.2023","113,80","112,36","114,10","112,29","1,01M","0,47%"
"14.04.2023","113,27","113,24","114,50","112,06","1,21M","0,70%"
"13.04.2023","112,48","110,88","112,81","109,60","1,19M","1,87%"
"12.04.2023","110,41","114,50","115,27","110,07","1,20M","-2,21%"
"11.04.2023","112,91","111,67","113,85","111,10","1,38M","2,14%"
"10.04.2023","110,54","109,49","110,86","108,84","950,79K","1,21%"
"06.04.2023","109,22","109,49","109,92","108,67","978,78K","-0,34%"
"05.04.2023","109,59","109,69","110,41","108,76","820,31K","-0,91%"
"04.04.2023","110,60","112,83","113,43","110,33","1,10M","-1,56%"
"03.04.2023","112,35","112,31","112,95","111,58","1,78M","-0,49%"
"31.03.2023","112,90","111,41","113,06","111,00","1,17M","2,29%"
"30.03.2023","110,37","112,00","112,37","110,05","836,21K","-0,25%"
"29.03.2023","110,65","109,99","110,79","109,39","1,02M","2,34%"
"28.03.2023","108,12","108,39","109,54","107,50","1,50M","-0,41%"
"27.03.2023","108,56","110,71","110,80","108,18","1,42M","-0,99%"
"24.03.2023","109,65","108,15","109,86","106,50","1,28M","0,73%"
"23.03.2023","108,85","108,80","111,51","107,95","1,28M","0,67%"
"22.03.2023","108,13","110,30","111,83","107,73","2,23M","-2,13%"
"21.03.2023","110,48","108,86","111,04","108,76","2,48M","2,71%"
"20.03.2023","107,57","108,21","108,90","106,33","2,81M","-0,55%"
"17.03.2023","108,17","108,60","109,00","106,53","7,69M","0,02%"
"16.03.2023","108,15","105,87","110,07","105,24","2,39M","1,40%"
"15.03.2023","106,66","103,52","108,72","102,56","2,81M","0,08%"
"14.03.2023","106,57","109,07","109,20","104,11","2,76M","-0,07%"
"13.03.2023","106,64","104,00","109,00","102,25","4,17M","1,53%"
"10.03.2023","105,03","110,01","110,05","104,46","2,99M","-5,65%"
"09.03.2023","111,32","112,82","115,55","111,00","1,68M","-1,18%"
"08.03.2023","112,65","111,74","113,06","111,24","1,01M","1,24%"
"07.03.2023","111,27","114,64","114,93","110,95","1,64M","-2,90%"
"06.03.2023","114,59","114,51","115,40","113,25","1,73M","0,97%"
"03.03.2023","113,49","112,20","114,01","111,68","1,08M","2,10%"
"02.03.2023","111,16","109,83","111,40","108,89","1,05M","0,03%"
"01.03.2023","111,13","111,77","112,02","109,97","1,33M","-1,02%"
"28.02.2023","112,28","111,59","113,17","111,25","1,50M","0,65%"
"27.02.2023","111,55","112,28","112,96","110,81","1,55M","1,26%"
"24.02.2023","110,16","110,39","110,67","108,94","1,80M","-2,22%"
"23.02.2023","112,66","113,07","114,20","111,44","1,53M","0,38%"
"22.02.2023","112,23","113,18","114,51","111,03","1,66M","-0,88%"
"21.02.2023","113,23","116,60","116,75","112,57","1,80M","-4,63%"
"17.02.2023","118,73","118,03","118,92","116,92","1,56M","-0,29%"
"16.02.2023","119,08","119,54","120,70","118,55","1,14M","-2,42%"
"15.02.2023","122,03","120,18","123,06","119,73","927,37K","0,93%"
"14.02.2023","120,90","120,74","122,08","118,18","1,08M","-0,38%"
"13.02.2023","121,36","118,17","121,50","117,11","1,31M","3,18%"
"10.02.2023","117,62","115,50","118,01","114,30","1,76M","0,50%"
"09.02.2023","117,04","121,26","121,73","116,68","1,79M","-2,72%"
"08.02.2023","120,31","122,72","123,99","119,93","1,28M","-2,84%"
"07.02.2023","123,83","122,02","124,74","121,50","1,06M","1,06%"
"06.02.2023","122,53","123,73","124,06","122,12","1,21M","-2,61%"
"03.02.2023","125,82","124,75","128,51","124,05","1,77M","-2,28%"
"02.02.2023","128,75","121,96","132,47","121,96","3,94M","7,26%"
"01.02.2023","120,04","115,35","121,15","114,69","2,12M","3,07%"
"31.01.2023","116,47","113,46","116,57","112,79","2,49M","2,65%"
"30.01.2023","113,46","114,75","115,28","113,17","1,58M","-2,43%"
"27.01.2023","116,29","113,69","117,38","111,86","2,16M","1,49%"
"26.01.2023","114,58","113,99","114,67","111,60","2,59M","-1,77%"
"25.01.2023","116,64","115,15","117,09","112,64","2,18M","-0,72%"
"24.01.2023","117,48","118,37","118,60","116,76","898,25K","-1,00%"
"23.01.2023","118,67","118,50","119,75","117,37","1,34M","0,73%"
"20.01.2023","117,81","114,78","118,15","113,40","1,41M","3,34%"
"19.01.2023","114,00","115,55","115,68","113,07","1,04M","-2,73%"
"18.01.2023","117,20","119,50","121,22","116,93","1,75M","-1,21%"
"17.01.2023","118,64","117,96","119,10","116,76","1,33M","0,11%"
"13.01.2023","118,51","117,85","119,00","116,80","861,00K","-0,89%"
"12.01.2023","119,57","120,69","120,69","116,83","1,40M","-0,58%"
"11.01.2023","120,27","118,59","120,58","117,85","1,96M","2,62%"
"10.01.2023","117,20","115,76","117,37","114,20","1,17M","2,05%"
"09.01.2023","114,85","112,68","116,95","112,13","1,74M","2,28%"
"06.01.2023","112,29","109,18","113,18","108,13","1,19M","3,77%"
"05.01.2023","108,21","110,00","111,08","107,19","1,79M","-2,83%"
"04.01.2023","111,36","110,68","112,81","108,94","1,46M","2,02%"
"03.01.2023","109,15","110,72","112,25","108,34","2,77M","0,08%"
"30.12.2022","109,06","109,60","110,55","107,61","1,58M","-2,04%"
"29.12.2022","111,33","109,72","111,63","109,15","1,07M","3,01%"
"28.12.2022","108,08","110,53","111,64","107,94","1,28M","-2,39%"
"27.12.2022","110,73","111,13","112,14","110,36","1,02M","-0,35%"
"23.12.2022","111,12","110,29","111,34","109,29","663,55K","0,76%"
"22.12.2022","110,28","111,00","111,67","107,65","1,57M","-2,45%"
"21.12.2022","113,05","110,79","113,10","110,50","1,33M","3,42%"
"20.12.2022","109,31","108,18","109,82","108,14","2,05M","-0,20%"
"19.12.2022","109,53","109,81","110,51","108,43","2,37M","-0,90%"
"16.12.2022","110,52","111,25","112,22","108,82","4,83M","-1,29%"
"15.12.2022","111,96","114,33","115,29","110,94","3,61M","-5,58%"
"14.12.2022","118,58","122,20","123,69","117,70","3,18M","-3,96%"
"13.12.2022","123,47","127,97","128,31","121,66","2,29M","2,05%"
"12.12.2022","120,99","119,29","121,34","118,38","1,67M","0,97%"
"09.12.2022","119,83","121,39","122,05","119,52","1,48M","-1,99%"
"08.12.2022","122,26","121,52","122,86","120,86","832,45K","0,83%"
"07.12.2022","121,25","120,21","122,65","120,21","1,69M","-0,07%"
"06.12.2022","121,33","123,21","123,50","120,68","1,04M","-1,86%"
"05.12.2022","123,63","125,90","125,94","122,28","1,47M","-1,89%"
"02.12.2022","126,01","125,09","126,23","122,96","1,82M","-0,85%"
"01.12.2022","127,09","125,88","127,51","124,36","1,57M","1,75%"
"30.11.2022","124,91","120,51","125,15","118,59","2,74M","3,66%"
"29.11.2022","120,50","121,05","122,45","119,33","1,68M","-0,52%"
"28.11.2022","121,13","123,80","124,93","120,76","1,31M","-3,13%"
"25.11.2022","125,05","124,00","125,34","122,75","707,86K","0,52%"
