"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"03.11.2021","1.017,00","1.007,60","1.029,00","993,30","72,03K","1,70%"
"02.11.2021","1.000,00","1.018,20","1.041,20","970,50","124,85K","-1,07%"
"01.11.2021","1.010,80","984,50","1.013,80","966,50","74,13K","7,09%"
"29.10.2021","943,90","923,60","947,20","920,00","39,55K","3,17%"
"28.10.2021","914,90","909,90","928,40","905,20","43,33K","0,99%"
"27.10.2021","905,90","885,70","923,00","870,20","57,47K","1,49%"
"26.10.2021","892,60","901,70","944,00","869,20","120,81K","7,74%"
"25.10.2021","828,50","787,50","843,00","784,30","81,90K","7,04%"
"22.10.2021","774,00","766,00","781,00","765,20","19,23K","1,39%"
"21.10.2021","763,40","734,40","772,50","730,70","33,31K","2,54%"
"20.10.2021","744,50","738,80","746,00","737,10","16,49K","-0,36%"
"19.10.2021","747,20","751,60","754,90","739,40","26,85K","0,78%"
"18.10.2021","741,40","725,20","744,50","725,20","40,50K","3,03%"
"15.10.2021","719,60","708,00","720,00","705,90","17,85K","2,09%"
"14.10.2021","704,90","703,90","706,00","701,70","19,01K","0,93%"
"13.10.2021","698,40","699,40","704,20","697,00","22,06K","0,00%"
"12.10.2021","698,40","682,70","701,50","680,20","40,37K","2,03%"
"11.10.2021","684,50","677,50","691,70","674,40","22,63K","0,88%"
"08.10.2021","678,50","689,50","690,20","676,40","21,48K","-0,62%"
"07.10.2021","682,70","680,60","685,00","677,90","15,84K","0,87%"
"06.10.2021","676,80","671,00","681,00","662,90","36,67K","0,04%"
"05.10.2021","676,50","678,50","687,20","675,00","19,29K","0,10%"
"04.10.2021","675,80","675,20","693,00","672,50","57,46K","0,75%"
"01.10.2021","670,80","666,40","674,20","658,80","31,45K","-0,87%"
"30.09.2021","676,70","678,20","681,00","667,00","29,09K","0,68%"
"29.09.2021","672,10","670,60","682,70","668,10","19,93K","0,67%"
"28.09.2021","667,60","672,00","681,10","663,70","26,40K","-1,17%"
"27.09.2021","675,50","660,40","675,80","656,90","23,05K","3,94%"
"24.09.2021","649,90","641,10","653,60","634,50","17,02K","1,56%"
"23.09.2021","639,90","643,00","648,50","639,10","14,94K","0,22%"
"22.09.2021","638,50","633,10","638,50","630,40","10,38K","0,54%"
"21.09.2021","635,10","627,90","635,70","623,70","21,62K","2,40%"
"20.09.2021","620,20","641,00","643,00","618,30","30,65K","-3,56%"
"17.09.2021","643,10","643,20","647,00","639,00","11,78K","0,89%"
"16.09.2021","637,40","634,20","642,80","634,20","10,38K","1,16%"
"15.09.2021","630,10","631,00","633,00","625,00","7,70K","-0,27%"
"14.09.2021","631,80","626,60","638,00","623,30","10,13K","3,24%"
"13.09.2021","612,00","626,00","632,00","600,70","20,83K","-4,09%"
"10.09.2021","638,10","639,40","644,50","636,80","7,52K","-0,28%"
"09.09.2021","639,90","636,10","644,20","631,60","7,64K","1,28%"
"08.09.2021","631,80","638,50","646,20","629,00","18,31K","-0,41%"
"07.09.2021","634,40","624,40","641,10","618,70","14,93K","1,63%"
"06.09.2021","624,20","622,00","624,40","617,40","5,42K","1,96%"
"03.09.2021","612,20","621,10","622,90","611,40","31,13K","-1,89%"
"02.09.2021","624,00","618,40","624,00","612,50","9,62K","0,29%"
"01.09.2021","622,20","623,10","626,80","618,00","14,64K","-0,26%"
"31.08.2021","623,80","619,80","627,00","614,30","9,34K","1,61%"
"30.08.2021","613,90","602,40","615,00","602,40","9,43K","1,91%"
"27.08.2021","602,40","598,30","605,00","597,40","7,15K","0,72%"
"26.08.2021","598,10","604,20","608,00","597,00","4,53K","-1,08%"
"25.08.2021","604,60","602,10","608,50","600,80","5,69K","0,57%"
"24.08.2021","601,20","603,50","609,20","598,50","8,32K","-0,03%"
"23.08.2021","601,40","586,00","601,70","580,10","9,60K","3,53%"
"20.08.2021","580,90","579,80","592,20","574,10","20,48K","0,07%"
"19.08.2021","580,50","584,30","586,00","574,00","22,09K","-1,34%"
"18.08.2021","588,40","571,30","592,30","569,00","17,10K","4,38%"
"17.08.2021","563,70","580,40","584,30","562,90","19,46K","-2,93%"
"16.08.2021","580,70","607,90","609,50","575,50","20,96K","-4,55%"
"13.08.2021","608,40","611,80","620,00","606,50","14,57K","0,33%"
"12.08.2021","606,40","601,60","606,40","596,50","11,79K","0,68%"
"11.08.2021","602,30","603,90","609,00","600,20","10,46K","-0,50%"
"10.08.2021","605,30","608,40","610,00","599,30","21,20K","-0,46%"
"09.08.2021","608,10","600,60","611,60","599,20","36,02K","1,67%"
"06.08.2021","598,10","604,90","607,70","593,40","9,45K","-1,30%"
"05.08.2021","606,00","600,00","608,40","599,50","12,33K","-0,25%"
"04.08.2021","607,50","598,70","612,00","594,00","14,68K","2,34%"
"03.08.2021","593,60","605,00","608,50","591,60","29,51K","-1,92%"
