"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"20.04.2023","97,000","97,000","97,000","95,300","34,90K","0,41%"
"19.04.2023","96,600","97,400","97,700","96,200","27,19K","-1,23%"
"18.04.2023","97,800","98,600","99,200","97,400","18,34K","-0,61%"
"17.04.2023","98,400","97,400","99,000","96,800","20,33K","1,44%"
"14.04.2023","97,000","98,400","98,800","96,400","29,32K","-1,22%"
"13.04.2023","98,200","100,200","100,200","97,400","39,75K","-1,21%"
"12.04.2023","99,400","100,600","101,600","99,200","22,85K","-0,60%"
"11.04.2023","100,000","101,200","101,600","99,000","31,02K","-0,79%"
"06.04.2023","100,800","102,800","102,800","98,100","33,95K","-1,56%"
"05.04.2023","102,400","101,000","102,800","99,600","37,87K","0,99%"
"04.04.2023","101,400","100,800","102,000","100,200","17,72K","1,20%"
"03.04.2023","100,200","100,800","100,800","99,200","49,59K","-0,60%"
"31.03.2023","100,800","100,000","101,200","99,200","38,13K","0,80%"
"30.03.2023","100,000","99,000","100,000","98,200","55,70K","1,01%"
"29.03.2023","99,000","97,900","99,000","97,500","14,37K","1,12%"
"28.03.2023","97,900","98,700","98,700","97,000","23,14K","0,41%"
"27.03.2023","97,500","98,600","98,700","97,000","20,13K","0,52%"
"24.03.2023","97,000","98,200","98,300","96,400","36,17K","-1,42%"
"23.03.2023","98,400","96,700","99,000","96,400","48,84K","1,55%"
"22.03.2023","96,900","96,300","96,900","95,100","24,42K","0,94%"
"21.03.2023","96,000","95,500","96,300","95,000","38,28K","0,63%"
"20.03.2023","95,400","93,700","95,800","92,000","44,63K","1,27%"
"17.03.2023","94,200","95,100","96,300","93,200","247,00K","-0,95%"
"16.03.2023","95,100","94,000","96,900","93,700","58,49K","1,17%"
"15.03.2023","94,000","96,900","96,900","93,100","27,29K","-1,78%"
"14.03.2023","95,700","93,100","96,700","93,000","27,52K","3,57%"
"13.03.2023","92,400","95,100","95,300","91,800","33,20K","-2,74%"
"10.03.2023","95,000","94,200","95,200","93,900","54,30K","-0,84%"
"09.03.2023","95,800","99,200","99,900","95,300","21,43K","-2,54%"
"08.03.2023","98,300","98,500","98,500","96,100","21,31K","1,13%"
"07.03.2023","97,200","97,900","100,400","97,000","23,83K","-0,41%"
"06.03.2023","97,600","98,000","99,000","96,800","24,11K","-0,10%"
"03.03.2023","97,700","98,800","98,800","97,600","28,42K","0,62%"
"02.03.2023","97,100","94,400","98,600","93,700","46,07K","3,19%"
"01.03.2023","94,100","99,900","105,000","89,700","105,22K","-6,09%"
"28.02.2023","100,200","99,700","101,600","99,300","56,51K","0,50%"
"27.02.2023","99,700","98,000","99,700","98,000","29,95K","1,73%"
"24.02.2023","98,000","98,000","99,000","97,500","36,12K","0,00%"
"23.02.2023","98,000","96,900","98,000","96,300","22,08K","1,34%"
"22.02.2023","96,700","96,000","96,700","94,400","27,09K","1,47%"
"21.02.2023","95,300","95,000","96,000","94,300","30,88K","0,32%"
"20.02.2023","95,000","97,000","97,500","94,400","30,30K","-2,06%"
"17.02.2023","97,000","96,100","97,100","95,400","31,20K","0,52%"
"16.02.2023","96,500","95,800","96,900","95,600","63,95K","1,26%"
"15.02.2023","95,300","95,100","95,300","94,000","21,47K","0,42%"
"14.02.2023","94,900","94,100","94,900","93,100","22,55K","1,17%"
"13.02.2023","93,800","93,200","94,100","92,000","38,56K","0,32%"
"10.02.2023","93,500","95,000","95,700","93,300","21,40K","-1,99%"
"09.02.2023","95,400","95,700","96,400","94,600","31,15K","0,21%"
"08.02.2023","95,200","95,900","95,900","94,300","26,04K","-0,42%"
"07.02.2023","95,600","95,600","95,700","94,800","22,99K","0,00%"
"06.02.2023","95,600","96,000","96,200","93,800","25,11K","-0,93%"
"03.02.2023","96,500","95,600","97,000","95,200","35,60K","1,05%"
"02.02.2023","95,500","95,000","96,300","94,700","28,76K","0,74%"
"01.02.2023","94,800","92,800","94,800","92,800","37,78K","2,38%"
"31.01.2023","92,600","91,900","92,700","91,200","39,68K","0,54%"
"30.01.2023","92,100","91,700","92,400","91,200","14,02K","0,33%"
"27.01.2023","91,800","92,600","92,900","90,700","30,78K","-0,97%"
"26.01.2023","92,700","91,000","93,000","90,400","54,70K","1,87%"
"25.01.2023","91,000","90,000","91,400","89,400","52,24K","1,45%"
"24.01.2023","89,700","89,600","90,200","88,000","28,05K","0,22%"
"23.01.2023","89,500","89,500","90,200","88,500","30,88K","0,56%"
"20.01.2023","89,000","88,400","89,500","88,400","31,61K","1,14%"
"19.01.2023","88,000","88,500","88,600","87,100","35,43K","-0,34%"
"18.01.2023","88,300","87,100","88,700","86,700","46,55K","0,34%"
"17.01.2023","88,000","86,700","88,400","86,600","57,65K","1,15%"
"16.01.2023","87,000","87,000","87,100","86,400","22,80K","0,12%"
"13.01.2023","86,900","88,000","88,900","86,000","22,17K","-1,25%"
"12.01.2023","88,000","87,000","88,500","85,700","24,63K","1,15%"
"11.01.2023","87,000","88,400","89,300","87,000","31,84K","-1,58%"
"10.01.2023","88,400","86,300","88,400","86,100","38,44K","0,57%"
"09.01.2023","87,900","85,500","88,300","85,500","54,16K","2,09%"
"06.01.2023","86,100","84,900","86,100","84,000","19,99K","2,14%"
"05.01.2023","84,300","84,000","84,300","82,500","18,89K","-0,35%"
"04.01.2023","84,600","81,600","84,600","81,200","26,91K","4,06%"
"03.01.2023","81,300","81,300","82,400","81,000","19,70K","-0,37%"
"02.01.2023","81,600","81,000","81,700","80,500","10,83K","1,49%"
"30.12.2022","80,400","79,900","81,500","79,800","21,09K","0,12%"
"29.12.2022","80,300","79,900","80,900","79,600","44,00K","0,50%"
"28.12.2022","79,900","79,000","80,100","78,800","17,44K","0,76%"
"27.12.2022","79,300","79,900","80,100","78,800","13,80K","-0,50%"
"23.12.2022","79,700","80,400","80,400","77,600","15,20K","-0,38%"
"22.12.2022","80,000","81,100","81,900","79,600","18,80K","-1,23%"
"21.12.2022","81,000","79,000","81,100","78,800","15,16K","2,14%"
"20.12.2022","79,300","78,800","79,700","78,500","13,62K","-0,63%"
"19.12.2022","79,800","78,600","80,300","78,600","16,41K","1,66%"
"16.12.2022","78,500","79,000","79,100","77,700","29,21K","-1,13%"
"15.12.2022","79,400","81,000","81,500","78,800","51,28K","-2,46%"
"14.12.2022","81,400","80,500","81,400","79,700","22,27K","0,62%"
"13.12.2022","80,900","81,100","82,500","80,600","34,61K","-0,37%"
"12.12.2022","81,200","81,300","81,600","79,800","35,24K","0,12%"
"09.12.2022","81,100","79,200","81,400","78,700","31,11K","2,27%"
"08.12.2022","79,300","78,600","79,700","77,800","30,57K","0,89%"
"07.12.2022","78,600","77,600","78,900","77,100","41,53K","1,16%"
"06.12.2022","77,700","77,600","78,000","76,700","17,14K","0,52%"
"05.12.2022","77,300","76,900","77,400","76,100","27,14K","0,52%"
"02.12.2022","76,900","74,900","76,900","74,600","41,54K","2,08%"
"01.12.2022","75,333","73,810","75,810","72,381","41,64K","-0,63%"
"30.11.2022","75,810","75,524","76,000","74,667","561,62K","0,38%"
"29.11.2022","75,524","76,000","76,000","75,048","27,86K","0,13%"
"28.11.2022","75,429","76,190","76,571","74,857","15,92K","-1,98%"
"25.11.2022","76,952","76,667","77,143","75,429","13,71K","0,87%"
"24.11.2022","76,286","77,048","77,333","75,714","29,70K","0,00%"
"23.11.2022","76,286","74,857","76,762","74,857","33,08K","-0,25%"
"22.11.2022","76,476","76,000","76,476","75,048","28,02K","1,26%"
"21.11.2022","75,524","73,810","75,905","73,810","30,12K","0,89%"
"18.11.2022","74,857","74,762","74,857","73,524","19,40K","1,81%"
"17.11.2022","73,524","76,190","76,190","73,048","39,81K","-1,03%"
"16.11.2022","74,286","76,190","76,190","73,810","21,15K","-1,76%"
"15.11.2022","75,619","76,000","76,667","75,143","25,94K","0,13%"
"14.11.2022","75,524","76,476","77,333","75,333","29,04K","-1,73%"
"11.11.2022","76,857","76,095","78,571","75,905","66,53K","1,13%"
"10.11.2022","76,000","74,381","76,000","74,286","29,54K","0,76%"
"09.11.2022","75,429","74,667","75,714","73,810","23,57K","1,02%"
"08.11.2022","74,667","74,000","74,952","74,000","19,47K","-0,63%"
"07.11.2022","75,143","72,762","75,238","72,667","30,66K","2,60%"
"04.11.2022","73,238","71,524","74,000","71,524","25,40K","1,18%"
"03.11.2022","72,381","71,333","72,571","70,571","18,43K","-0,13%"
"02.11.2022","72,476","71,905","73,048","71,905","25,91K","0,40%"
"01.11.2022","72,190","74,000","74,190","71,429","21,29K","-1,94%"
"31.10.2022","73,619","73,524","74,095","73,238","22,75K","-0,26%"
"28.10.2022","73,810","72,476","74,000","72,095","35,14K","0,39%"
"27.10.2022","73,524","73,810","73,810","72,095","40,88K","-0,64%"
"26.10.2022","74,000","73,619","75,524","72,952","44,52K","0,39%"
"25.10.2022","73,714","70,381","73,905","69,619","56,79K","4,74%"
"24.10.2022","70,381","69,524","71,333","67,905","52,85K","2,64%"
"21.10.2022","68,571","63,714","70,381","63,429","165,34K","8,60%"
"20.10.2022","63,143","62,095","63,429","61,714","25,36K","2,00%"
"19.10.2022","61,905","62,381","62,571","61,143","32,70K","0,00%"
"18.10.2022","61,905","60,190","62,476","60,000","39,43K","4,17%"
"17.10.2022","59,429","58,000","59,905","57,905","20,67K","2,46%"
"14.10.2022","58,000","58,190","58,762","57,619","23,55K","0,33%"
"13.10.2022","57,810","56,476","57,905","55,810","41,26K","2,36%"
"12.10.2022","56,476","56,286","56,762","55,619","25,90K","0,68%"
"11.10.2022","56,095","57,143","57,238","53,619","101,57K","-2,32%"
"10.10.2022","57,429","57,619","57,905","56,952","44,99K","-1,47%"
"07.10.2022","58,286","61,429","61,429","58,095","35,20K","-2,70%"
"06.10.2022","59,905","60,381","60,762","59,524","17,32K","-0,79%"
"05.10.2022","60,381","57,619","60,571","57,619","35,77K","1,60%"
"04.10.2022","59,429","56,952","60,190","56,952","24,50K","3,31%"
"03.10.2022","57,524","55,333","57,714","55,238","24,69K","1,00%"
"30.09.2022","56,952","57,238","57,619","54,667","72,85K","-0,66%"
"29.09.2022","57,333","57,143","57,619","56,095","54,55K","0,33%"
"28.09.2022","57,143","55,619","57,238","54,857","39,90K","2,92%"
"27.09.2022","55,524","57,143","57,333","54,952","27,94K","-1,19%"
"26.09.2022","56,190","55,429","57,143","54,952","62,17K","1,55%"
"23.09.2022","55,333","57,619","58,095","55,143","35,14K","-3,97%"
"22.09.2022","57,619","58,952","59,048","57,619","18,40K","-2,42%"
"21.09.2022","59,048","57,810","59,238","57,714","21,95K","1,64%"
"20.09.2022","58,095","59,905","59,905","57,905","22,46K","-2,71%"
"19.09.2022","59,714","59,048","59,714","58,286","18,77K","0,97%"
"16.09.2022","59,143","60,000","60,095","58,095","625,14K","-1,43%"
"15.09.2022","60,000","59,143","60,667","59,048","28,99K","1,29%"
"14.09.2022","59,238","59,619","60,000","58,571","39,79K","-1,11%"
"13.09.2022","59,905","62,095","62,095","59,619","23,43K","-2,93%"
"12.09.2022","61,714","60,952","61,714","60,476","13,57K","2,53%"
"09.09.2022","60,190","60,952","60,952","59,429","28,18K","0,00%"
"08.09.2022","60,190","60,857","60,857","59,619","13,42K","-0,16%"
"07.09.2022","60,286","60,095","60,381","59,333","13,16K","0,80%"
"06.09.2022","59,810","59,429","60,571","59,429","17,42K","0,64%"
"05.09.2022","59,429","59,714","60,000","58,952","22,73K","-2,04%"
"02.09.2022","60,667","59,333","60,667","59,333","14,22K","2,25%"
"01.09.2022","59,333","59,810","60,190","59,238","21,44K","-1,42%"
"31.08.2022","60,190","61,429","61,429","60,000","14,12K","-0,78%"
"30.08.2022","60,667","61,143","61,333","60,095","19,71K","0,79%"
"29.08.2022","60,190","61,714","61,714","59,429","42,35K","-1,86%"
"26.08.2022","61,333","63,238","63,238","61,048","28,35K","-2,87%"
"25.08.2022","63,143","63,810","63,810","62,667","23,64K","-0,30%"
"24.08.2022","63,333","62,667","64,000","62,667","16,70K","-1,04%"
"23.08.2022","64,000","64,286","64,762","63,429","32,89K","-0,74%"
"22.08.2022","64,476","63,333","66,667","62,857","52,56K","3,68%"
"19.08.2022","62,190","62,476","63,333","62,190","12,33K","-2,10%"
"18.08.2022","63,524","62,857","63,810","62,857","11,92K","0,91%"
"17.08.2022","62,952","65,333","65,333","62,952","12,64K","-2,51%"
"16.08.2022","64,571","63,905","64,667","63,714","14,25K","1,65%"
"15.08.2022","63,524","63,238","64,000","63,238","14,43K","0,45%"
"12.08.2022","63,238","62,952","63,905","62,952","16,02K","0,45%"
"11.08.2022","62,952","62,857","63,714","62,857","13,23K","0,30%"
"10.08.2022","62,762","60,667","63,048","60,476","27,17K","3,45%"
"09.08.2022","60,667","60,762","61,048","59,524","18,45K","0,31%"
"08.08.2022","60,476","60,286","60,667","59,905","20,47K","1,28%"
"05.08.2022","59,714","61,333","61,429","59,619","30,59K","-2,79%"
"04.08.2022","61,429","60,476","61,810","60,190","29,29K","0,94%"
"03.08.2022","60,857","60,381","61,238","60,286","29,94K","0,47%"
"02.08.2022","60,571","60,857","61,333","60,571","15,98K","-1,40%"
"01.08.2022","61,429","61,905","62,095","61,048","24,23K","-0,77%"
"29.07.2022","61,905","61,429","62,286","61,238","24,86K","1,25%"
"28.07.2022","61,143","60,571","61,810","60,571","23,11K","1,10%"
"27.07.2022","60,476","60,476","60,952","60,286","25,27K","0,00%"
"26.07.2022","60,476","60,952","61,238","60,095","21,94K","-0,78%"
"25.07.2022","60,952","61,048","61,905","60,667","26,56K","-1,23%"
"22.07.2022","61,714","62,095","62,381","60,952","34,74K","0,31%"
"21.07.2022","61,524","63,810","66,667","60,571","71,77K","-3,00%"
"20.07.2022","63,429","67,238","68,286","63,238","43,15K","-3,76%"
"19.07.2022","65,905","63,810","66,095","63,429","25,56K","1,62%"
"18.07.2022","64,857","63,048","65,524","63,048","14,90K","1,79%"
"15.07.2022","63,714","62,857","64,095","62,095","37,39K","2,45%"
"14.07.2022","62,190","64,667","64,857","62,000","25,75K","-3,69%"
"13.07.2022","64,571","65,619","66,190","64,190","13,63K","-1,88%"
"12.07.2022","65,810","65,714","66,190","65,238","12,66K","0,14%"
"11.07.2022","65,714","66,000","66,476","65,238","15,88K","-1,71%"
"08.07.2022","66,857","66,667","67,143","65,619","16,65K","0,86%"
"07.07.2022","66,286","66,095","67,048","66,000","20,95K","1,02%"
"06.07.2022","65,619","65,143","66,571","65,143","19,50K","0,15%"
"05.07.2022","65,524","66,667","66,667","64,952","19,65K","-0,58%"
"04.07.2022","65,905","66,571","66,762","65,524","15,39K","0,44%"
"01.07.2022","65,619","65,905","66,286","64,857","17,65K","-0,43%"
"30.06.2022","65,905","67,905","67,905","64,952","16,20K","-2,67%"
"29.06.2022","67,714","68,571","68,571","66,476","16,34K","-1,66%"
"28.06.2022","68,857","68,571","70,000","68,476","9,41K","-0,82%"
"27.06.2022","69,429","69,333","69,905","68,667","23,12K","0,28%"
"24.06.2022","69,238","67,238","69,333","66,952","19,28K","3,12%"
"23.06.2022","67,143","67,524","68,286","66,000","26,46K","0,43%"
"22.06.2022","66,857","67,524","67,810","65,810","23,22K","-0,99%"
"21.06.2022","67,524","66,857","68,381","66,762","31,01K","0,28%"
"20.06.2022","67,333","68,857","68,857","66,476","31,17K","1,14%"
"17.06.2022","66,571","65,714","67,143","65,524","48,43K","1,01%"
"16.06.2022","65,905","66,667","67,048","65,810","37,55K","-1,70%"
"15.06.2022","67,048","64,952","67,619","64,952","60,62K","2,77%"
"14.06.2022","65,238","65,524","66,000","64,476","52,52K","-0,44%"
"13.06.2022","65,524","68,190","68,190","65,143","51,73K","-3,91%"
"10.06.2022","68,190","71,429","71,429","67,714","50,39K","-3,89%"
"09.06.2022","70,952","72,571","72,571","70,381","26,27K","-2,10%"
"08.06.2022","72,476","71,238","73,143","71,238","36,75K","1,33%"
"07.06.2022","71,524","73,238","73,238","70,571","14,82K","0,54%"
"06.06.2022","71,143","70,667","71,905","70,667","14,04K","0,81%"
"03.06.2022","70,571","71,619","71,810","70,571","12,93K","-1,98%"
"02.06.2022","72,000","72,476","74,000","71,619","42,34K","0,27%"
"01.06.2022","71,810","70,571","72,381","70,190","33,07K","1,48%"
"31.05.2022","70,762","70,571","71,429","69,524","36,41K","0,27%"
"30.05.2022","70,571","70,476","71,143","70,000","22,83K","0,54%"
"27.05.2022","70,190","68,476","70,190","68,476","18,68K","1,80%"
"26.05.2022","68,952","69,333","69,333","68,000","45,26K","0,84%"
"25.05.2022","68,381","67,619","69,333","66,952","28,38K","1,70%"
"24.05.2022","67,238","68,190","68,190","67,048","16,98K","-1,12%"
"23.05.2022","68,000","68,095","68,667","67,905","24,06K","0,28%"
"20.05.2022","67,810","67,238","68,190","66,952","26,94K","1,71%"
"19.05.2022","66,667","65,238","67,143","64,952","23,65K","1,60%"
