"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"25.07.2022","57,250","56,850","57,550","56,650","-","-0,09%"
"22.07.2022","57,300","56,550","57,550","56,550","43,29K","0,79%"
"21.07.2022","56,850","56,100","57,100","56,100","38,93K","1,25%"
"20.07.2022","56,150","55,750","56,500","55,750","133,87K","0,00%"
"19.07.2022","56,150","56,000","56,400","55,600","43,01K","0,09%"
"18.07.2022","56,100","55,950","56,100","55,500","31,90K","1,08%"
"15.07.2022","55,500","55,200","55,950","55,150","41,13K","-0,09%"
"14.07.2022","55,550","54,900","55,850","54,600","46,71K","2,59%"
"13.07.2022","54,150","54,400","54,550","54,000","41,90K","-0,55%"
"12.07.2022","54,450","53,400","54,650","53,400","35,36K","0,83%"
"11.07.2022","54,000","53,400","54,100","53,400","39,94K","-0,18%"
"08.07.2022","54,100","54,500","54,500","53,350","102,73K","0,19%"
"07.07.2022","54,000","53,400","54,150","53,400","45,26K","1,50%"
"06.07.2022","53,200","51,900","53,400","51,900","43,51K","1,14%"
"05.07.2022","52,600","52,800","52,850","52,250","23,40K","-0,19%"
"04.07.2022","52,700","51,350","52,750","51,350","14,88K","1,05%"
"01.07.2022","52,150","51,500","52,400","51,300","17,67K","-0,67%"
"30.06.2022","52,500","52,000","52,700","51,750","48,98K","-0,28%"
"29.06.2022","52,650","52,950","52,950","52,150","30,68K","0,00%"
"28.06.2022","52,650","52,550","53,100","52,550","46,29K","-0,38%"
"27.06.2022","52,850","52,900","52,900","52,350","26,74K","0,86%"
"24.06.2022","52,400","52,200","52,900","51,950","41,24K","1,35%"
"23.06.2022","51,700","51,700","52,100","51,100","75,78K","-0,29%"
"22.06.2022","51,850","51,700","52,350","51,400","44,98K","-0,38%"
"21.06.2022","52,050","52,200","52,400","51,900","164,59K","-0,19%"
"20.06.2022","52,150","52,250","52,500","51,950","22,85K","-0,10%"
"17.06.2022","52,200","52,550","52,550","51,700","89,15K","-0,38%"
"16.06.2022","52,400","51,650","52,550","51,250","64,76K","1,26%"
"15.06.2022","51,750","51,650","52,000","50,850","92,37K","3,29%"
"14.06.2022","50,100","50,100","50,350","49,980","157,13K","0,20%"
"13.06.2022","50,000","50,000","50,350","49,600","62,21K","-0,10%"
"10.06.2022","50,050","50,000","50,350","49,940","50,21K","-0,30%"
"09.06.2022","50,200","50,350","50,450","50,000","38,66K","-0,59%"
"08.06.2022","50,500","51,200","51,200","50,300","108,78K","-0,30%"
"07.06.2022","50,650","50,000","50,800","50,000","30,75K","1,00%"
"06.06.2022","50,150","50,350","50,550","50,150","21,45K","-0,40%"
"03.06.2022","50,350","50,850","50,850","50,000","60,70K","-0,49%"
