"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"25.07.2022","22,520","22,180","22,560","22,170","-","1,35%"
"22.07.2022","22,220","21,760","22,220","21,760","350,78K","2,02%"
"21.07.2022","21,780","21,700","22,000","21,540","868,85K","0,00%"
"20.07.2022","21,780","22,170","22,230","21,720","1,14M","-1,09%"
"19.07.2022","22,020","21,660","22,240","21,650","1,27M","1,15%"
"18.07.2022","21,770","21,850","21,880","21,670","384,76K","0,74%"
"15.07.2022","21,610","21,120","21,690","21,120","616,13K","2,56%"
"14.07.2022","21,070","21,240","21,300","20,850","674,62K","-0,99%"
"13.07.2022","21,280","21,500","21,520","21,170","580,57K","-1,85%"
"12.07.2022","21,680","21,370","21,770","21,370","526,04K","0,88%"
"11.07.2022","21,490","21,480","21,620","21,380","711,32K","-0,92%"
"08.07.2022","21,690","21,330","21,850","21,200","678,38K","1,78%"
"07.07.2022","21,310","20,770","21,310","20,690","828,96K","2,50%"
"06.07.2022","20,790","21,000","21,140","20,770","895,63K","-0,53%"
"05.07.2022","20,900","21,810","21,840","20,860","1,16M","-4,00%"
"04.07.2022","21,770","21,790","21,840","21,580","538,59K","0,83%"
"01.07.2022","21,590","21,720","21,780","21,460","957,48K","-0,44%"
"30.06.2022","21,684","21,984","22,031","21,319","1,17M","-1,57%"
"29.06.2022","22,031","22,078","22,322","21,994","665,17K","-1,34%"
"28.06.2022","22,331","22,153","22,519","22,153","592,84K","1,49%"
"27.06.2022","22,003","22,341","22,491","21,778","872,89K","-1,39%"
"24.06.2022","22,313","22,116","22,378","21,975","540,68K","1,23%"
"23.06.2022","22,041","22,116","22,284","21,862","556,91K","-0,89%"
"22.06.2022","22,237","22,575","22,631","21,881","935,14K","-2,10%"
"21.06.2022","22,716","23,156","23,194","22,716","701,08K","-1,06%"
"20.06.2022","22,959","23,175","23,203","22,744","538,89K","0,00%"
"17.06.2022","22,959","22,547","23,278","22,472","2,31M","2,13%"
"16.06.2022","22,481","22,500","22,753","22,434","484,64K","-0,50%"
"15.06.2022","22,594","22,837","23,006","22,528","853,12K","0,33%"
"14.06.2022","22,519","22,875","22,987","22,444","1,11M","-1,36%"
"13.06.2022","22,828","23,362","23,438","22,706","809,43K","-3,83%"
"10.06.2022","23,737","23,906","24,178","23,475","777,72K","-1,25%"
"09.06.2022","24,038","24,891","24,947","23,681","1,56M","-4,36%"
"08.06.2022","25,134","25,125","25,256","24,778","523,19K","-0,33%"
"07.06.2022","25,219","24,994","25,237","24,994","575,58K","0,19%"
