"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"25.07.2022","105,440","106,000","106,080","104,480","7,17K","-0,34%"
"22.07.2022","105,800","104,200","107,100","104,200","6,94K","1,40%"
"21.07.2022","104,340","104,700","106,100","104,000","3,68K","-0,57%"
"20.07.2022","104,940","106,200","106,840","103,680","6,27K","-0,62%"
"19.07.2022","105,600","102,900","107,000","102,900","12,28K","1,32%"
"18.07.2022","104,220","104,900","105,700","103,400","5,64K","0,46%"
"15.07.2022","103,740","99,800","104,000","99,760","4,89K","4,22%"
"14.07.2022","99,540","100,720","101,800","98,850","3,75K","-1,60%"
"13.07.2022","101,160","101,180","101,600","98,000","6,80K","0,72%"
"12.07.2022","100,440","95,710","100,940","95,310","9,33K","4,05%"
"11.07.2022","96,530","94,790","97,500","93,960","5,99K","0,70%"
"08.07.2022","95,860","94,840","96,110","94,400","3,45K","1,42%"
"07.07.2022","94,520","93,200","95,000","93,200","6,05K","2,36%"
"06.07.2022","92,340","90,600","93,150","90,600","5,86K","2,86%"
"05.07.2022","89,770","93,880","93,880","88,910","8,63K","-4,48%"
"04.07.2022","93,980","96,600","96,600","93,590","12,39K","-1,36%"
"01.07.2022","95,280","94,000","96,800","92,020","5,24K","3,13%"
"30.06.2022","92,390","91,000","92,520","90,250","9,56K","0,10%"
"29.06.2022","92,300","96,000","96,000","92,000","5,73K","-2,75%"
"28.06.2022","94,910","94,610","96,500","94,330","4,43K","1,61%"
"27.06.2022","93,410","93,460","94,590","92,880","5,78K","0,72%"
"24.06.2022","92,740","93,600","93,600","91,100","6,33K","1,49%"
"23.06.2022","91,380","96,000","96,000","90,500","9,14K","-2,12%"
"22.06.2022","93,360","94,520","94,520","92,280","8,34K","-3,16%"
"21.06.2022","96,410","99,740","99,740","95,880","3,31K","-0,72%"
"20.06.2022","97,110","97,160","98,000","93,960","7,48K","2,66%"
"17.06.2022","94,590","94,100","96,980","93,500","10,04K","1,28%"
"16.06.2022","93,390","97,400","97,400","93,150","10,11K","-3,31%"
"15.06.2022","96,590","98,230","98,730","96,430","7,37K","0,39%"
"14.06.2022","96,210","98,910","98,910","95,560","11,74K","-1,84%"
"13.06.2022","98,010","100,200","101,540","97,200","17,27K","-4,29%"
"10.06.2022","102,400","109,240","109,240","102,000","14,78K","-2,96%"
"09.06.2022","105,520","109,000","109,000","105,200","12,24K","-2,42%"
"08.06.2022","108,140","108,700","111,540","108,000","2,79K","-2,29%"
"07.06.2022","110,680","110,920","111,240","109,960","3,63K","-0,72%"
"06.06.2022","111,480","109,980","111,900","109,720","3,88K","2,78%"
"03.06.2022","108,460","109,400","109,400","108,000","0,98K","-0,62%"
"02.06.2022","109,140","109,680","110,520","108,480","1,69K","0,68%"
"01.06.2022","108,400","109,700","110,100","108,020","2,36K","-0,77%"
"31.05.2022","109,240","111,180","111,180","109,000","4,57K","-2,92%"
"30.05.2022","112,520","112,900","113,040","111,920","5,47K","0,82%"
"27.05.2022","111,600","109,500","112,200","108,700","14,48K","2,50%"
"26.05.2022","108,880","105,500","108,900","105,420","16,49K","3,64%"
"25.05.2022","105,060","105,700","105,700","102,900","3,83K","1,41%"
"24.05.2022","103,600","108,000","108,000","103,200","11,21K","-3,25%"
"23.05.2022","107,080","107,860","108,960","105,200","5,53K","0,36%"
"20.05.2022","106,700","108,000","109,000","106,500","3,43K","-0,07%"
"19.05.2022","106,780","107,680","107,680","105,200","2,28K","-1,28%"
"18.05.2022","108,160","108,100","109,580","107,000","5,85K","0,69%"
"17.05.2022","107,420","107,920","108,200","107,080","3,30K","1,63%"
"16.05.2022","105,700","104,440","106,200","104,280","1,60K","-0,36%"
"13.05.2022","106,080","105,340","106,200","104,020","3,55K","1,51%"
"12.05.2022","104,500","105,500","105,500","102,800","8,24K","-2,39%"
"11.05.2022","107,060","105,700","108,000","105,620","2,08K","1,69%"
"10.05.2022","105,280","106,560","107,500","104,100","2,90K","0,40%"
"09.05.2022","104,860","106,000","108,120","104,100","3,72K","-2,96%"
"06.05.2022","108,060","108,000","111,020","106,740","6,07K","-0,72%"
"05.05.2022","108,840","107,480","111,200","107,480","22,58K","5,32%"
"04.05.2022","103,340","104,500","107,500","103,000","4,36K","-1,79%"
"03.05.2022","105,220","104,360","106,160","104,360","1,05K","1,00%"
"02.05.2022","104,180","104,840","105,240","103,060","1,64K","-1,33%"
"29.04.2022","105,580","103,760","106,580","103,760","7,84K","3,00%"
"28.04.2022","102,500","105,160","105,160","102,040","3,04K","1,51%"
"27.04.2022","100,980","104,600","104,600","100,700","7,92K","-1,19%"
"26.04.2022","102,200","105,000","105,500","102,100","3,92K","-1,22%"
"25.04.2022","103,460","103,380","105,000","102,600","5,69K","-1,32%"
"22.04.2022","104,840","105,620","107,520","104,740","4,25K","-3,68%"
"21.04.2022","108,840","105,060","109,540","105,060","7,21K","2,68%"
"20.04.2022","106,000","106,000","106,280","105,000","2,51K","1,47%"
"19.04.2022","104,460","104,260","104,860","102,500","4,82K","-1,84%"
"14.04.2022","106,420","103,740","107,000","103,740","4,11K","2,07%"
"13.04.2022","104,260","104,980","105,500","103,800","1,39K","-0,13%"
"12.04.2022","104,400","101,500","105,000","101,500","2,67K","0,08%"
"11.04.2022","104,320","102,560","105,220","101,740","5,22K","1,09%"
