"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"25.07.2022","100,68","100,70","101,13","98,75","13,41M","0,07%"
"22.07.2022","100,61","104,31","104,70","99,68","18,82M","-4,30%"
"21.07.2022","105,13","104,06","106,61","103,68","17,60M","1,13%"
"20.07.2022","103,96","106,24","107,16","102,85","21,78M","-0,75%"
"19.07.2022","104,75","103,97","104,82","101,53","19,51M","1,56%"
"18.07.2022","103,14","105,88","106,96","102,95","20,43M","0,68%"
"15.07.2022","102,44","103,49","103,64","97,84","33,57M","-1,27%"
"14.07.2022","103,76","107,80","108,54","100,71","34,92M","-4,89%"
"13.07.2022","109,10","106,84","110,64","106,75","16,79M","-0,10%"
"12.07.2022","109,21","110,86","111,00","107,06","22,06M","-0,33%"
"11.07.2022","109,57","115,46","115,58","109,33","31,04M","-9,37%"
"08.07.2022","120,90","122,26","125,84","120,70","27,22M","-1,22%"
"07.07.2022","122,39","120,63","125,00","120,63","24,14M","2,75%"
"06.07.2022","119,12","118,93","120,00","115,51","19,76M","-0,84%"
"05.07.2022","120,13","114,51","120,53","112,14","20,17M","3,56%"
"01.07.2022","116,00","113,63","116,63","112,92","16,68M","2,04%"
"30.06.2022","113,68","113,77","114,60","111,38","13,54M","-2,03%"
"29.06.2022","116,03","115,81","117,09","113,71","13,73M","-0,63%"
"28.06.2022","116,76","118,98","120,93","116,51","18,56M","-1,66%"
"27.06.2022","118,73","119,97","121,38","117,88","21,51M","0,94%"
"24.06.2022","117,62","115,30","118,09","114,30","27,03M","4,91%"
"23.06.2022","112,11","109,96","113,09","108,08","33,12M","6,62%"
"22.06.2022","105,15","104,23","107,10","103,08","23,93M","-1,17%"
"21.06.2022","106,39","105,96","107,06","103,87","33,81M","4,06%"
"17.06.2022","102,24","112,54","112,75","101,33","73,02M","0,78%"
"16.06.2022","101,45","102,79","104,91","100,51","21,97M","-6,09%"
"15.06.2022","108,03","106,81","108,63","104,38","23,88M","2,66%"
"14.06.2022","105,23","101,99","106,07","100,83","28,19M","6,81%"
"13.06.2022","98,52","103,61","104,53","97,58","33,29M","-10,31%"
"10.06.2022","109,84","113,66","114,82","108,24","49,90M","-0,05%"
"09.06.2022","109,90","115,00","118,22","109,44","72,48M","-8,13%"
"08.06.2022","119,62","108,26","121,06","107,81","92,34M","14,67%"
"07.06.2022","104,32","99,99","104,46","99,42","35,89M","5,36%"
"06.06.2022","99,01","99,64","102,42","97,92","37,29M","6,22%"
"03.06.2022","93,21","95,15","96,00","93,02","15,86M","-4,40%"
"02.06.2022","97,50","93,67","97,63","93,40","21,66M","4,41%"
"01.06.2022","93,38","95,90","96,93","91,88","23,45M","-2,78%"
"31.05.2022","96,05","98,33","99,32","95,45","33,79M","2,83%"
"27.05.2022","93,41","92,21","94,50","90,37","26,72M","-1,13%"
"26.05.2022","94,48","87,30","95,09","86,73","50,83M","14,79%"
"25.05.2022","82,31","83,72","84,07","81,07","22,86M","-0,19%"
"24.05.2022","82,47","84,99","85,12","81,54","15,11M","-5,46%"
"23.05.2022","87,23","87,06","87,42","84,76","13,67M","0,51%"
"20.05.2022","86,79","88,70","90,17","84,73","21,02M","-1,03%"
"19.05.2022","87,69","86,18","90,09","85,74","20,78M","0,44%"
"18.05.2022","87,31","90,00","91,64","87,00","18,90M","-5,09%"
"17.05.2022","91,99","92,75","94,48","89,54","27,04M","6,37%"
"16.05.2022","86,48","87,70","89,08","86,34","19,57M","-1,72%"
"13.05.2022","87,99","82,10","88,30","82,10","20,08M","8,51%"
"12.05.2022","81,09","80,68","83,12","78,01","23,67M","-0,78%"
"11.05.2022","81,73","85,51","87,52","81,47","24,45M","-3,36%"
"10.05.2022","84,57","88,64","88,64","83,51","23,24M","-0,32%"
"09.05.2022","84,84","86,96","88,60","84,43","23,34M","-5,79%"
"06.05.2022","90,05","93,36","93,86","88,71","18,57M","-4,85%"
"05.05.2022","94,64","97,94","98,47","94,05","18,67M","-6,68%"
"04.05.2022","101,41","97,72","101,57","96,61","17,62M","1,03%"
"03.05.2022","100,38","99,65","102,60","99,46","15,01M","-0,82%"
"02.05.2022","101,21","96,31","101,31","95,22","25,03M","4,24%"
"29.04.2022","97,09","101,53","103,52","96,66","44,93M","6,80%"
"28.04.2022","90,91","88,62","90,98","86,94","17,71M","2,93%"
"27.04.2022","88,32","85,32","89,41","84,78","29,35M","5,16%"
"26.04.2022","83,99","85,87","86,24","83,28","20,97M","-2,16%"
"25.04.2022","85,84","82,70","86,17","81,80","24,38M","-0,75%"
"22.04.2022","86,49","86,50","90,68","86,31","25,13M","0,58%"
"21.04.2022","85,99","89,55","90,01","85,40","25,56M","-3,83%"
"20.04.2022","89,41","93,48","93,70","89,27","20,81M","-4,37%"
"19.04.2022","93,50","92,29","93,95","90,95","23,76M","-1,28%"
"18.04.2022","94,71","93,77","95,28","91,82","19,08M","-0,82%"
"14.04.2022","95,49","97,29","99,27","95,31","20,93M","-4,54%"
"13.04.2022","100,03","99,24","101,35","98,21","17,86M","0,28%"
"12.04.2022","99,75","101,18","102,33","99,39","23,13M","-1,77%"
"11.04.2022","101,55","101,09","103,92","99,16","22,93M","-1,91%"
"08.04.2022","103,53","104,48","106,47","103,33","20,81M","-0,71%"
"07.04.2022","104,27","106,68","107,53","102,61","26,38M","-3,17%"
"06.04.2022","107,68","109,24","109,47","106,12","23,74M","-2,99%"
"05.04.2022","111,00","115,00","115,00","110,23","33,87M","-5,53%"
"04.04.2022","117,50","115,70","118,22","113,38","38,49M","6,62%"
"01.04.2022","110,20","117,62","118,95","109,75","55,87M","1,29%"
"31.03.2022","108,80","115,03","115,09","108,71","30,37M","-6,67%"
"30.03.2022","116,58","115,54","120,10","115,54","28,25M","-0,11%"
"29.03.2022","116,71","118,36","119,60","115,74","27,94M","1,41%"
"28.03.2022","115,09","113,86","116,23","111,92","30,03M","1,86%"
"25.03.2022","112,99","110,53","113,86","109,40","42,40M","-1,88%"
"24.03.2022","115,15","112,86","116,50","110,82","55,26M","-1,78%"
"23.03.2022","117,24","115,70","124,11","112,68","79,00M","1,96%"
"22.03.2022","114,99","114,01","118,24","112,37","87,37M","11,00%"
"21.03.2022","103,59","102,81","105,68","98,70","58,64M","-4,35%"
"18.03.2022","108,30","100,50","111,74","99,60","83,78M","7,90%"
"17.03.2022","100,37","99,14","101,89","95,77","79,90M","-4,39%"
"16.03.2022","104,98","92,00","105,74","87,12","156,75M","36,76%"
"15.03.2022","76,76","75,10","80,14","73,28","85,29M","-1,29%"
"14.03.2022","77,76","80,70","82,45","77,08","69,69M","-10,32%"
"11.03.2022","86,71","93,40","93,88","86,68","39,34M","-6,68%"
"10.03.2022","92,92","95,19","95,70","90,82","37,52M","-7,94%"
"09.03.2022","100,93","100,26","100,97","98,32","18,95M","3,52%"
"08.03.2022","97,50","99,32","100,91","95,57","21,50M","-1,18%"
"07.03.2022","98,66","99,56","103,36","98,60","20,33M","-1,93%"
"04.03.2022","100,60","100,29","104,39","99,33","24,59M","-1,42%"
"03.03.2022","102,05","106,03","106,63","101,07","21,41M","-3,20%"
"02.03.2022","105,42","107,39","107,39","103,24","19,17M","-1,56%"
"01.03.2022","107,09","105,85","111,25","105,85","21,14M","1,81%"
"28.02.2022","105,19","105,97","107,49","103,64","21,54M","-2,55%"
"25.02.2022","107,94","107,89","108,55","104,00","21,43M","-0,91%"
