"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"25.07.2022","67,74","68,96","69,89","66,49","6,22M","-4,35%"
"22.07.2022","70,82","76,20","76,57","69,09","12,01M","-4,27%"
"21.07.2022","73,98","71,00","76,62","70,28","17,30M","-1,71%"
"20.07.2022","75,27","67,08","79,00","67,05","34,03M","14,34%"
"19.07.2022","65,83","60,86","65,98","57,78","19,21M","12,20%"
"18.07.2022","58,67","56,71","63,38","56,69","21,13M","9,07%"
"15.07.2022","53,79","54,35","56,55","51,93","10,71M","0,69%"
"14.07.2022","53,42","52,33","54,71","50,34","9,68M","0,60%"
"13.07.2022","53,10","51,68","54,73","50,40","9,44M","-2,10%"
"12.07.2022","54,24","53,70","56,11","52,62","8,47M","0,67%"
"11.07.2022","53,88","57,53","58,43","53,30","10,65M","-10,63%"
"08.07.2022","60,29","55,61","63,70","54,51","17,95M","4,93%"
"07.07.2022","57,46","52,14","57,65","52,14","12,23M","11,12%"
"06.07.2022","51,71","54,17","56,27","51,40","11,80M","-6,68%"
"05.07.2022","55,41","48,13","55,82","45,95","12,97M","12,99%"
"01.07.2022","49,04","47,99","50,16","47,52","8,56M","4,30%"
"30.06.2022","47,02","48,20","48,40","44,15","12,87M","-5,49%"
"29.06.2022","49,75","50,50","51,46","48,59","9,75M","-2,79%"
"28.06.2022","51,18","56,26","57,25","50,33","10,28M","-8,54%"
"27.06.2022","55,96","59,56","60,45","55,02","15,11M","-10,76%"
"24.06.2022","62,71","60,00","64,09","59,33","24,38M","6,50%"
"23.06.2022","58,88","53,60","59,62","51,83","15,71M","13,43%"
"22.06.2022","51,91","53,87","56,75","51,56","18,75M","-9,71%"
"21.06.2022","57,49","54,20","60,75","54,10","16,86M","12,24%"
"17.06.2022","51,22","50,12","52,80","49,28","11,77M","0,33%"
"16.06.2022","51,05","52,58","54,43","50,08","13,16M","-7,20%"
"15.06.2022","55,01","50,94","56,66","50,45","16,17M","6,65%"
"14.06.2022","51,58","52,50","53,29","48,81","17,38M","-0,83%"
"13.06.2022","52,01","46,18","54,30","46,00","28,76M","-11,41%"
"10.06.2022","58,71","60,00","61,63","57,77","11,00M","-7,92%"
"09.06.2022","63,76","69,08","69,38","63,12","9,31M","-7,86%"
"08.06.2022","69,20","69,23","72,98","68,30","6,23M","-0,53%"
"07.06.2022","69,57","67,31","69,97","64,36","8,42M","-1,56%"
"06.06.2022","70,67","70,76","74,11","68,43","9,35M","5,97%"
"03.06.2022","66,69","69,39","70,50","65,61","10,21M","-9,66%"
