"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"25.07.2022","9,978","9,970","10,095","9,884","-","-0,14%"
"22.07.2022","9,992","9,778","10,010","9,768","9,35M","2,00%"
"21.07.2022","9,796","9,734","9,880","9,680","8,08M","0,18%"
"20.07.2022","9,778","9,828","9,850","9,730","8,80M","-0,63%"
"19.07.2022","9,840","9,728","9,896","9,670","6,97M","0,53%"
"18.07.2022","9,788","9,808","9,936","9,728","9,43M","-0,20%"
"15.07.2022","9,808","9,752","9,846","9,688","10,78M","0,95%"
"14.07.2022","9,716","9,866","9,880","9,602","9,24M","-1,76%"
"13.07.2022","9,890","9,990","10,040","9,802","29,08M","-2,32%"
"12.07.2022","10,125","10,185","10,230","10,070","13,30M","-0,25%"
"11.07.2022","10,150","9,900","10,170","9,872","21,48M","2,40%"
"08.07.2022","9,912","10,100","10,105","9,908","10,19M","-1,52%"
"07.07.2022","10,065","10,002","10,104","9,944","12,12M","0,78%"
"06.07.2022","9,988","9,939","10,075","9,846","11,34M","1,38%"
"05.07.2022","9,851","10,031","10,075","9,827","8,74M","-1,41%"
"04.07.2022","9,992","10,099","10,158","9,992","5,76M","-0,68%"
"01.07.2022","10,061","9,625","10,061","9,603","10,46M","4,49%"
"30.06.2022","9,629","9,652","9,730","9,531","15,03M","-1,78%"
"29.06.2022","9,803","9,822","9,944","9,739","9,85M","-0,98%"
"28.06.2022","9,900","9,710","9,905","9,656","9,01M","2,55%"
"27.06.2022","9,654","9,793","9,808","9,486","8,85M","-1,32%"
"24.06.2022","9,783","9,667","9,905","9,630","35,51M","2,41%"
"23.06.2022","9,553","9,117","9,601","9,053","14,38M","3,83%"
"22.06.2022","9,200","9,395","9,397","9,171","12,76M","-2,90%"
"21.06.2022","9,475","9,730","9,769","9,397","12,43M","-2,72%"
"20.06.2022","9,739","9,662","9,778","9,568","6,07M","1,52%"
"17.06.2022","9,594","9,640","9,754","9,508","32,67M","-0,18%"
"16.06.2022","9,611","9,716","9,759","9,523","11,11M","-1,06%"
"15.06.2022","9,714","9,749","9,827","9,599","13,33M","1,13%"
"14.06.2022","9,605","9,822","9,905","9,601","10,60M","-2,26%"
"13.06.2022","9,827","9,924","9,978","9,754","12,56M","-2,04%"
"10.06.2022","10,031","10,197","10,245","9,949","36,24M","-2,64%"
"09.06.2022","10,304","10,401","10,464","10,216","10,45M","-1,40%"
"08.06.2022","10,450","10,532","10,596","10,372","9,79M","-0,88%"
"07.06.2022","10,542","10,552","10,664","10,523","39,19M","-0,60%"
"06.06.2022","10,605","10,601","10,674","10,469","23,86M","0,83%"
"03.06.2022","10,518","10,596","10,635","10,401","6,48M","0,19%"
"02.06.2022","10,498","10,518","10,586","10,406","7,41M","-0,51%"
"01.06.2022","10,552","10,732","10,815","10,542","35,29M","-1,72%"
"31.05.2022","10,737","10,795","10,829","10,654","19,54M","-0,68%"
"30.05.2022","10,810","11,014","11,024","10,751","11,18M","-1,72%"
"27.05.2022","10,999","11,009","11,043","10,849","11,93M","0,18%"
"26.05.2022","10,980","11,116","11,175","10,980","11,97M","-1,14%"
"25.05.2022","11,106","11,092","11,131","10,834","30,37M","2,56%"
"24.05.2022","10,829","10,683","10,829","10,576","10,41M","-0,13%"
"23.05.2022","10,844","10,839","10,863","10,698","7,18M","0,41%"
"20.05.2022","10,800","10,571","10,878","10,566","16,69M","3,11%"
"19.05.2022","10,474","10,547","10,605","10,425","12,22M","-1,10%"
"18.05.2022","10,591","10,566","10,678","10,455","7,60M","0,88%"
"17.05.2022","10,498","10,518","10,605","10,450","5,39M","0,05%"
"16.05.2022","10,494","10,314","10,571","10,265","7,02M","0,98%"
"13.05.2022","10,391","10,406","10,455","10,255","9,50M","0,47%"
"12.05.2022","10,343","10,469","10,581","10,309","11,28M","-2,25%"
"11.05.2022","10,581","10,348","10,610","10,197","13,36M","3,03%"
"10.05.2022","10,270","10,362","10,367","10,231","8,13M","-0,52%"
"09.05.2022","10,323","10,396","10,532","10,304","23,10M","-0,52%"
"06.05.2022","10,377","10,445","10,523","10,352","13,11M","-1,39%"
"05.05.2022","10,523","10,781","10,858","10,498","11,66M","-1,73%"
"04.05.2022","10,708","10,727","10,819","10,654","7,28M","-0,27%"
"03.05.2022","10,737","10,630","10,737","10,566","11,10M","1,05%"
"02.05.2022","10,625","10,688","10,781","10,581","11,69M","-0,82%"
"29.04.2022","10,712","10,742","10,805","10,678","11,61M","-0,77%"
"28.04.2022","10,795","10,566","10,795","10,508","21,85M","3,16%"
"27.04.2022","10,464","10,163","10,503","10,095","20,70M","1,99%"
"26.04.2022","10,260","10,406","10,469","10,211","20,29M","-0,38%"
"25.04.2022","10,299","10,061","10,367","10,061","12,33M","1,44%"
"22.04.2022","10,153","10,109","10,309","10,095","51,69M","-0,81%"
"21.04.2022","10,236","10,338","10,445","10,168","16,15M","-0,94%"
"20.04.2022","10,333","10,187","10,396","10,129","10,32M","1,48%"
"19.04.2022","10,182","10,138","10,221","10,056","10,04M","-0,38%"
"14.04.2022","10,221","10,070","10,284","10,012","11,19M","1,11%"
"13.04.2022","10,109","10,041","10,206","10,041","11,91M","-0,86%"
"12.04.2022","10,197","10,119","10,260","10,002","19,60M","-0,85%"
"11.04.2022","10,284","10,362","10,425","10,226","11,69M","-2,27%"
