"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"25.07.2022","172,01","172,32","172,97","171,72","2,21M","-0,06%"
"22.07.2022","172,12","171,31","172,48","171,06","4,24M","0,47%"
"21.07.2022","171,31","170,16","171,38","169,77","5,73M","0,35%"
"20.07.2022","170,71","172,20","172,55","169,76","7,33M","-0,57%"
"19.07.2022","171,69","176,24","176,41","169,93","13,21M","-1,46%"
"18.07.2022","174,23","177,69","178,19","173,93","7,48M","-2,24%"
"15.07.2022","178,23","177,80","178,50","176,57","5,49M","1,45%"
"14.07.2022","175,68","172,77","175,99","172,76","5,15M","0,14%"
"13.07.2022","175,44","175,66","176,29","174,50","5,23M","-0,23%"
"12.07.2022","175,85","177,98","178,42","175,20","4,68M","-1,40%"
"11.07.2022","178,35","177,65","179,00","177,65","3,63M","0,04%"
"08.07.2022","178,28","178,33","179,99","177,77","3,64M","-0,12%"
"07.07.2022","178,50","177,86","179,12","177,51","5,71M","0,11%"
"06.07.2022","178,30","178,07","179,44","177,41","5,33M","0,09%"
"05.07.2022","178,14","178,83","179,13","174,61","5,59M","-0,77%"
"01.07.2022","179,52","177,45","179,72","176,69","5,50M","1,13%"
"30.06.2022","177,51","176,86","178,29","175,03","10,69M","0,29%"
"29.06.2022","176,99","177,22","178,30","176,43","7,02M","0,03%"
"28.06.2022","176,94","182,17","182,97","176,31","9,23M","-2,84%"
"27.06.2022","182,12","181,64","183,35","181,50","5,91M","-0,09%"
"24.06.2022","182,29","180,78","182,53","179,98","9,30M","1,46%"
"23.06.2022","179,66","177,00","179,82","176,52","10,17M","2,23%"
"22.06.2022","175,74","172,00","177,92","171,69","10,42M","1,58%"
"21.06.2022","173,01","170,75","173,86","169,56","8,17M","2,09%"
"17.06.2022","169,46","170,63","172,20","169,24","12,49M","-0,36%"
"16.06.2022","170,08","168,40","170,21","167,41","7,06M","0,05%"
"15.06.2022","169,99","169,64","171,44","168,64","7,78M","1,07%"
"14.06.2022","168,19","171,06","171,11","167,26","7,00M","-1,53%"
"13.06.2022","170,81","170,08","172,25","170,08","7,89M","-1,01%"
"10.06.2022","172,55","172,17","173,97","170,62","6,61M","-0,67%"
"09.06.2022","173,71","177,21","178,65","173,64","5,26M","-2,01%"
"08.06.2022","177,28","178,10","179,45","176,80","4,33M","-0,59%"
"07.06.2022","178,34","176,98","179,30","176,40","5,39M","1,10%"
"06.06.2022","176,40","177,21","178,50","175,99","5,39M","-0,01%"
"03.06.2022","176,42","177,07","178,67","176,15","4,23M","-0,41%"
"02.06.2022","177,15","177,74","177,81","174,59","8,65M","-0,32%"
"01.06.2022","177,71","179,15","179,83","175,90","5,16M","-1,01%"
"31.05.2022","179,53","178,00","180,17","175,01","14,51M","-0,86%"
"27.05.2022","181,09","179,76","181,16","178,23","5,85M","0,91%"
"26.05.2022","179,46","181,00","181,00","178,60","6,79M","-0,09%"
"25.05.2022","179,62","180,53","181,55","179,06","6,55M","-0,98%"
