"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"25.07.2022","257,13","260,80","261,47","256,88","13,30M","-1,24%"
"22.07.2022","260,36","265,24","265,33","259,07","21,88M","-1,69%"
"21.07.2022","264,84","259,79","264,89","257,03","22,40M","0,98%"
"20.07.2022","262,27","259,90","264,87","258,91","22,79M","1,06%"
"19.07.2022","259,53","257,58","259,72","253,68","25,01M","2,08%"
"18.07.2022","254,25","259,75","260,84","253,30","20,98M","-0,96%"
"15.07.2022","256,72","255,72","260,37","254,77","29,77M","1,04%"
"14.07.2022","254,08","250,57","255,14","245,94","25,10M","0,54%"
"13.07.2022","252,72","250,19","253,55","248,11","29,50M","-0,37%"
"12.07.2022","253,67","265,88","265,94","252,04","35,87M","-4,10%"
"11.07.2022","264,51","265,65","266,53","262,18","19,52M","-1,18%"
"08.07.2022","267,66","264,79","268,10","263,29","19,48M","-0,28%"
"07.07.2022","268,40","265,12","269,05","265,02","20,73M","0,82%"
"06.07.2022","266,21","263,75","267,99","262,40","23,73M","1,28%"
"05.07.2022","262,85","256,16","262,98","254,74","22,87M","1,26%"
"01.07.2022","259,58","256,39","259,77","254,61","22,84M","1,07%"
"30.06.2022","256,83","257,05","259,53","252,90","30,57M","-1,32%"
"29.06.2022","260,26","257,59","261,97","255,76","19,97M","1,47%"
"28.06.2022","256,48","263,98","266,91","256,32","27,02M","-3,17%"
"27.06.2022","264,89","268,20","268,30","263,28","24,62M","-1,05%"
"24.06.2022","267,70","261,81","267,98","261,72","33,73M","3,41%"
"23.06.2022","258,86","255,57","259,37","253,63","25,79M","2,26%"
"22.06.2022","253,13","251,89","257,17","250,37","25,91M","-0,24%"
"21.06.2022","253,74","250,26","254,75","249,51","29,85M","2,46%"
"17.06.2022","247,65","244,70","250,50","244,03","43,08M","1,09%"
"16.06.2022","244,97","245,98","247,42","243,02","33,17M","-2,70%"
"15.06.2022","251,76","248,31","255,30","246,42","32,84M","2,97%"
"14.06.2022","244,49","243,86","245,74","241,51","28,29M","0,92%"
"13.06.2022","242,26","245,11","249,02","241,53","45,64M","-4,24%"
"10.06.2022","252,99","260,58","260,58","252,53","31,14M","-4,46%"
"09.06.2022","264,79","267,78","272,71","264,63","23,07M","-2,08%"
"08.06.2022","270,41","271,71","273,00","269,61","17,35M","-0,77%"
"07.06.2022","272,50","266,64","273,13","265,94","22,82M","1,40%"
"06.06.2022","268,75","272,06","274,18","267,22","22,40M","-0,47%"
"03.06.2022","270,02","270,31","273,45","268,41","28,06M","-1,66%"
"02.06.2022","274,58","264,45","274,65","261,60","43,80M","0,79%"
"01.06.2022","272,42","275,20","277,69","270,04","25,08M","0,20%"
"31.05.2022","271,87","272,53","274,77","268,93","37,47M","-0,50%"
"27.05.2022","273,24","268,48","273,34","267,56","26,91M","2,76%"
"26.05.2022","265,90","262,27","267,11","261,43","24,93M","1,29%"
"25.05.2022","262,52","258,14","264,58","257,13","27,87M","1,12%"
"24.05.2022","259,62","257,89","261,33","253,50","28,85M","-0,40%"
"23.05.2022","260,65","255,49","261,50","253,43","32,91M","3,20%"
"20.05.2022","252,56","257,24","258,54","246,44","39,20M","-0,23%"
"19.05.2022","253,14","253,90","257,67","251,88","32,69M","-0,37%"
"18.05.2022","254,08","263,00","263,60","252,77","31,05M","-4,77%"
"17.05.2022","266,82","266,11","268,33","262,46","28,74M","2,03%"
"16.05.2022","261,50","259,95","265,82","255,78","32,48M","0,15%"
"13.05.2022","261,12","257,35","263,04","255,35","34,73M","2,26%"
"12.05.2022","255,35","257,69","259,88","250,02","50,79M","-2,00%"
"11.05.2022","260,55","265,68","271,36","259,30","44,40M","-3,32%"
"10.05.2022","269,50","271,69","273,75","265,07","39,15M","1,86%"
"09.05.2022","264,58","270,06","272,36","263,32","47,73M","-3,69%"
"06.05.2022","274,73","274,80","279,25","271,27","37,78M","-0,94%"
"05.05.2022","277,35","285,54","286,35","274,34","43,26M","-4,36%"
"04.05.2022","289,98","282,59","290,88","276,73","33,46M","2,91%"
"03.05.2022","281,78","283,01","284,06","280,19","25,55M","-0,95%"
"02.05.2022","284,47","278,00","284,80","276,26","34,90M","2,50%"
"29.04.2022","277,52","288,61","289,88","276,50","36,89M","-4,18%"
"28.04.2022","289,63","285,18","290,98","281,46","32,95M","2,26%"
"27.04.2022","283,22","282,10","290,97","279,16","62,98M","4,81%"
"26.04.2022","270,22","277,50","278,36","270,00","46,52M","-3,74%"
"25.04.2022","280,72","273,29","281,11","270,77","35,68M","2,44%"
"22.04.2022","274,03","281,68","283,20","273,38","29,21M","-2,41%"
"21.04.2022","280,81","288,58","293,30","280,06","29,26M","-1,94%"
"20.04.2022","286,36","289,40","289,70","285,37","22,81M","0,37%"
"19.04.2022","285,30","279,38","286,17","278,41","22,20M","1,70%"
"18.04.2022","280,52","278,91","282,46","278,34","20,62M","0,25%"
"14.04.2022","279,83","288,09","288,30","279,32","28,22M","-2,71%"
"13.04.2022","287,62","282,73","288,58","281,30","21,68M","1,97%"
"12.04.2022","282,06","289,23","290,74","280,49","30,82M","-1,12%"
"11.04.2022","285,26","291,79","292,61","285,00","34,15M","-3,94%"
"08.04.2022","296,97","300,44","301,12","296,28","24,36M","-1,46%"
"07.04.2022","301,37","296,66","303,65","296,35","30,09M","0,62%"
"06.04.2022","299,50","305,19","307,00","296,71","39,91M","-3,66%"
"05.04.2022","310,88","313,27","314,86","309,87","22,98M","-1,30%"
"04.04.2022","314,97","310,09","315,11","309,71","24,19M","1,79%"
"01.04.2022","309,42","309,37","310,13","305,54","27,11M","0,36%"
"31.03.2022","308,31","313,90","315,14","307,89","33,31M","-1,77%"
"30.03.2022","313,86","313,76","315,95","311,58","25,24M","-0,49%"
"29.03.2022","315,41","313,91","315,82","309,05","30,26M","1,52%"
"28.03.2022","310,70","304,33","310,80","304,33","28,10M","2,31%"
"25.03.2022","303,68","305,23","305,50","299,29","22,57M","-0,14%"
"24.03.2022","304,10","299,14","304,20","298,32","22,77M","1,54%"
"23.03.2022","299,49","300,51","303,23","297,72","25,45M","-1,50%"
"22.03.2022","304,06","299,80","305,00","298,77","27,42M","1,64%"
"21.03.2022","299,16","298,89","300,14","294,90","28,16M","-0,42%"
"18.03.2022","300,43","295,37","301,00","292,73","43,39M","1,76%"
"17.03.2022","295,22","293,29","295,61","289,37","30,52M","0,28%"
"16.03.2022","294,39","289,11","294,57","283,20","37,61M","2,52%"
"15.03.2022","287,15","280,35","287,82","278,73","34,11M","3,87%"
"14.03.2022","276,44","280,34","285,40","275,82","30,66M","-1,30%"
"11.03.2022","280,07","287,96","289,51","279,43","27,21M","-1,93%"
"10.03.2022","285,59","283,02","286,60","280,58","29,75M","-1,01%"
"09.03.2022","288,50","283,44","289,60","280,78","34,91M","4,59%"
"08.03.2022","275,85","277,80","283,96","270,00","47,51M","-1,10%"
"07.03.2022","278,91","288,53","289,69","278,53","42,83M","-3,78%"
"04.03.2022","289,86","294,29","295,66","287,17","32,37M","-2,05%"
"03.03.2022","295,92","302,89","303,13","294,05","27,15M","-1,42%"
"02.03.2022","300,19","295,36","301,47","293,70","31,68M","1,78%"
"01.03.2022","294,95","296,40","299,97","292,15","31,10M","-1,29%"
"28.02.2022","298,79","294,31","299,14","293,00","34,54M","0,50%"
"25.02.2022","297,31","295,14","297,63","291,65","32,55M","0,92%"
"24.02.2022","294,59","272,51","295,16","271,52","56,55M","5,11%"
"23.02.2022","280,27","290,18","291,70","280,10","35,51M","-2,59%"
"22.02.2022","287,72","285,00","291,54","284,50","41,57M","-0,07%"
"18.02.2022","287,93","293,05","293,86","286,30","34,26M","-0,96%"
"17.02.2022","290,73","296,36","296,80","290,00","32,26M","-2,93%"
"16.02.2022","299,50","298,36","300,87","293,68","28,37M","-0,32%"
"15.02.2022","300,47","300,01","300,80","297,02","26,74M","1,85%"
"14.02.2022","295,00","293,77","296,76","291,35","36,27M","-0,01%"
"11.02.2022","295,04","303,19","304,29","294,22","39,18M","-2,43%"
"10.02.2022","302,38","304,04","309,12","300,70","44,68M","-2,84%"
"09.02.2022","311,21","309,86","311,93","307,39","30,73M","2,18%"
"08.02.2022","304,56","301,25","305,56","299,95","32,42M","1,20%"
"07.02.2022","300,95","306,17","307,84","299,90","28,02M","-1,63%"
"04.02.2022","305,94","300,21","308,80","299,97","35,10M","1,56%"
"03.02.2022","301,25","309,49","311,23","299,96","41,45M","-3,90%"
"02.02.2022","313,46","309,63","315,12","308,88","35,49M","1,52%"
"01.02.2022","308,76","310,41","310,63","305,13","40,50M","-0,71%"
"31.01.2022","310,98","308,95","312,38","306,37","46,14M","0,88%"
"28.01.2022","308,26","300,23","308,48","294,45","49,74M","2,81%"
"27.01.2022","299,84","302,66","307,30","297,93","53,00M","1,05%"
"26.01.2022","296,71","307,98","308,50","293,03","89,98M","2,85%"
"25.01.2022","288,49","291,52","294,99","285,17","65,78M","-2,66%"
"24.01.2022","296,37","292,20","297,11","276,05","84,90M","0,11%"
"21.01.2022","296,03","302,68","304,11","295,61","57,98M","-1,85%"
"20.01.2022","301,60","309,07","311,65","301,14","34,79M","-0,57%"
"19.01.2022","303,33","306,29","313,91","302,70","45,49M","0,22%"
"18.01.2022","302,65","304,07","309,80","301,74","41,72M","-2,43%"
"14.01.2022","310,20","304,25","310,82","303,75","39,85M","1,77%"
"13.01.2022","304,80","320,47","320,88","304,00","44,99M","-4,23%"
"12.01.2022","318,27","319,67","323,41","317,08","34,37M","1,04%"
"11.01.2022","314,98","313,38","316,61","309,89","29,27M","0,23%"
"10.01.2022","314,27","309,48","314,72","304,69","44,16M","0,07%"
"07.01.2022","314,04","314,15","316,50","310,09","32,72M","0,05%"
"06.01.2022","313,88","313,15","318,70","311,49","39,17M","-0,79%"
"05.01.2022","316,38","325,86","326,07","315,98","39,63M","-3,84%"
"04.01.2022","329,01","334,83","335,20","326,12","32,58M","-1,71%"
"03.01.2022","334,75","335,35","338,00","329,78","28,69M","-0,47%"
"31.12.2021","336,32","338,51","339,36","335,85","17,77M","-0,88%"
"30.12.2021","339,32","341,91","343,13","338,82","15,77M","-0,77%"
"29.12.2021","341,95","341,30","344,30","339,68","14,98M","0,21%"
"28.12.2021","341,25","343,15","343,81","340,32","15,27M","-0,35%"
"27.12.2021","342,45","335,46","342,48","335,43","19,86M","2,32%"
"23.12.2021","334,69","332,75","336,39","332,73","19,62M","0,45%"
"22.12.2021","333,20","328,30","333,61","325,75","24,51M","1,81%"
"21.12.2021","327,29","323,29","327,73","319,80","24,29M","2,31%"
"20.12.2021","319,91","320,05","322,80","317,57","28,12M","-1,20%"
"17.12.2021","323,80","320,88","324,92","317,25","47,98M","-0,34%"
"16.12.2021","324,90","335,71","336,76","323,02","34,48M","-2,91%"
"15.12.2021","334,65","328,61","335,19","324,50","34,84M","1,92%"
"14.12.2021","328,34","333,22","334,64","324,11","43,50M","-3,26%"
"13.12.2021","339,40","340,68","343,79","339,08","28,08M","-0,92%"
"10.12.2021","342,54","334,98","343,00","334,79","38,10M","2,83%"
"09.12.2021","333,10","334,41","336,49","332,12","21,78M","-0,56%"
"08.12.2021","334,97","335,31","335,50","330,80","24,70M","0,01%"
"07.12.2021","334,92","331,64","335,80","330,10","30,70M","2,68%"
"06.12.2021","326,19","323,95","327,45","319,23","29,91M","0,98%"
"03.12.2021","323,01","331,99","332,70","318,03","41,78M","-1,97%"
"02.12.2021","329,49","330,30","333,49","327,80","29,57M","-0,18%"
"01.12.2021","330,08","335,13","339,28","329,39","33,40M","-0,15%"
"30.11.2021","330,59","335,32","337,78","328,99","42,46M","-1,79%"
"29.11.2021","336,63","334,94","339,03","334,74","27,53M","2,11%"
"26.11.2021","329,68","334,35","337,93","328,12","23,84M","-2,44%"
"24.11.2021","337,91","336,28","338,16","333,91","21,66M","0,07%"
"23.11.2021","337,68","337,05","339,45","333,56","29,65M","-0,63%"
"22.11.2021","339,83","344,62","349,67","339,55","30,45M","-0,96%"
"19.11.2021","343,11","342,64","345,10","342,20","21,96M","0,54%"
"18.11.2021","341,27","338,18","342,45","337,12","22,46M","0,63%"
"17.11.2021","339,12","338,94","342,19","338,00","18,21M","-0,11%"
"16.11.2021","339,51","335,68","340,67","335,51","20,25M","1,02%"
"15.11.2021","336,07","337,54","337,88","334,03","16,72M","-0,19%"
"12.11.2021","336,72","333,92","337,23","333,79","23,83M","1,29%"
"11.11.2021","332,43","331,25","333,77","330,51","14,62M","0,49%"
"10.11.2021","330,80","334,57","334,63","329,92","25,41M","-1,53%"
"09.11.2021","335,95","337,11","338,72","334,53","20,02M","-0,31%"
"08.11.2021","336,99","337,30","337,65","334,44","20,37M","0,28%"
"05.11.2021","336,06","338,51","338,79","334,42","22,57M","-0,11%"
"04.11.2021","336,44","332,89","336,54","329,51","23,97M","0,73%"
"03.11.2021","334,00","333,90","334,90","330,65","21,22M","0,26%"
"02.11.2021","333,13","330,31","333,45","330,00","25,84M","1,14%"
"01.11.2021","329,37","331,36","331,49","326,37","26,84M","-0,68%"
"29.10.2021","331,62","324,13","332,00","323,90","34,77M","2,24%"
"28.10.2021","324,35","324,33","324,87","321,36","25,76M","0,37%"
"27.10.2021","323,17","316,00","326,10","316,00","52,39M","4,21%"
"26.10.2021","310,11","311,00","312,39","308,60","26,32M","0,64%"
"25.10.2021","308,13","309,36","309,40","306,46","16,98M","-0,33%"
"22.10.2021","309,16","310,40","311,09","307,80","17,45M","-0,51%"
"21.10.2021","310,76","307,17","311,02","306,36","16,64M","1,09%"
"20.10.2021","307,41","309,21","309,70","306,11","16,44M","-0,27%"
"19.10.2021","308,23","308,35","309,30","307,22","17,68M","0,31%"
"18.10.2021","307,29","303,57","308,21","302,69","22,50M","1,01%"
"15.10.2021","304,21","302,34","304,45","300,52","25,38M","0,48%"
"14.10.2021","302,75","299,21","303,27","297,83","27,12M","2,17%"
"13.10.2021","296,31","294,91","297,28","293,49","23,03M","1,17%"
"12.10.2021","292,88","295,34","295,44","292,35","17,97M","-0,46%"
"11.10.2021","294,23","292,92","297,97","292,74","19,27M","-0,21%"
"08.10.2021","294,85","296,22","296,64","293,76","17,69M","0,00%"
"07.10.2021","294,85","295,17","296,64","293,92","20,28M","0,59%"
"06.10.2021","293,11","285,78","293,63","285,51","27,69M","1,51%"
"05.10.2021","288,76","284,05","290,40","284,05","24,57M","2,00%"
"04.10.2021","283,11","287,40","287,75","280,25","30,85M","-2,07%"
"01.10.2021","289,10","282,12","289,98","281,29","30,09M","2,55%"
"30.09.2021","281,92","285,71","287,83","281,62","32,21M","-0,73%"
"29.09.2021","284,00","285,10","286,77","283,01","26,24M","0,17%"
"28.09.2021","283,52","289,80","290,78","282,75","42,38M","-3,62%"
"27.09.2021","294,17","296,14","296,47","292,94","23,38M","-1,73%"
"24.09.2021","299,35","298,23","299,80","296,93","15,00M","-0,07%"
"23.09.2021","299,56","298,85","300,90","297,53","18,17M","0,33%"
"22.09.2021","298,58","296,73","300,22","294,51","26,63M","1,28%"
"21.09.2021","294,80","295,69","297,54","294,07","21,53M","0,17%"
"20.09.2021","294,30","296,33","298,72","289,52","37,75M","-1,86%"
"17.09.2021","299,87","304,17","304,50","299,53","41,37M","-1,75%"
"16.09.2021","305,22","303,76","305,31","300,76","19,04M","0,13%"
"15.09.2021","304,82","303,26","305,32","301,82","27,69M","1,68%"
"14.09.2021","299,79","299,56","301,39","298,10","21,36M","0,94%"
"13.09.2021","296,99","297,55","298,54","294,08","22,41M","0,43%"
"10.09.2021","295,71","298,42","299,92","295,38","19,63M","-0,52%"
"09.09.2021","297,25","300,82","302,14","297,00","19,88M","-0,99%"
"08.09.2021","300,21","299,78","300,61","297,47","14,96M","0,01%"
"07.09.2021","300,18","301,01","301,09","298,20","16,89M","-0,32%"
"03.09.2021","301,14","300,99","302,60","300,26","14,75M","-0,00%"
"02.09.2021","301,15","302,20","303,36","300,18","16,26M","-0,23%"
"01.09.2021","301,83","302,86","305,19","301,49","18,98M","-0,02%"
"31.08.2021","301,88","304,42","304,50","301,50","26,03M","-0,56%"
"30.08.2021","303,59","301,11","304,22","301,06","16,03M","1,29%"
"27.08.2021","299,72","298,99","300,87","296,83","22,61M","0,21%"
"26.08.2021","299,09","300,99","302,43","298,95","17,57M","-0,97%"
"25.08.2021","302,01","304,30","304,59","300,42","19,23M","-0,20%"
"24.08.2021","302,62","305,02","305,65","302,00","17,88M","-0,67%"
"23.08.2021","304,65","303,24","305,40","301,85","21,91M","0,10%"
"20.08.2021","304,36","299,72","305,84","298,06","40,82M","2,56%"
"19.08.2021","296,77","288,69","297,47","288,64","29,58M","2,08%"
"18.08.2021","290,73","292,04","294,82","290,27","21,70M","-0,80%"
"17.08.2021","293,08","292,39","293,43","291,08","19,98M","-0,52%"
"16.08.2021","294,60","293,19","294,82","290,02","22,39M","0,60%"
"13.08.2021","292,85","289,48","292,90","289,30","18,25M","1,05%"
"12.08.2021","289,81","286,63","289,97","286,34","14,38M","1,00%"
"11.08.2021","286,95","287,21","288,66","285,86","13,94M","0,18%"
"10.08.2021","286,44","288,65","289,22","285,20","18,62M","-0,66%"
