"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"25.07.2022","71,46","71,41","71,89","71,30","1,13M","0,15%"
"22.07.2022","71,35","71,00","71,46","70,69","2,22M","1,09%"
"21.07.2022","70,58","70,00","70,60","69,75","1,84M","0,47%"
"20.07.2022","70,25","69,94","70,54","69,39","1,86M","0,24%"
"19.07.2022","70,08","69,93","70,13","69,29","2,53M","0,88%"
"18.07.2022","69,47","70,50","70,64","69,17","2,84M","-1,19%"
"15.07.2022","70,31","69,36","70,42","68,84","3,80M","2,72%"
"14.07.2022","68,45","67,03","68,66","66,86","3,97M","0,59%"
"13.07.2022","68,05","68,63","69,24","68,03","3,34M","-1,89%"
"12.07.2022","69,36","69,09","69,89","68,79","2,59M","-0,29%"
"11.07.2022","69,56","68,92","69,58","68,63","2,83M","0,84%"
"08.07.2022","68,98","68,80","69,30","68,52","2,89M","0,28%"
"07.07.2022","68,79","69,62","69,69","68,65","3,87M","-1,02%"
"06.07.2022","69,50","69,50","69,98","69,03","3,03M","0,30%"
"05.07.2022","69,29","69,61","69,86","68,08","2,98M","-1,23%"
"01.07.2022","70,15","68,18","70,21","68,14","2,95M","2,77%"
"30.06.2022","68,26","68,61","68,97","67,96","3,75M","-1,59%"
"29.06.2022","69,36","68,98","69,47","68,88","3,08M","0,33%"
"28.06.2022","69,13","69,90","70,68","69,03","2,86M","-0,45%"
"27.06.2022","69,44","69,06","69,67","68,56","3,79M","0,36%"
"24.06.2022","69,19","68,06","69,38","67,91","5,93M","1,76%"
"23.06.2022","67,99","67,05","68,05","66,90","4,06M","2,41%"
"22.06.2022","66,39","64,76","67,07","64,76","3,43M","1,41%"
"21.06.2022","65,47","65,01","66,24","65,01","3,59M","0,92%"
"17.06.2022","64,87","64,21","65,69","64,21","15,38M","1,00%"
"16.06.2022","64,23","63,48","64,91","63,30","4,70M","-0,88%"
"15.06.2022","64,80","63,38","65,79","63,24","4,87M","3,20%"
"14.06.2022","62,79","63,31","63,67","62,28","4,54M","-0,66%"
"13.06.2022","63,21","64,87","65,11","62,94","5,39M","-4,17%"
"10.06.2022","65,96","65,73","66,72","65,27","4,51M","-0,48%"
"09.06.2022","66,28","66,96","67,56","66,26","4,29M","-1,24%"
"08.06.2022","67,11","67,68","67,76","66,88","2,98M","-1,40%"
"07.06.2022","68,06","66,75","68,11","66,62","3,81M","1,61%"
"06.06.2022","66,98","67,79","67,79","66,44","4,76M","-0,56%"
"03.06.2022","67,36","68,17","68,18","67,25","2,82M","-1,58%"
"02.06.2022","68,44","67,86","68,48","66,97","2,65M","0,53%"
"01.06.2022","68,08","68,23","68,41","67,59","2,88M","-0,21%"
"31.05.2022","68,22","68,18","68,58","67,30","6,71M","-1,63%"
"27.05.2022","69,35","68,50","69,37","68,43","3,37M","1,88%"
"26.05.2022","68,07","69,08","69,32","68,02","4,49M","-1,60%"
"25.05.2022","69,18","68,11","69,45","68,03","4,13M","1,08%"
"24.05.2022","68,44","67,25","68,52","66,29","4,03M","1,81%"
"23.05.2022","67,22","67,90","68,49","67,02","6,07M","-1,13%"
"20.05.2022","67,99","67,79","68,12","66,90","4,09M","1,25%"
"19.05.2022","67,15","67,13","67,81","66,18","4,50M","-0,61%"
"18.05.2022","67,56","68,34","68,50","67,37","3,68M","-1,53%"
"17.05.2022","68,61","68,43","68,82","67,78","4,71M","0,81%"
"16.05.2022","68,06","67,59","68,37","67,13","3,54M","0,96%"
"13.05.2022","67,41","65,88","67,47","65,40","5,23M","3,09%"
"12.05.2022","65,39","63,58","65,40","63,39","5,58M","2,49%"
"11.05.2022","63,80","63,50","64,62","63,15","4,43M","0,47%"
"10.05.2022","63,50","65,16","65,51","62,74","5,75M","-1,64%"
"09.05.2022","64,56","65,50","65,64","64,30","4,52M","-2,36%"
"06.05.2022","66,12","66,52","66,86","65,37","3,57M","-1,46%"
"05.05.2022","67,10","69,06","69,37","66,65","3,21M","-2,16%"
