"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"04.11.2021","61,800","62,550","63,330","61,580","-","-1,12%"
"03.11.2021","62,500","61,760","63,320","61,040","104,12K","1,33%"
"02.11.2021","61,680","60,580","63,180","60,540","211,82K","2,09%"
"01.11.2021","60,420","67,200","67,420","60,420","387,04K","-10,01%"
"29.10.2021","67,140","71,440","71,440","67,000","161,49K","-3,89%"
"28.10.2021","69,860","69,100","70,320","68,300","64,81K","0,98%"
"27.10.2021","69,180","70,000","70,240","69,060","71,61K","-1,76%"
"26.10.2021","70,420","70,520","70,800","69,640","35,46K","0,17%"
"25.10.2021","70,300","71,000","71,000","69,620","65,26K","-1,01%"
"22.10.2021","71,020","71,900","72,140","71,020","35,79K","-1,00%"
"21.10.2021","71,740","71,000","71,740","70,240","71,66K","0,67%"
"20.10.2021","71,260","70,600","71,740","70,600","49,22K","-0,34%"
"19.10.2021","71,500","70,480","71,800","70,380","46,20K","1,36%"
"18.10.2021","70,540","71,220","71,300","70,380","36,03K","-1,18%"
"15.10.2021","71,380","71,440","71,600","70,440","56,92K","0,54%"
"14.10.2021","71,000","70,200","71,000","69,820","55,91K","1,02%"
"13.10.2021","70,280","70,660","71,220","70,000","58,88K","-0,68%"
"12.10.2021","70,760","69,500","71,740","69,260","68,67K","1,09%"
"11.10.2021","70,000","71,100","71,100","69,520","62,96K","-1,21%"
"08.10.2021","70,860","71,800","72,000","70,760","42,97K","-1,83%"
"07.10.2021","72,180","70,880","72,200","70,400","97,93K","2,47%"
"06.10.2021","70,440","71,000","71,100","69,180","110,11K","-0,79%"
"05.10.2021","71,000","71,020","71,660","70,780","54,04K","-0,31%"
"04.10.2021","71,220","71,420","73,000","70,600","82,59K","-1,03%"
"01.10.2021","71,960","74,140","74,360","71,600","111,33K","-3,38%"
"30.09.2021","74,480","75,800","76,900","74,080","87,84K","0,11%"
"29.09.2021","74,400","74,580","75,120","73,260","94,07K","-0,59%"
"28.09.2021","74,840","78,100","78,600","74,600","99,22K","-3,61%"
"27.09.2021","77,640","79,340","79,640","77,280","94,30K","-1,65%"
