"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"25.07.2022","0,6534","0,6330","0,6600","0,6274","-","3,71%"
"22.07.2022","0,6300","0,6530","0,6698","0,6282","34,94M","-4,81%"
"21.07.2022","0,6618","0,6414","0,6916","0,6378","53,28M","2,64%"
"20.07.2022","0,6448","0,6696","0,6760","0,6250","42,35M","-2,42%"
"19.07.2022","0,6608","0,6212","0,6652","0,6150","51,62M","6,34%"
"18.07.2022","0,6214","0,6350","0,6350","0,6130","35,03M","0,58%"
"15.07.2022","0,6178","0,6000","0,6216","0,5954","30,68M","3,04%"
"14.07.2022","0,5996","0,6052","0,6204","0,5934","45,72M","-2,03%"
"13.07.2022","0,6120","0,6060","0,6232","0,5890","49,61M","0,03%"
"12.07.2022","0,6118","0,6520","0,6540","0,5750","107,84M","-7,44%"
"11.07.2022","0,6610","0,6610","0,6670","0,6512","23,41M","-2,10%"
"08.07.2022","0,6752","0,6798","0,6814","0,6564","55,44M","-0,32%"
"07.07.2022","0,6774","0,6626","0,6860","0,6586","36,31M","4,34%"
"06.07.2022","0,6492","0,7010","0,7054","0,6454","68,84M","-6,67%"
"05.07.2022","0,6956","0,7400","0,7450","0,6942","35,72M","-5,49%"
"04.07.2022","0,7360","0,7640","0,7640","0,7312","28,37M","-3,21%"
"01.07.2022","0,7604","0,7600","0,7970","0,7516","27,77M","-0,03%"
"30.06.2022","0,7606","0,7750","0,7876","0,7468","31,71M","-3,33%"
"29.06.2022","0,7868","0,7810","0,7928","0,7780","16,44M","0,33%"
"28.06.2022","0,7842","0,7968","0,8116","0,7822","27,95M","-0,15%"
"27.06.2022","0,7854","0,8044","0,8130","0,7836","29,47M","-2,63%"
"24.06.2022","0,8066","0,8136","0,8170","0,7822","36,12M","-0,17%"
"23.06.2022","0,8080","0,8430","0,8562","0,8054","44,32M","-4,81%"
"22.06.2022","0,8488","0,8418","0,8564","0,8272","32,06M","-1,14%"
"21.06.2022","0,8586","0,8480","0,8640","0,8426","90,36M","2,46%"
"20.06.2022","0,8380","0,8080","0,8486","0,7966","25,94M","4,75%"
