"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"25.07.2022","2,4555","2,4285","2,4730","2,4170","-","0,92%"
"22.07.2022","2,4330","2,4550","2,5170","2,4255","42,24M","-0,84%"
"21.07.2022","2,4535","2,4360","2,5190","2,4090","55,39M","-0,30%"
"20.07.2022","2,4610","2,5400","2,5540","2,4130","41,38M","-2,05%"
"19.07.2022","2,5125","2,4015","2,5265","2,3970","49,37M","4,17%"
"18.07.2022","2,4120","2,4280","2,4620","2,3995","47,47M","0,27%"
"15.07.2022","2,4055","2,3445","2,4150","2,3240","48,08M","2,91%"
"14.07.2022","2,3375","2,4220","2,4440","2,3265","50,66M","-4,46%"
"13.07.2022","2,4465","2,4680","2,4800","2,4075","41,46M","-0,81%"
"12.07.2022","2,4665","2,5375","2,5435","2,4000","85,98M","-3,65%"
"11.07.2022","2,5600","2,5600","2,5970","2,5445","21,59M","-2,03%"
"08.07.2022","2,6130","2,6030","2,6490","2,5715","28,47M","-0,10%"
"07.07.2022","2,6155","2,5875","2,6345","2,5550","42,70M","3,56%"
"06.07.2022","2,5255","2,6085","2,6185","2,5115","44,42M","-1,65%"
"05.07.2022","2,5680","2,6950","2,7195","2,5680","58,78M","-4,29%"
"04.07.2022","2,6830","2,6930","2,7100","2,6615","17,31M","-0,04%"
"01.07.2022","2,6840","2,6640","2,7275","2,6435","24,55M","-0,15%"
"30.06.2022","2,6880","2,7000","2,7080","2,6360","43,65M","-1,75%"
"29.06.2022","2,7360","2,7410","2,7700","2,7240","27,33M","-1,49%"
"28.06.2022","2,7775","2,7900","2,8205","2,7670","25,13M","0,25%"
"27.06.2022","2,7705","2,7650","2,8020","2,7375","24,44M","0,38%"
"24.06.2022","2,7600","2,7240","2,7885","2,6830","87,16M","1,62%"
"23.06.2022","2,7160","2,7875","2,8145","2,7035","57,39M","-3,17%"
"22.06.2022","2,8050","2,7520","2,8250","2,7315","47,76M","0,27%"
"21.06.2022","2,7975","2,8070","2,8490","2,7855","29,48M","0,13%"
"20.06.2022","2,7940","2,6985","2,8185","2,6810","32,34M","3,64%"
"17.06.2022","2,6960","2,6685","2,7550","2,6305","102,64M","2,30%"
"16.06.2022","2,6355","2,6810","2,6900","2,6210","34,51M","-2,04%"
"15.06.2022","2,6905","2,7225","2,7255","2,6570","93,96M","2,57%"
"14.06.2022","2,6230","2,6600","2,6740","2,6100","37,96M","0,48%"
"13.06.2022","2,6105","2,6795","2,6795","2,5850","78,28M","-3,31%"
"10.06.2022","2,7000","2,9000","2,9050","2,6970","85,17M","-7,09%"
"09.06.2022","2,9060","2,9620","2,9760","2,9060","38,12M","-2,65%"
"08.06.2022","2,9850","3,0000","3,0075","2,9700","27,24M","-0,45%"
"07.06.2022","2,9985","3,0195","3,0420","2,9985","26,67M","-1,30%"
"06.06.2022","3,0380","2,9955","3,0510","2,9855","24,12M","2,51%"
"03.06.2022","2,9635","3,0110","3,0110","2,9525","17,65M","-0,54%"
"02.06.2022","2,9795","2,9995","3,0050","2,9615","20,15M","-0,18%"
"01.06.2022","2,9850","3,0355","3,0585","2,9805","37,86M","-0,98%"
"31.05.2022","3,0145","3,0500","3,0730","3,0060","62,29M","-2,06%"
"30.05.2022","3,0780","3,0515","3,0780","3,0420","30,53M","1,25%"
"27.05.2022","3,0400","3,0000","3,0480","2,9850","56,36M","0,66%"
"26.05.2022","3,0200","2,9655","3,0200","2,9600","57,96M","2,27%"
"25.05.2022","2,9530","2,9390","2,9700","2,9000","68,36M","2,06%"
"24.05.2022","2,8935","2,8130","2,9135","2,8130","37,74M","1,53%"
"23.05.2022","2,8500","2,7920","2,8500","2,7685","38,28M","3,86%"
"20.05.2022","2,7440","2,7795","2,7905","2,7320","38,88M","0,13%"
"19.05.2022","2,7405","2,7220","2,7405","2,6780","38,98M","0,02%"
"18.05.2022","2,7400","2,7800","2,7985","2,7365","26,99M","-1,37%"
"17.05.2022","2,7780","2,7500","2,7910","2,7235","37,34M","2,91%"
"16.05.2022","2,6995","2,7100","2,7465","2,6855","29,15M","-1,04%"
"13.05.2022","2,7280","2,6885","2,7330","2,6755","57,67M","2,81%"
"12.05.2022","2,6535","2,6310","2,6665","2,6055","41,68M","-1,47%"
"11.05.2022","2,6930","2,6490","2,7035","2,6110","41,46M","2,26%"
"10.05.2022","2,6335","2,6515","2,7045","2,6330","69,94M","1,29%"
"09.05.2022","2,6000","2,6410","2,6735","2,6000","59,99M","-1,91%"
"06.05.2022","2,6505","2,7245","2,7245","2,6415","58,35M","-1,45%"
"05.05.2022","2,6895","2,8430","2,8435","2,6800","89,15M","-2,98%"
"04.05.2022","2,7720","2,8380","2,8390","2,7705","142,95M","-1,79%"
"03.05.2022","2,8225","2,7900","2,8290","2,7660","-","3,01%"
"02.05.2022","2,7400","2,7880","2,8170","2,7340","65,70M","-2,72%"
"29.04.2022","2,8165","2,7900","2,8265","2,7610","84,75M","2,34%"
"28.04.2022","2,7520","2,8390","2,8490","2,7190","73,89M","-2,27%"
"27.04.2022","2,8160","2,9000","2,9000","2,8000","101,73M","-1,07%"
"26.04.2022","2,8465","3,1480","3,1640","2,8320","177,67M","-6,79%"
"25.04.2022","3,0540","3,1200","3,1525","3,0540","84,64M","-3,54%"
"22.04.2022","3,1660","3,1870","3,2400","3,1660","38,81M","-1,98%"
"21.04.2022","3,2300","3,2225","3,2320","3,1960","132,63M","0,56%"
"20.04.2022","3,2120","3,1905","3,2515","3,1815","142,41M","1,58%"
"19.04.2022","3,1620","3,1665","3,1820","3,1340","111,06M","0,30%"
"14.04.2022","3,1525","3,1420","3,1850","3,1290","269,50M","0,93%"
"13.04.2022","3,1235","3,1365","3,1535","3,1150","63,54M","-0,30%"
"12.04.2022","3,1330","3,0990","3,1675","3,0800","44,88M","-0,79%"
"11.04.2022","3,1580","3,1255","3,1745","3,1250","63,73M","1,28%"
"08.04.2022","3,1180","3,0770","3,1470","3,0770","41,79M","2,58%"
"07.04.2022","3,0395","3,0530","3,1225","3,0320","53,32M","0,05%"
"06.04.2022","3,0380","3,1510","3,1745","3,0100","69,14M","-3,25%"
"05.04.2022","3,1400","3,1690","3,1905","3,1320","58,75M","-1,57%"
"04.04.2022","3,1900","3,1930","3,2055","3,1480","41,77M","0,28%"
"01.04.2022","3,1810","3,1655","3,2000","3,1360","45,39M","2,61%"
"31.03.2022","3,1000","3,1780","3,1995","3,0975","92,90M","-1,35%"
"30.03.2022","3,1425","3,2160","3,2180","3,1290","48,41M","-3,26%"
"29.03.2022","3,2485","3,1380","3,2630","3,1140","71,88M","5,47%"
"28.03.2022","3,0800","3,0745","3,1535","3,0740","40,08M","0,75%"
"25.03.2022","3,0570","3,0750","3,0870","3,0300","39,25M","-0,23%"
"24.03.2022","3,0640","3,1285","3,1345","3,0530","52,42M","-2,12%"
"23.03.2022","3,1305","3,1885","3,1965","3,1150","46,07M","-1,59%"
"22.03.2022","3,1810","3,1470","3,2050","3,1405","51,07M","1,66%"
