"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"25.07.2022","4,17","3,97","4,22","3,97","344,06K","3,32%"
"22.07.2022","4,04","4,00","4,12","3,93","156,56K","0,75%"
"21.07.2022","4,01","3,96","4,04","3,93","143,46K","-0,20%"
"20.07.2022","4,01","3,98","4,07","3,92","179,82K","1,11%"
"19.07.2022","3,97","3,84","3,98","3,80","173,34K","2,21%"
"18.07.2022","3,88","3,85","3,95","3,83","189,83K","0,21%"
"15.07.2022","3,88","3,83","3,95","3,83","165,71K","1,25%"
"14.07.2022","3,83","4,06","4,06","3,82","241,06K","-5,20%"
"13.07.2022","4,04","4,18","4,18","3,93","238,15K","-2,89%"
"12.07.2022","4,16","4,24","4,30","4,10","265,91K","-2,99%"
"11.07.2022","4,29","3,96","4,40","3,96","581,16K","6,04%"
"08.07.2022","4,04","4,10","4,10","3,92","308,89K","-0,98%"
"07.07.2022","4,08","3,85","4,08","3,84","228,84K","7,08%"
"06.07.2022","3,81","3,80","3,91","3,76","199,00K","-0,73%"
"05.07.2022","3,84","4,05","4,10","3,83","253,10K","-4,00%"
"04.07.2022","4,00","3,96","4,05","3,95","143,13K","-1,23%"
"01.07.2022","4,05","3,87","4,10","3,87","191,85K","2,53%"
"30.06.2022","3,95","4,01","4,01","3,85","256,65K","-2,13%"
"29.06.2022","4,04","4,29","4,29","4,04","447,67K","-7,43%"
"28.06.2022","4,36","4,07","4,44","4,07","400,61K","4,96%"
"27.06.2022","4,15","4,29","4,29","4,09","180,02K","-1,38%"
"24.06.2022","4,21","4,05","4,29","4,01","291,99K","4,62%"
"23.06.2022","4,03","4,00","4,06","3,92","196,28K","0,00%"
"22.06.2022","4,03","4,03","4,08","3,86","170,09K","1,10%"
"21.06.2022","3,99","4,00","4,10","3,91","277,37K","0,15%"
"20.06.2022","3,98","3,84","4,00","3,75","258,82K","2,90%"
"17.06.2022","3,87","3,65","3,88","3,65","469,79K","4,82%"
"16.06.2022","3,69","3,81","3,82","3,66","249,24K","-1,76%"
"15.06.2022","3,76","3,70","3,84","3,66","300,94K","2,68%"
"14.06.2022","3,66","3,99","4,03","3,65","552,78K","-6,11%"
"13.06.2022","3,90","4,22","4,24","3,87","699,32K","-8,29%"
"10.06.2022","4,25","4,47","4,47","4,23","428,95K","-5,43%"
"09.06.2022","4,49","4,58","4,69","4,45","501,15K","-0,27%"
"08.06.2022","4,50","4,54","4,57","4,42","300,24K","-0,31%"
"07.06.2022","4,52","4,22","4,55","4,22","609,43K","4,97%"
"06.06.2022","4,30","4,28","4,34","4,21","190,47K","2,04%"
"03.06.2022","4,22","4,32","4,47","4,20","317,03K","-2,18%"
"02.06.2022","4,31","4,28","4,40","4,21","408,85K","1,51%"
"01.06.2022","4,25","4,31","4,31","4,18","309,01K","-1,98%"
"31.05.2022","4,33","4,22","4,34","4,14","463,85K","2,90%"
"30.05.2022","4,21","4,23","4,28","4,16","249,33K","1,10%"
"27.05.2022","4,17","4,34","4,38","4,12","846,30K","-3,96%"
"26.05.2022","4,34","3,97","4,35","3,91","833,54K","10,38%"
"25.05.2022","3,93","4,09","4,12","3,87","441,30K","-0,86%"
"24.05.2022","3,96","4,07","4,09","3,85","545,61K","-2,60%"
"23.05.2022","4,07","3,98","4,09","3,90","503,83K","5,71%"
"20.05.2022","3,85","3,80","3,99","3,70","630,65K","2,94%"
"19.05.2022","3,74","3,83","3,84","3,42","1,16M","0,16%"
"18.05.2022","3,73","3,63","3,84","3,60","968,57K","5,18%"
"17.05.2022","3,55","3,47","3,62","3,47","383,93K","2,72%"
"16.05.2022","3,46","3,60","3,60","3,42","244,73K","-3,79%"
"13.05.2022","3,59","3,52","3,67","3,50","280,26K","2,69%"
"12.05.2022","3,50","3,57","3,57","3,37","286,94K","-2,18%"
"11.05.2022","3,58","3,48","3,58","3,41","241,74K","2,76%"
"10.05.2022","3,48","3,71","3,72","3,48","363,10K","-3,39%"
"09.05.2022","3,60","3,80","3,81","3,56","330,47K","-6,15%"
"06.05.2022","3,84","4,02","4,02","3,81","386,94K","-3,95%"
"05.05.2022","4,00","4,14","4,25","3,96","230,05K","-1,67%"
"04.05.2022","4,06","4,03","4,12","3,98","233,98K","1,30%"
"03.05.2022","4,01","4,04","4,11","3,97","248,75K","0,00%"
"02.05.2022","4,01","4,10","4,10","3,95","228,69K","-1,86%"
"29.04.2022","4,09","4,13","4,18","4,02","318,56K","1,49%"
"28.04.2022","4,03","4,08","4,17","3,98","246,94K","-0,25%"
"27.04.2022","4,04","4,11","4,11","3,95","236,41K","0,00%"
"26.04.2022","4,04","4,20","4,21","4,02","378,37K","-3,58%"
"25.04.2022","4,19","4,28","4,35","4,12","277,65K","-2,47%"
"22.04.2022","4,30","4,49","4,49","4,28","361,56K","-3,68%"
"21.04.2022","4,46","4,66","4,66","4,46","337,62K","-1,81%"
"20.04.2022","4,54","4,50","4,60","4,41","258,79K","2,16%"
"19.04.2022","4,45","4,58","4,58","4,40","360,46K","-2,50%"
"14.04.2022","4,56","4,54","4,59","4,47","182,71K","0,00%"
"13.04.2022","4,56","4,70","4,76","4,52","260,27K","-2,89%"
"12.04.2022","4,70","4,86","4,87","4,63","411,18K","-3,53%"
"11.04.2022","4,87","5,09","5,09","4,87","304,36K","-2,75%"
"08.04.2022","5,01","5,06","5,06","4,87","238,04K","1,33%"
"07.04.2022","4,94","5,03","5,09","4,94","284,23K","-0,76%"
"06.04.2022","4,98","5,49","5,49","4,95","839,43K","-7,40%"
"05.04.2022","5,38","5,20","5,67","5,17","941,54K","5,18%"
"04.04.2022","5,11","5,12","5,22","5,01","203,95K","-1,06%"
"01.04.2022","5,17","5,40","5,40","5,11","236,56K","-2,82%"
"31.03.2022","5,32","5,26","5,35","5,09","249,92K","1,92%"
"30.03.2022","5,22","5,11","5,32","5,00","286,27K","3,37%"
"29.03.2022","5,05","5,19","5,34","4,91","342,71K","-2,13%"
"28.03.2022","5,16","4,96","5,22","4,88","335,47K","5,74%"
"25.03.2022","4,88","4,99","5,14","4,87","262,49K","-1,21%"
"24.03.2022","4,94","4,89","5,04","4,89","204,40K","0,20%"
"23.03.2022","4,93","5,07","5,08","4,86","197,73K","-2,09%"
"22.03.2022","5,03","4,96","5,08","4,91","205,95K","0,82%"
"21.03.2022","4,99","5,26","5,26","4,97","269,60K","-3,31%"
"18.03.2022","5,16","5,08","5,28","5,01","400,49K","1,27%"
"17.03.2022","5,10","5,10","5,24","5,07","248,83K","-0,29%"
"16.03.2022","5,11","5,40","5,47","5,06","428,55K","-2,66%"
"15.03.2022","5,26","5,25","5,47","5,11","322,63K","-1,87%"
"14.03.2022","5,36","5,70","5,75","5,36","480,49K","-6,13%"
"11.03.2022","5,70","5,80","6,00","5,70","291,06K","-0,87%"
"10.03.2022","5,76","5,61","6,00","5,60","472,08K","2,40%"
"09.03.2022","5,62","6,15","6,20","5,53","1,03M","0,36%"
"08.03.2022","5,60","4,90","5,61","4,86","803,65K","15,46%"
"07.03.2022","4,85","4,53","4,90","4,38","489,19K","8,45%"
"04.03.2022","4,47","4,36","4,57","4,30","242,39K","1,64%"
"03.03.2022","4,40","4,65","4,77","4,40","222,73K","-5,21%"
"02.03.2022","4,64","4,47","4,77","4,41","434,86K","1,98%"
"01.03.2022","4,55","5,05","5,05","4,54","568,85K","-8,19%"
"28.02.2022","4,96","4,50","4,98","4,48","718,43K","9,35%"
"25.02.2022","4,53","4,44","4,62","4,26","473,72K","5,44%"
"24.02.2022","4,30","3,95","4,37","3,90","776,92K","6,59%"
"23.02.2022","4,03","4,16","4,23","4,01","176,94K","-2,28%"
"22.02.2022","4,13","3,94","4,29","3,93","241,21K","-1,24%"
"21.02.2022","4,18","4,32","4,39","4,14","214,73K","-3,55%"
"18.02.2022","4,33","4,43","4,53","4,32","150,12K","-3,30%"
"17.02.2022","4,48","4,70","4,70","4,46","149,17K","-3,41%"
"16.02.2022","4,64","4,63","4,82","4,58","189,87K","0,74%"
"15.02.2022","4,61","4,53","4,64","4,51","206,88K","1,81%"
"14.02.2022","4,52","4,78","4,78","4,45","387,08K","-6,57%"
"11.02.2022","4,84","4,93","4,93","4,77","186,01K","-1,82%"
"10.02.2022","4,93","5,05","5,11","4,88","185,06K","-3,10%"
"09.02.2022","5,09","4,90","5,09","4,90","165,51K","4,91%"
"08.02.2022","4,85","4,90","4,97","4,82","123,40K","-1,38%"
"07.02.2022","4,92","5,05","5,10","4,88","150,57K","-2,09%"
"04.02.2022","5,03","5,11","5,13","5,02","144,92K","-1,66%"
"03.02.2022","5,11","5,17","5,22","5,11","122,55K","-2,67%"
"02.02.2022","5,25","5,22","5,35","5,21","74,26K","0,00%"
"01.02.2022","5,25","5,36","5,43","5,24","83,55K","0,19%"
"31.01.2022","5,24","5,15","5,34","5,15","76,79K","2,14%"
"28.01.2022","5,13","5,30","5,41","5,12","122,39K","-3,21%"
"27.01.2022","5,30","5,13","5,37","5,05","181,51K","2,12%"
"26.01.2022","5,19","5,15","5,30","5,14","146,58K","1,47%"
"25.01.2022","5,11","5,30","5,45","5,09","227,07K","-0,68%"
"24.01.2022","5,15","5,64","5,64","5,09","488,18K","-9,01%"
"21.01.2022","5,66","5,94","5,99","5,64","313,08K","-6,60%"
"20.01.2022","6,06","5,91","6,11","5,90","163,13K","2,71%"
"19.01.2022","5,90","6,13","6,13","5,90","289,01K","-1,99%"
"18.01.2022","6,02","6,18","6,26","6,02","152,46K","-4,29%"
"17.01.2022","6,29","6,12","6,40","6,05","182,29K","4,66%"
"14.01.2022","6,01","6,08","6,08","6,01","75,44K","-1,15%"
"13.01.2022","6,08","6,16","6,18","6,08","64,23K","-0,41%"
"12.01.2022","6,11","6,14","6,20","6,06","49,47K","0,49%"
"11.01.2022","6,07","6,12","6,14","6,06","77,04K","0,00%"
"10.01.2022","6,07","6,07","6,19","6,04","54,79K","0,50%"
"07.01.2022","6,04","6,19","6,19","6,03","76,79K","-1,15%"
"06.01.2022","6,11","6,30","6,30","6,05","155,97K","-2,40%"
"05.01.2022","6,26","6,36","6,49","6,26","67,51K","-2,64%"
"04.01.2022","6,43","6,53","6,80","6,43","154,94K","-0,92%"
"03.01.2022","6,49","6,14","6,49","6,14","150,17K","4,85%"
"30.12.2021","6,19","6,03","6,20","5,97","230,28K","0,65%"
"29.12.2021","6,15","6,13","6,24","6,10","113,33K","0,08%"
"28.12.2021","6,14","6,30","6,35","6,12","163,05K","-3,76%"
"27.12.2021","6,39","6,37","6,49","6,32","62,29K","-1,62%"
"23.12.2021","6,49","6,33","6,49","6,27","145,10K","3,84%"
"22.12.2021","6,25","6,14","6,38","6,11","79,94K","2,46%"
"21.12.2021","6,10","6,04","6,31","5,92","110,46K","-2,09%"
"20.12.2021","6,23","5,90","6,34","5,86","93,35K","3,66%"
"17.12.2021","6,01","6,11","6,11","5,85","242,11K","-1,64%"
"16.12.2021","6,11","6,28","6,60","6,10","115,80K","-2,86%"
"15.12.2021","6,29","6,43","6,43","6,28","33,35K","-0,47%"
"14.12.2021","6,32","6,30","6,44","6,25","44,70K","1,53%"
"13.12.2021","6,22","6,22","6,49","6,22","42,02K","-1,35%"
"10.12.2021","6,31","6,50","6,50","6,31","48,58K","-3,74%"
"09.12.2021","6,55","6,60","6,60","6,51","20,68K","-0,91%"
"08.12.2021","6,61","6,59","6,66","6,56","29,46K","0,99%"
"07.12.2021","6,55","6,50","6,58","6,45","57,16K","2,34%"
"06.12.2021","6,40","6,34","6,44","6,14","74,72K","2,89%"
"03.12.2021","6,22","6,47","6,49","6,19","83,79K","-2,35%"
"02.12.2021","6,37","6,56","6,56","6,32","85,69K","-3,85%"
"01.12.2021","6,63","6,55","6,69","6,47","65,56K","-0,30%"
"30.11.2021","6,64","6,49","6,69","6,43","75,22K","0,45%"
"29.11.2021","6,61","6,71","6,71","6,49","89,07K","0,99%"
"26.11.2021","6,55","6,90","6,91","6,51","137,46K","-5,76%"
"25.11.2021","6,95","6,80","7,09","6,80","35,80K","2,89%"
"24.11.2021","6,76","6,81","6,93","6,74","76,94K","-1,03%"
"23.11.2021","6,82","7,05","7,05","6,82","43,78K","-3,26%"
"22.11.2021","7,05","7,10","7,11","6,91","49,06K","2,69%"
"19.11.2021","6,87","7,39","7,39","6,85","167,88K","-5,31%"
"18.11.2021","7,26","7,32","7,45","7,22","40,26K","-2,29%"
"17.11.2021","7,43","7,65","7,65","7,42","44,68K","-1,07%"
"16.11.2021","7,51","7,45","7,80","7,45","69,57K","-0,86%"
"15.11.2021","7,57","7,32","7,58","7,32","39,58K","0,93%"
"12.11.2021","7,50","7,11","7,55","7,11","68,63K","4,24%"
"11.11.2021","7,20","7,32","7,32","7,10","67,56K","-2,84%"
"10.11.2021","7,41","7,56","7,56","7,28","60,50K","-0,60%"
"09.11.2021","7,45","7,36","7,57","7,36","53,36K","0,68%"
"08.11.2021","7,40","7,42","7,55","7,21","60,06K","-0,13%"
"05.11.2021","7,41","7,28","7,52","6,99","108,33K","1,44%"
"04.11.2021","7,30","7,65","7,74","7,25","89,98K","-3,75%"
"03.11.2021","7,59","7,76","8,11","7,40","154,74K","-2,25%"
"02.11.2021","7,76","8,23","8,23","7,73","172,18K","-4,43%"
"01.11.2021","8,13","7,85","8,35","7,80","240,54K","5,52%"
"29.10.2021","7,70","7,40","7,85","7,36","274,18K","5,19%"
"28.10.2021","7,32","7,12","7,40","6,94","146,61K","4,57%"
"27.10.2021","7,00","7,14","7,20","6,97","52,43K","-2,78%"
"26.10.2021","7,20","6,89","7,20","6,76","146,26K","6,19%"
"25.10.2021","6,78","6,90","6,97","6,78","37,99K","-2,93%"
"22.10.2021","6,99","6,91","7,02","6,90","24,77K","0,29%"
"21.10.2021","6,97","7,18","7,18","6,84","46,59K","-1,90%"
"20.10.2021","7,10","6,80","7,20","6,80","229,57K","2,90%"
"19.10.2021","6,90","6,60","6,90","6,59","66,51K","4,15%"
"18.10.2021","6,63","6,62","6,76","6,51","75,57K","-0,45%"
"15.10.2021","6,66","6,84","6,84","6,59","65,74K","-1,41%"
"14.10.2021","6,75","6,95","6,95","6,70","94,06K","-0,81%"
"13.10.2021","6,80","6,47","6,97","6,47","95,22K","3,34%"
"12.10.2021","6,59","6,22","6,63","6,20","109,44K","4,52%"
"11.10.2021","6,30","6,40","6,53","6,30","63,71K","-2,33%"
"08.10.2021","6,45","6,64","6,72","6,45","98,98K","-3,01%"
"07.10.2021","6,65","6,80","6,89","6,63","77,21K","-2,13%"
"06.10.2021","6,80","6,94","6,95","6,68","109,79K","-0,95%"
"05.10.2021","6,86","6,85","7,10","6,85","102,01K","-0,72%"
"04.10.2021","6,91","6,90","7,03","6,85","79,38K","-0,93%"
"01.10.2021","6,97","7,12","7,12","6,90","92,52K","0,14%"
"30.09.2021","6,97","7,16","7,18","6,92","57,30K","-3,13%"
"29.09.2021","7,19","6,89","7,35","6,85","66,31K","1,34%"
"28.09.2021","7,09","7,28","7,31","7,01","80,58K","-1,60%"
"27.09.2021","7,21","7,15","7,34","7,15","42,97K","1,05%"
"24.09.2021","7,14","7,49","7,49","7,05","84,00K","-4,03%"
"23.09.2021","7,43","7,08","7,49","7,03","197,94K","6,14%"
"22.09.2021","7,01","6,88","7,07","6,81","61,07K","3,32%"
"21.09.2021","6,78","6,78","6,92","6,76","72,68K","-0,80%"
"20.09.2021","6,84","7,14","7,20","6,80","248,44K","-4,54%"
"17.09.2021","7,16","6,93","7,26","6,89","396,01K","4,30%"
"16.09.2021","6,86","6,91","6,95","6,74","92,34K","-1,79%"
"15.09.2021","6,99","6,85","7,08","6,72","232,78K","3,56%"
"14.09.2021","6,75","6,30","6,79","6,20","214,98K","9,58%"
"13.09.2021","6,16","6,14","6,27","5,92","212,00K","0,33%"
"10.09.2021","6,14","6,30","6,41","6,13","115,77K","-1,60%"
"09.09.2021","6,24","6,50","6,50","6,21","234,59K","-6,45%"
"08.09.2021","6,67","6,71","6,80","6,58","57,68K","-0,60%"
"07.09.2021","6,71","6,98","6,98","6,67","105,09K","-2,75%"
"06.09.2021","6,90","7,12","7,12","6,90","37,10K","-1,36%"
"03.09.2021","6,99","7,15","7,15","6,96","56,29K","-1,06%"
"02.09.2021","7,07","7,00","7,16","6,91","63,61K","0,43%"
"01.09.2021","7,04","7,00","7,04","6,91","66,60K","1,81%"
"31.08.2021","6,91","6,67","7,10","6,67","113,04K","0,95%"
"30.08.2021","6,85","6,71","6,85","6,71","22,72K","0,15%"
"27.08.2021","6,84","6,79","6,84","6,54","34,31K","1,18%"
"26.08.2021","6,76","6,64","6,76","6,63","25,23K","0,15%"
"25.08.2021","6,75","6,82","6,82","6,70","33,21K","-0,59%"
"24.08.2021","6,79","6,68","6,80","6,66","38,19K","0,89%"
"23.08.2021","6,73","6,62","6,78","6,61","36,47K","1,20%"
"20.08.2021","6,65","6,78","6,78","6,57","40,66K","-1,48%"
"19.08.2021","6,75","6,78","6,78","6,54","73,71K","-0,74%"
"18.08.2021","6,80","6,62","6,80","6,61","70,53K","2,95%"
"17.08.2021","6,61","6,57","6,64","6,50","44,07K","0,38%"
"16.08.2021","6,58","6,84","6,85","6,57","42,80K","-2,95%"
"13.08.2021","6,78","6,75","6,88","6,70","37,67K","0,44%"
"12.08.2021","6,75","6,91","7,08","6,70","85,05K","-4,05%"
"11.08.2021","7,03","6,90","7,10","6,80","55,69K","2,10%"
"10.08.2021","6,89","6,84","6,90","6,70","30,25K","0,88%"
"09.08.2021","6,83","6,92","6,97","6,76","34,08K","-1,23%"
"06.08.2021","6,91","6,85","6,91","6,71","34,80K","1,10%"
"05.08.2021","6,84","6,59","6,87","6,59","34,75K","1,86%"
"04.08.2021","6,72","6,83","6,83","6,54","33,45K","-1,10%"
"03.08.2021","6,79","6,80","6,80","6,54","50,32K","1,72%"
"02.08.2021","6,68","6,46","6,96","6,46","65,14K","-1,69%"
"30.07.2021","6,79","6,66","6,79","6,48","92,23K","2,88%"
"29.07.2021","6,60","6,67","6,67","6,53","28,23K","-0,45%"
"28.07.2021","6,63","6,47","6,74","6,37","78,28K","3,84%"
"27.07.2021","6,39","6,44","6,57","6,20","68,41K","-2,96%"
"26.07.2021","6,58","6,51","6,59","6,41","58,08K","0,92%"
"23.07.2021","6,52","6,52","6,60","6,48","26,65K","-0,99%"
"22.07.2021","6,59","6,80","6,80","6,51","56,04K","-0,45%"
"21.07.2021","6,61","6,34","6,64","6,34","48,11K","5,76%"
"20.07.2021","6,26","6,20","6,36","6,19","58,62K","0,97%"
"19.07.2021","6,20","6,51","6,51","6,15","156,15K","-3,80%"
"16.07.2021","6,44","6,55","6,57","6,39","118,62K","-0,77%"
"15.07.2021","6,49","6,78","6,78","6,31","250,29K","-4,84%"
"14.07.2021","6,82","7,14","7,14","6,82","132,01K","-3,94%"
"13.07.2021","7,10","7,35","7,39","7,07","59,86K","-2,41%"
"12.07.2021","7,28","7,02","7,32","7,02","79,56K","3,19%"
"09.07.2021","7,05","7,05","7,16","7,01","32,94K","-0,49%"
"08.07.2021","7,09","7,16","7,17","6,96","131,09K","-1,05%"
"07.07.2021","7,16","7,17","7,24","7,06","89,67K","0,42%"
"06.07.2021","7,13","7,17","7,21","7,01","104,86K","-0,97%"
"05.07.2021","7,20","7,36","7,36","7,07","46,91K","-1,23%"
"02.07.2021","7,29","7,32","7,48","7,19","46,42K","-0,55%"
"01.07.2021","7,33","7,51","7,60","7,31","61,32K","-2,66%"
"30.06.2021","7,53","7,59","7,61","7,30","101,33K","-0,46%"
"29.06.2021","7,57","7,45","7,74","7,00","215,55K","2,37%"
"28.06.2021","7,39","7,45","7,45","7,30","74,92K","-1,20%"
"25.06.2021","7,48","7,41","7,49","7,33","90,84K","1,42%"
"24.06.2021","7,38","7,30","7,43","7,11","103,96K","1,79%"
"23.06.2021","7,24","7,30","7,32","7,12","74,27K","-0,07%"
"22.06.2021","7,25","7,39","7,42","7,10","78,43K","-0,62%"
"21.06.2021","7,30","7,32","7,55","7,07","214,77K","-0,27%"
"18.06.2021","7,32","6,99","7,32","6,97","431,63K","4,65%"
"17.06.2021","6,99","6,89","6,99","6,62","262,38K","2,95%"
"16.06.2021","6,79","6,76","7,07","6,73","503,42K","3,35%"
"15.06.2021","6,57","6,64","6,73","6,50","113,58K","0,08%"
"14.06.2021","6,57","6,67","6,82","6,23","397,30K","-0,53%"
"11.06.2021","6,60","6,52","6,67","6,39","149,09K","2,01%"
"10.06.2021","6,47","6,74","6,74","6,38","275,18K","-3,29%"
"09.06.2021","6,69","6,84","6,84","6,66","91,48K","-0,74%"
"08.06.2021","6,74","6,76","6,88","6,72","80,94K","0,22%"
"07.06.2021","6,72","6,88","6,88","6,72","85,97K","-1,82%"
