"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"25.07.2022","120,10","121,74","121,79","119,92","740,59K","-0,81%"
"22.07.2022","121,08","123,06","123,58","119,89","991,59K","-1,30%"
"21.07.2022","122,68","121,15","122,79","120,04","1,15M","1,30%"
"20.07.2022","121,10","119,15","121,95","118,48","1,39M","1,72%"
"19.07.2022","119,05","115,80","119,31","115,50","1,44M","4,71%"
"18.07.2022","113,69","116,30","117,20","113,09","1,16M","-1,46%"
"15.07.2022","115,38","113,44","116,03","112,25","1,47M","3,36%"
"14.07.2022","111,63","110,13","111,86","108,25","1,54M","0,09%"
"13.07.2022","111,53","111,47","112,18","108,78","1,97M","-1,97%"
"12.07.2022","113,77","113,73","116,86","113,26","1,21M","0,59%"
"11.07.2022","113,10","113,95","114,77","112,33","1,54M","-2,47%"
"08.07.2022","115,96","118,77","120,00","115,66","1,23M","-2,49%"
"07.07.2022","118,92","117,52","119,10","116,35","1,55M","1,80%"
"06.07.2022","116,82","117,11","118,13","116,02","1,18M","-0,22%"
"05.07.2022","117,08","113,30","117,12","112,32","1,11M","1,53%"
"01.07.2022","115,31","113,62","115,68","113,14","1,31M","1,50%"
"30.06.2022","113,61","113,35","115,21","110,46","1,88M","-1,64%"
"29.06.2022","115,50","115,90","117,36","114,48","1,85M","-2,01%"
"28.06.2022","117,87","121,29","122,70","117,29","1,81M","-2,19%"
"27.06.2022","120,51","122,00","122,59","120,06","1,66M","-0,81%"
"24.06.2022","121,50","116,06","121,53","115,68","4,00M","5,65%"
"23.06.2022","115,00","111,51","115,01","111,51","1,72M","3,30%"
"22.06.2022","111,33","108,85","112,18","108,46","1,62M","1,31%"
"21.06.2022","109,89","109,41","110,48","109,03","1,49M","3,01%"
"17.06.2022","106,68","106,09","108,54","105,34","3,05M","0,56%"
"16.06.2022","106,09","107,22","107,44","104,72","2,14M","-3,62%"
"15.06.2022","110,07","108,96","112,01","108,12","1,99M","2,22%"
"14.06.2022","107,68","107,49","109,50","106,61","1,61M","-0,20%"
"13.06.2022","107,90","110,50","110,77","106,64","3,02M","-6,05%"
"10.06.2022","114,85","118,18","119,43","114,68","2,46M","-5,25%"
"09.06.2022","121,21","123,15","124,39","121,19","1,01M","-1,58%"
"08.06.2022","123,15","125,16","125,54","122,74","864,71K","-2,35%"
"07.06.2022","126,11","124,31","126,40","123,38","1,07M","0,63%"
"06.06.2022","125,32","126,76","127,91","125,08","974,90K","0,22%"
"03.06.2022","125,05","125,07","126,02","124,50","987,11K","-1,61%"
"02.06.2022","127,09","123,92","127,11","123,37","1,26M","2,58%"
"01.06.2022","123,89","127,87","128,24","122,97","1,41M","-2,52%"
"31.05.2022","127,09","129,07","129,28","125,04","2,41M","-2,16%"
"27.05.2022","129,89","128,75","131,38","128,10","1,57M","1,69%"
"26.05.2022","127,73","123,55","128,15","123,55","1,80M","3,85%"
"25.05.2022","122,99","120,01","123,30","119,51","1,61M","2,20%"
"24.05.2022","120,34","120,67","120,87","115,86","1,91M","-0,80%"
"23.05.2022","121,31","123,50","123,65","120,56","1,68M","-0,39%"
"20.05.2022","121,78","121,13","124,10","119,00","1,88M","1,37%"
"19.05.2022","120,13","120,00","121,72","119,25","2,11M","-0,97%"
"18.05.2022","121,31","123,89","124,61","120,96","1,51M","-3,47%"
"17.05.2022","125,67","123,98","126,17","122,04","1,76M","3,78%"
"16.05.2022","121,09","121,67","122,70","118,93","1,27M","-0,71%"
"13.05.2022","121,96","121,38","123,47","120,40","1,69M","2,28%"
"12.05.2022","119,24","113,91","119,80","112,65","2,39M","3,89%"
"11.05.2022","114,78","121,39","122,29","114,66","2,86M","-6,61%"
"10.05.2022","122,90","124,72","125,84","121,02","1,58M","0,38%"
"09.05.2022","122,44","123,67","126,09","122,06","1,76M","-2,69%"
"06.05.2022","125,83","127,35","127,90","123,46","1,49M","-1,19%"
"05.05.2022","127,35","132,52","132,99","126,01","2,02M","-5,50%"
"04.05.2022","134,76","128,39","135,39","127,62","1,76M","4,78%"
"03.05.2022","128,61","125,68","130,90","125,51","1,83M","2,66%"
"02.05.2022","125,28","124,28","125,62","122,31","1,99M","1,82%"
"29.04.2022","123,04","127,87","129,72","122,64","4,00M","-4,89%"
"28.04.2022","129,36","131,00","132,41","126,94","2,88M","-1,30%"
"27.04.2022","131,06","131,46","133,36","130,65","1,72M","-0,30%"
"26.04.2022","131,45","135,81","136,10","131,43","1,60M","-4,18%"
"25.04.2022","137,19","134,00","137,28","131,68","1,67M","2,19%"
"22.04.2022","134,25","139,29","139,71","134,11","1,83M","-3,82%"
"21.04.2022","139,58","145,14","146,04","138,65","1,41M","-2,66%"
"20.04.2022","143,40","145,66","145,86","142,71","1,45M","-1,19%"
"19.04.2022","145,12","139,58","145,31","139,58","1,01M","4,17%"
"18.04.2022","139,31","138,56","139,82","137,44","909,81K","0,25%"
"14.04.2022","138,96","144,53","144,92","138,72","1,02M","-3,22%"
"13.04.2022","143,58","143,41","143,87","141,56","1,20M","-0,20%"
"12.04.2022","143,87","143,29","148,95","143,13","1,46M","0,56%"
"11.04.2022","143,07","145,41","145,94","142,90","1,28M","-2,11%"
"08.04.2022","146,15","146,33","148,18","144,98","1,12M","-0,24%"
"07.04.2022","146,50","147,49","148,27","144,36","1,74M","-1,27%"
"06.04.2022","148,38","152,48","153,01","147,74","1,90M","-4,18%"
"05.04.2022","154,85","155,10","156,15","153,76","1,82M","-0,58%"
"04.04.2022","155,76","153,00","157,77","152,80","1,55M","1,90%"
"01.04.2022","152,86","152,40","153,54","151,66","1,21M","1,10%"
"31.03.2022","151,19","153,67","154,46","151,10","1,75M","-1,25%"
"30.03.2022","153,10","155,15","155,96","152,24","1,10M","-1,23%"
"29.03.2022","155,00","152,74","155,61","152,20","1,24M","3,15%"
"28.03.2022","150,27","148,00","150,34","147,57","1,05M","0,91%"
"25.03.2022","148,92","149,32","150,65","147,88","973,22K","0,10%"
"24.03.2022","148,77","147,37","148,96","145,70","936,76K","1,60%"
"23.03.2022","146,43","148,45","148,65","146,16","1,09M","-2,01%"
"22.03.2022","149,44","146,73","149,76","146,12","1,45M","2,59%"
"21.03.2022","145,67","146,78","147,89","144,35","1,25M","-0,74%"
"18.03.2022","146,75","146,77","147,99","145,24","5,10M","-0,16%"
"17.03.2022","146,99","144,09","147,36","143,74","1,98M","1,27%"
"16.03.2022","145,15","141,89","146,90","140,99","2,12M","4,13%"
"15.03.2022","139,39","138,03","140,53","137,26","1,77M","1,79%"
"14.03.2022","136,94","136,63","138,91","135,55","1,67M","0,45%"
"11.03.2022","136,33","139,64","140,11","136,22","1,24M","-1,62%"
"10.03.2022","138,58","136,91","139,00","135,10","1,65M","-0,22%"
"09.03.2022","138,88","138,65","140,60","138,37","1,62M","2,97%"
"08.03.2022","134,88","134,39","138,84","133,07","1,69M","0,31%"
"07.03.2022","134,46","139,02","139,47","134,17","1,94M","-3,09%"
"04.03.2022","138,75","141,57","141,80","137,76","2,05M","-2,92%"
"03.03.2022","142,92","144,09","144,33","140,23","1,32M","-0,04%"
"02.03.2022","142,98","141,38","143,97","140,31","1,23M","2,45%"
"01.03.2022","139,56","143,76","144,50","138,76","1,93M","-3,46%"
"28.02.2022","144,56","142,54","145,11","141,75","1,53M","-0,48%"
"25.02.2022","145,26","144,40","145,69","142,94","1,79M","1,77%"
"24.02.2022","142,74","135,45","143,50","134,13","2,90M","2,18%"
"23.02.2022","139,69","143,70","145,12","139,27","1,65M","-1,77%"
"22.02.2022","142,21","142,74","145,18","141,28","1,42M","-0,88%"
