"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"25.07.2022","64,000","64,100","65,000","63,700","25,30K","-1,23%"
"22.07.2022","64,800","65,200","65,500","64,000","33,08K","0,31%"
"21.07.2022","64,600","67,000","70,000","63,600","68,35K","-3,00%"
"20.07.2022","66,600","70,600","71,700","66,400","41,09K","-3,76%"
"19.07.2022","69,200","67,000","69,400","66,600","24,34K","1,62%"
"18.07.2022","68,100","66,200","68,800","66,200","14,19K","1,79%"
"15.07.2022","66,900","66,000","67,300","65,200","35,61K","2,45%"
"14.07.2022","65,300","67,900","68,100","65,100","24,53K","-3,69%"
"13.07.2022","67,800","68,900","69,500","67,400","12,98K","-1,88%"
"12.07.2022","69,100","69,000","69,500","68,500","12,06K","0,14%"
"11.07.2022","69,000","69,300","69,800","68,500","15,13K","-1,71%"
"08.07.2022","70,200","70,000","70,500","68,900","15,85K","0,86%"
"07.07.2022","69,600","69,400","70,400","69,300","19,95K","1,02%"
"06.07.2022","68,900","68,400","69,900","68,400","18,57K","0,15%"
"05.07.2022","68,800","70,000","70,000","68,200","18,71K","-0,58%"
"04.07.2022","69,200","69,900","70,100","68,800","14,65K","0,44%"
"01.07.2022","68,900","69,200","69,600","68,100","16,81K","-0,43%"
"30.06.2022","69,200","71,300","71,300","68,200","15,43K","-2,67%"
"29.06.2022","71,100","72,000","72,000","69,800","15,56K","-1,66%"
"28.06.2022","72,300","72,000","73,500","71,900","8,96K","-0,82%"
"27.06.2022","72,900","72,800","73,400","72,100","22,02K","0,28%"
"24.06.2022","72,700","70,600","72,800","70,300","18,37K","3,12%"
"23.06.2022","70,500","70,900","71,700","69,300","25,20K","0,43%"
"22.06.2022","70,200","70,900","71,200","69,100","22,12K","-0,99%"
"21.06.2022","70,900","70,200","71,800","70,100","29,53K","0,28%"
"20.06.2022","70,700","72,300","72,300","69,800","29,69K","1,14%"
"17.06.2022","69,900","69,000","70,500","68,800","46,13K","1,01%"
"16.06.2022","69,200","70,000","70,400","69,100","35,76K","-1,70%"
"15.06.2022","70,400","68,200","71,000","68,200","57,73K","2,77%"
"14.06.2022","68,500","68,800","69,300","67,700","50,02K","-0,44%"
"13.06.2022","68,800","71,600","71,600","68,400","49,26K","-3,91%"
"10.06.2022","71,600","75,000","75,000","71,100","47,99K","-3,89%"
"09.06.2022","74,500","76,200","76,200","73,900","25,02K","-2,10%"
"08.06.2022","76,100","74,800","76,800","74,800","35,00K","1,33%"
"07.06.2022","75,100","76,900","76,900","74,100","14,11K","0,54%"
"06.06.2022","74,700","74,200","75,500","74,200","13,37K","0,81%"
"03.06.2022","74,100","75,200","75,400","74,100","12,31K","-1,98%"
"02.06.2022","75,600","76,100","77,700","75,200","40,32K","0,27%"
"01.06.2022","75,400","74,100","76,000","73,700","31,49K","1,48%"
"31.05.2022","74,300","74,100","75,000","73,000","34,67K","0,27%"
"30.05.2022","74,100","74,000","74,700","73,500","21,74K","0,54%"
"27.05.2022","73,700","71,900","73,700","71,900","17,79K","1,80%"
"26.05.2022","72,400","72,800","72,800","71,400","43,11K","0,84%"
"25.05.2022","71,800","71,000","72,800","70,300","27,03K","1,70%"
"24.05.2022","70,600","71,600","71,600","70,400","16,17K","-1,12%"
"23.05.2022","71,400","71,500","72,100","71,300","22,91K","0,28%"
"20.05.2022","71,200","70,600","71,600","70,300","25,66K","1,71%"
"19.05.2022","70,000","68,500","70,500","68,200","22,52K","1,60%"
"18.05.2022","68,900","70,500","70,800","68,900","19,00K","-0,14%"
"17.05.2022","69,000","67,800","69,600","67,600","17,08K","2,99%"
"16.05.2022","67,000","68,400","68,400","66,600","15,50K","-2,19%"
"13.05.2022","68,500","68,000","68,600","67,700","13,56K","0,74%"
"12.05.2022","68,000","68,500","68,500","66,700","23,53K","-0,44%"
"11.05.2022","68,300","67,700","68,800","66,700","41,36K","1,64%"
"10.05.2022","67,200","67,100","68,900","66,900","20,70K","-0,30%"
"09.05.2022","67,400","68,400","68,400","66,400","23,94K","-1,46%"
"06.05.2022","68,400","68,400","68,800","67,900","29,45K","0,00%"
"05.05.2022","68,400","70,000","71,200","68,400","35,63K","-0,44%"
"04.05.2022","68,700","67,900","69,400","67,500","34,22K","1,33%"
"03.05.2022","67,800","69,900","69,900","67,500","39,25K","-1,60%"
"02.05.2022","68,900","68,200","69,800","67,800","33,66K","0,88%"
"29.04.2022","68,300","67,700","68,900","66,500","27,11K","3,02%"
"28.04.2022","66,300","67,700","69,000","65,900","68,30K","-3,91%"
"27.04.2022","69,000","66,100","70,500","65,300","99,31K","4,39%"
"26.04.2022","66,100","66,700","68,000","65,900","20,97K","-0,60%"
"25.04.2022","66,500","67,500","68,000","66,000","35,47K","-2,64%"
"22.04.2022","68,300","67,200","68,400","67,000","42,21K","-1,01%"
"21.04.2022","69,000","65,600","69,400","65,500","92,80K","6,32%"
"20.04.2022","64,900","64,000","65,200","63,500","56,06K","1,41%"
"19.04.2022","64,000","64,800","64,800","62,800","33,93K","0,63%"
"14.04.2022","63,600","63,800","64,200","62,800","30,35K","1,27%"
"13.04.2022","62,800","63,100","63,500","62,600","22,03K","-0,95%"
"12.04.2022","63,400","63,500","64,000","62,500","22,64K","0,16%"
"11.04.2022","63,300","64,200","64,200","62,500","31,34K","-1,09%"
"08.04.2022","64,000","65,000","65,500","63,200","55,45K","-1,69%"
"07.04.2022","65,100","65,500","65,500","64,600","61,20K","0,77%"
"06.04.2022","64,600","65,900","65,900","64,400","45,86K","-1,22%"
"05.04.2022","65,400","65,900","65,900","64,400","39,69K","0,62%"
"04.04.2022","65,000","64,300","65,300","63,500","25,17K","2,04%"
"01.04.2022","63,700","64,500","64,500","63,400","25,49K","0,00%"
"31.03.2022","63,700","65,100","65,100","63,600","62,35K","-0,78%"
"30.03.2022","64,200","64,900","65,700","64,000","55,81K","-0,93%"
"29.03.2022","64,800","64,800","64,900","63,700","100,05K","1,73%"
"28.03.2022","63,700","64,300","65,100","63,400","37,53K","-1,24%"
"25.03.2022","64,500","64,100","64,800","64,000","37,78K","0,47%"
"24.03.2022","64,200","63,800","64,400","63,300","29,98K","0,63%"
"23.03.2022","63,800","66,200","66,500","63,700","45,63K","-3,33%"
"22.03.2022","66,000","65,300","66,200","64,700","34,56K","1,85%"
"21.03.2022","64,800","65,400","65,700","64,500","48,26K","0,47%"
"18.03.2022","64,500","64,700","65,000","63,900","25,40K","-0,15%"
"17.03.2022","64,600","65,500","66,600","64,000","48,87K","-0,46%"
"16.03.2022","64,900","63,300","65,100","62,900","49,32K","4,17%"
"15.03.2022","62,300","65,400","65,600","62,300","38,17K","-4,45%"
"14.03.2022","65,200","63,700","65,600","63,000","53,31K","3,49%"
"11.03.2022","63,000","63,000","63,600","62,500","75,78K","0,32%"
"10.03.2022","62,800","62,400","63,700","61,900","66,22K","0,80%"
"09.03.2022","62,300","63,400","63,500","62,000","50,51K","-0,16%"
"08.03.2022","62,400","61,800","64,400","61,800","40,60K","-0,95%"
"07.03.2022","63,000","62,400","64,000","60,500","68,70K","0,80%"
"04.03.2022","62,500","64,000","64,100","62,300","59,26K","-2,65%"
"03.03.2022","64,200","67,000","67,500","64,200","39,64K","-5,03%"
"02.03.2022","67,600","70,300","70,300","67,100","45,38K","-0,88%"
"01.03.2022","68,200","71,000","71,000","68,200","28,95K","-1,02%"
"28.02.2022","68,900","68,800","70,100","67,800","39,35K","-1,43%"
"25.02.2022","69,900","69,800","70,200","67,200","47,24K","3,56%"
"24.02.2022","67,500","68,100","69,100","66,100","60,13K","-2,17%"
"23.02.2022","69,000","69,000","70,700","69,000","19,27K","-0,29%"
"22.02.2022","69,200","70,300","70,800","69,200","30,19K","-1,70%"
"21.02.2022","70,400","71,700","72,000","70,200","13,72K","-1,54%"
"18.02.2022","71,500","72,300","72,400","71,400","13,65K","-1,11%"
"17.02.2022","72,300","73,500","73,600","71,900","22,44K","-1,36%"
"16.02.2022","73,300","75,400","75,400","73,300","16,02K","-0,27%"
"15.02.2022","73,500","71,900","74,100","71,500","23,53K","1,38%"
"14.02.2022","72,500","74,500","74,500","72,100","25,99K","-3,20%"
"11.02.2022","74,900","75,900","75,900","74,100","22,04K","-1,45%"
"10.02.2022","76,000","75,200","76,600","75,000","21,59K","1,06%"
"09.02.2022","75,200","74,800","75,900","74,300","21,64K","1,62%"
"08.02.2022","74,000","74,500","74,600","72,700","44,85K","0,00%"
"07.02.2022","74,000","75,200","75,200","74,000","13,35K","-0,40%"
"04.02.2022","74,300","76,100","76,400","73,800","36,12K","-0,67%"
"03.02.2022","74,800","75,700","75,700","74,500","57,36K","-1,19%"
